calibration_date,history_cutoff_date,fixed_k,effective_start_date,effective_end_date,risk_alpha,validation_days,mean_validation_cost_yuan,standard_error_yuan,emergency_purchase_kwh,mean_solve_seconds,within_time_limit,selected,fallback_reason
2025-01-01,none,1,2025-01-01,2025-01-14,,0,,,,,True,True,K=1_no_risk_reserve_before_28_day_pool
2025-01-15,2025-01-14,1,2025-01-15,2025-01-28,,0,,,,,True,True,K=1_no_risk_reserve_before_28_day_pool
2025-01-29,2025-01-28,8,2025-01-29,2025-02-11,0.6,14,49570.879901561064,3965.4892997267484,3045.8188945690413,0.07491413692644398,True,True,
2025-01-29,2025-01-28,8,2025-01-29,2025-02-11,0.7,14,49722.10337119013,3931.054897064576,3044.7457784658855,0.07423676799018201,True,False,
2025-01-29,2025-01-28,8,2025-01-29,2025-02-11,0.8,14,50041.09231093317,3820.6950257569088,2981.2061114794033,0.07425018771235566,True,False,
2025-01-29,2025-01-28,8,2025-01-29,2025-02-11,0.9,14,50711.47605863744,3600.2601996796207,2579.760743933284,0.07354545814242945,True,False,
2025-02-12,2025-02-11,8,2025-02-12,2025-02-25,0.6,14,42256.166166778814,4083.000123050942,21.687443792014516,0.07605483914085198,True,True,
2025-02-12,2025-02-11,8,2025-02-12,2025-02-25,0.7,14,42370.28397570078,4053.1613119332724,21.687443792016193,0.07629780063455525,True,False,
2025-02-12,2025-02-11,8,2025-02-12,2025-02-25,0.8,14,42463.21077972746,4033.6209156965665,21.489042557423076,0.07565473799643639,True,False,
2025-02-12,2025-02-11,8,2025-02-12,2025-02-25,0.9,14,43363.70911207677,3792.7551204635433,15.390056931878636,0.07588480371383152,True,False,
2025-02-26,2025-02-25,8,2025-02-26,2025-03-11,0.6,14,37142.45893357017,3735.6010469672538,1166.755508838676,0.0779322230685336,True,True,
2025-02-26,2025-02-25,8,2025-02-26,2025-03-11,0.7,14,37301.70816782951,3683.9857099247547,1166.7555088386737,0.07823082156703874,True,False,
2025-02-26,2025-02-25,8,2025-02-26,2025-03-11,0.8,14,37422.07898658806,3654.3669650365946,1197.5239715258467,0.0785545088562815,True,False,
2025-02-26,2025-02-25,8,2025-02-26,2025-03-11,0.9,14,37587.71757135719,3603.7900682086165,1196.2490526815614,0.07491919049477604,True,False,
2025-03-12,2025-03-11,8,2025-03-12,2025-03-25,0.6,14,35433.05970431161,3803.3740589058775,11298.837477840565,0.09552309221804275,True,True,
2025-03-12,2025-03-11,8,2025-03-12,2025-03-25,0.7,14,35501.381298764536,3787.253449963795,11303.764130789437,0.07503881550759875,True,False,
2025-03-12,2025-03-11,8,2025-03-12,2025-03-25,0.8,14,35742.981559759195,3728.6489990605724,11312.85298904154,0.07465074085588899,True,False,
2025-03-12,2025-03-11,8,2025-03-12,2025-03-25,0.9,14,36006.08674095033,3666.3211180840144,11446.677147601968,0.07414832135379713,True,False,
2025-03-26,2025-03-25,8,2025-03-26,2025-04-08,0.6,14,30925.57810625695,3086.8266716740623,6592.031826266098,0.07903070571982036,True,True,
2025-03-26,2025-03-25,8,2025-03-26,2025-04-08,0.7,14,31118.997262805216,3033.174453866873,6646.51589004169,0.07977496157192425,True,False,
2025-03-26,2025-03-25,8,2025-03-26,2025-04-08,0.8,14,31330.087974209422,2980.9648616888894,6233.092328947779,0.08383864864091654,True,False,
2025-03-26,2025-03-25,8,2025-03-26,2025-04-08,0.9,14,31799.452273745672,2892.6031525196063,5991.071578076233,0.08218727093273108,True,False,
