date,period_index,time_label,q_or_g0_kwh,g_final_kwh,x_kwh,emergency_kwh,charge_kwh,discharge_kwh,curtailment_kwh,soc_start_kwh,soc_end_kwh,actual_load_kwh,actual_pv_kwh,actual_price,price_forecast_used,last_update_time,balance_residual_kwh,normal_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan
2025-07-30,0,00:10,759.4179875,759.4179875,753.78485,0.0,0.0,0.0,0.0,1612.2189688050232,1612.2189688050232,753.78485,0.0,0.5309,0.5309,00:00,0.0,403.17500956375,0.0,0.0
2025-07-30,1,00:20,747.4129666666666,747.4129666666666,724.8872833333332,0.0,0.0,0.0,0.0,1612.2189688050232,1612.2189688050232,724.8872833333332,0.0,0.5273,0.5273,00:00,0.0,394.11085732333333,0.0,0.0
2025-07-30,2,00:30,756.5729166666667,756.5729166666667,715.19,0.0,0.0,0.0,0.0,1612.2189688050232,1612.2189688050232,715.19,0.0,0.5379,0.5379,00:00,0.0,406.9605718750001,0.0,0.0
2025-07-30,3,00:40,759.8393374999998,759.8393374999998,750.1249666666665,0.0,0.0,0.0,0.0,1612.2189688050232,1612.2189688050232,750.1249666666665,0.0,0.5437,0.5437,00:00,0.0,413.1246477987499,0.0,0.0
2025-07-30,4,00:50,749.9662999999999,749.9662999999999,749.9662999999999,36.800416666666706,0.0,0.0,0.0,1612.2189688050232,1612.2189688050232,786.7667166666666,0.0,0.5664,0.5664,00:00,0.0,424.78091231999997,0.0,104.21878000000011
2025-07-30,5,01:00,353.38016582173543,353.38016582173543,353.38016582173543,46.961249999999836,0.0,391.06525084493126,0.0,1612.2189688050232,1200.0,791.4066666666665,0.0,0.5822,0.5822,00:00,0.0,205.73793254141438,0.0,136.70419874999953
2025-07-30,6,01:10,763.4421333333332,763.4421333333332,762.0182,0.0,0.0,0.0,0.0,1200.0,1200.0,762.0182,0.0,0.5382,0.5382,00:00,0.0,410.88455615999993,0.0,0.0
2025-07-30,7,01:20,1596.7449041666664,1596.7449041666664,1551.7554833333338,0.0,833.3333333333337,0.0,0.0,1200.0,1990.5694150420952,718.42215,0.0,0.4867,0.4867,00:00,1.1368683772161603e-13,777.1357448579166,0.0,0.0
2025-07-30,8,01:30,1580.4983333333332,1580.4983333333332,1535.7333333333331,0.0,833.3333333333333,0.0,0.0,1990.5694150420952,2781.13883008419,702.3999999999999,0.0,0.484,0.484,00:00,0.0,764.9611933333333,0.0,0.0
2025-07-30,9,01:40,760.4052166666665,760.4052166666665,741.2395166666666,0.0,0.0,0.0,0.0,2781.13883008419,2781.13883008419,741.2395166666666,0.0,0.5408,0.5408,00:00,0.0,411.2271411733332,0.0,0.0
2025-07-30,10,01:50,0.0,0.0,0.0,0.0,0.0,742.7945333333333,0.0,2781.13883008419,1998.1646437991244,742.7945333333333,0.0,0.5819,0.5819,00:00,0.0,0.0,0.0,0.0
2025-07-30,11,02:00,132.96950270263164,132.96950270263164,132.96950270263164,0.0,0.0,581.4954972973683,0.0,1998.1646437991244,1385.2145702684677,714.4649999999999,0.0,0.5808,0.5808,00:00,0.0,77.22868716968846,0.0,0.0
2025-07-30,12,02:10,749.7804833333332,749.7804833333332,746.7437499999999,0.0,0.0,0.0,0.0,1385.2145702684677,1385.2145702684677,746.7437499999999,0.0,0.5742,0.5742,00:00,0.0,430.52395353,0.0,0.0
2025-07-30,13,02:20,743.7310791666666,743.7310791666666,743.7310791666666,0.0,0.0,5.57667083333331,0.0,1385.2145702684677,1379.3362430703469,749.3077499999999,0.0,0.5698,0.5698,00:00,0.0,423.77796890916665,0.0,0.0
2025-07-30,14,02:30,738.8308333333332,738.8308333333332,702.8,0.0,0.0,0.0,0.0,1379.3362430703469,1379.3362430703469,702.8,0.0,0.5558,0.5558,00:00,0.0,410.64217716666656,0.0,0.0
2025-07-30,15,02:40,721.1669874999999,721.1669874999999,688.7253000000001,0.0,0.0,0.0,0.0,1379.3362430703469,1379.3362430703469,688.7253000000001,0.0,0.5238,0.5238,00:00,0.0,377.7472680525,0.0,0.0
2025-07-30,16,02:50,718.8912624999999,718.8912624999999,718.8912624999999,0.0,0.0,1.3148708333333161,0.0,1379.3362430703469,1377.9502475162612,720.2061333333332,0.0,0.5232,0.5232,00:00,0.0,376.12390853999995,0.0,0.0
2025-07-30,17,03:00,725.9441666666667,725.9441666666667,725.9441666666667,0.0,0.0,32.980833333333294,0.0,1377.9502475162612,1343.1853966950157,758.925,0.0,0.5536,0.5536,00:00,0.0,401.88269066666663,0.0,0.0
2025-07-30,18,03:10,706.8653374999999,706.8653374999999,706.8653374999999,7.738254166666728,0.0,38.1770583333333,0.0,1343.1853966950157,1302.943243795534,752.7806499999999,0.0,0.563,0.563,00:00,0.0,397.9651850124999,0.0,21.783185479166836
2025-07-30,19,03:20,687.6681333333333,687.6681333333333,687.6681333333333,38.273649999999975,0.0,0.0,0.0,1302.943243795534,1302.943243795534,725.9417833333333,0.0,0.5479,0.5479,00:00,0.0,376.7733702533334,0.0,104.85066417499995
2025-07-30,20,03:30,1528.9166666666665,1528.9166666666665,1528.9166666666665,8.139999816402451,833.3333331497356,0.0,0.0,1302.943243795534,2093.512658663453,703.7233333333334,0.0,0.5169,0.5169,00:00,0.0,790.297025,0.0,21.037829525492135
2025-07-30,21,03:40,1562.2824916666664,1562.2824916666664,1526.0499,0.0,833.3333333333333,0.0,0.0,2093.512658663453,2884.0820737055474,692.7165666666666,0.0,0.4821,0.4821,00:00,1.1368683772161603e-13,753.1763892324998,0.0,0.0
2025-07-30,22,03:50,1565.7040625,1565.7040625,1530.736133333333,0.0,833.3333333333333,0.0,0.00215,2884.0820737055474,3674.6514887476424,697.4028,0.00215,0.4729,0.4729,00:00,-1.1368683772161603e-13,740.42145115625,0.0,0.0
2025-07-30,23,04:00,1544.6304166666664,1544.6304166666664,1544.6304166666664,2.597916663996216,833.3333333306626,0.0,0.0,3674.6514887476424,4465.2209037872035,713.895,0.0,0.5033,0.5033,00:00,1.1368683772161603e-13,777.4124887083332,0.0,6.5376572849464765
2025-07-30,24,04:10,722.0864291666667,722.0864291666667,722.0864291666667,6.867437500000051,0.0,0.0,0.0,4465.2209037872035,4465.2209037872035,728.9538666666667,0.0,0.5509,0.5509,00:00,0.0,397.7974138279166,0.0,18.916356593750137
2025-07-30,25,04:20,730.0590541666666,730.0590541666666,730.0590541666666,0.0,4.861904166666591,0.0,0.0,4465.2209037872035,4469.833311066843,725.2270833333333,0.029933333333333333,0.5329,0.5329,00:00,0.0,389.04846996541664,0.0,0.0
2025-07-30,26,04:30,1551.0258333333331,1551.0258333333331,1543.4483333333333,0.0,833.3333333333333,0.0,0.0,4469.833311066843,5260.402726108938,710.1149999999999,0.0,0.4938,0.4938,00:00,1.1368683772161603e-13,765.8965565,0.0,0.0
