calibration_date,history_cutoff_date,effective_start_date,effective_end_date,forecast_mode,risk_alpha,validation_days,validation_start_date,validation_end_date,window_start_soc_kwh,candidate_soc_end_kwh,candidate_soc_path_kwh,mean_actual_cost_yuan,standard_error_yuan,mean_planned_cost_yuan,mean_emergency_cost_yuan,mean_unused_plan_kwh,mean_solve_seconds,used_full_day_actual_lp,future_actuals_in_optimizer,selection_criterion,one_se_threshold_yuan,selected,fallback_reason
2025-01-01,attachment1_fallback,2025-01-01,2025-01-14,m1,,0,none,none,6000.0,,,,,,,,,False,False,mean_actual_cost_sum_pq_plus_5pe,,True,insufficient_prior_14_day_window
2025-01-15,2025-01-14,2025-01-15,2025-01-28,m3,0.8,14,2025-01-01,2025-01-14,6000.0,1200.0,6000.000000;1200.000000;1213.675523;4885.912285;2954.694945;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000,85267.2639633005,10190.328172813146,50692.21616987899,34575.0477934215,6980.718750474751,4.361038809825134,False,False,mean_actual_cost_sum_pq_plus_5pe,95596.76005630138,False,
2025-01-15,2025-01-14,2025-01-15,2025-01-28,m3,0.9,14,2025-01-01,2025-01-14,6000.0,1200.0,6000.000000;1200.000000;1213.675523;4885.912285;2954.694945;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000,85689.12130218661,9744.953866466818,53020.83742258445,32668.283879602164,8231.422747512339,4.3206292046026125,False,False,mean_actual_cost_sum_pq_plus_5pe,95596.76005630138,False,
2025-01-29,2025-01-28,2025-01-29,2025-02-11,m1,0.6,14,2025-01-15,2025-01-28,1200.0,1202.2180909393308,1200.000000;1201.251268;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1246.685325;1201.518786;1263.098519;1200.000000;1208.575298;1200.000000;1200.000000;1202.218091,52712.21587319785,4498.033970115815,47963.84154565744,4748.374327540421,2387.5231785625465,8.736510184360668,False,False,mean_actual_cost_sum_pq_plus_5pe,57755.372957074935,False,
2025-01-29,2025-01-28,2025-01-29,2025-02-11,m1,0.7,14,2025-01-15,2025-01-28,1200.0,1202.2180909393308,1200.000000;1201.251268;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1246.685325;1201.518786;1263.098519;1200.000000;1208.575298;1200.000000;1200.000000;1202.218091,53037.54092504211,4452.922336770388,48335.49924550326,4702.041679538839,2484.4281257513508,8.674306222204384,False,False,mean_actual_cost_sum_pq_plus_5pe,57755.372957074935,False,
2025-01-29,2025-01-28,2025-01-29,2025-02-11,m1,0.8,14,2025-01-15,2025-01-28,1200.0,1202.2180909393308,1200.000000;1201.251268;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1246.685325;1201.518786;1263.098519;1200.000000;1208.575298;1200.000000;1200.000000;1202.218091,54013.041551334536,4067.4721855382413,49103.49407986873,4909.547471465811,3046.877012832983,8.902130438505472,False,False,mean_actual_cost_sum_pq_plus_5pe,57755.372957074935,False,
2025-01-29,2025-01-28,2025-01-29,2025-02-11,m1,0.9,14,2025-01-15,2025-01-28,1200.0,1202.2180909393308,1200.000000;1201.251268;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1246.685325;1201.518786;1263.098519;1200.000000;1208.575298;1200.000000;1200.000000;1202.218091,54775.2353728719,3842.832514979608,49989.63450072942,4785.600872142481,3344.2161549316797,8.819824402104132,False,False,mean_actual_cost_sum_pq_plus_5pe,57755.372957074935,False,
2025-01-29,2025-01-28,2025-01-29,2025-02-11,m2,0.6,14,2025-01-15,2025-01-28,1200.0,1200.0,1200.000000;1214.715897;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1211.847195;1210.381561;1212.120515;1200.000000;1205.235362;1200.000000;1200.000000;1200.000000,52980.41496040689,4509.786493521923,48021.42347781318,4958.991482593703,2449.5761337233685,8.738706192712666,False,False,mean_actual_cost_sum_pq_plus_5pe,57755.372957074935,False,
2025-01-29,2025-01-28,2025-01-29,2025-02-11,m2,0.7,14,2025-01-15,2025-01-28,1200.0,1200.0,1200.000000;1214.715897;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1211.847195;1210.381561;1212.120515;1200.000000;1205.235362;1200.000000;1200.000000;1200.000000,53272.18440711327,4460.360424864641,48392.07852510367,4880.105882009603,2515.6465966791793,8.755928289806304,False,False,mean_actual_cost_sum_pq_plus_5pe,57755.372957074935,False,
2025-01-29,2025-01-28,2025-01-29,2025-02-11,m2,0.8,14,2025-01-15,2025-01-28,1200.0,1200.0,1200.000000;1214.715897;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1211.847195;1210.381561;1212.120515;1200.000000;1205.235362;1200.000000;1200.000000;1200.000000,55030.030875713994,3943.5327080774323,49693.80863191023,5336.222243803767,3350.8828499027927,8.833477184130711,False,False,mean_actual_cost_sum_pq_plus_5pe,57755.372957074935,False,
2025-01-29,2025-01-28,2025-01-29,2025-02-11,m2,0.9,14,2025-01-15,2025-01-28,1200.0,1200.0,1200.000000;1214.715897;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1211.847195;1210.381561;1212.120515;1200.000000;1205.235362;1200.000000;1200.000000;1200.000000,55471.43612080628,3847.895640544367,50253.23206749074,5218.2040533155305,3547.86405260285,8.830562484891354,False,False,mean_actual_cost_sum_pq_plus_5pe,57755.372957074935,False,
