label,n_days,start_date,end_date,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,planned_q_kwh,actual_x_kwh,unused_plan_kwh,emergency_kwh,curtailment_kwh,soc_start_kwh,soc_end_kwh,max_balance_residual_kwh,all_days_pass,used_full_day_actual_lp,future_actuals_in_optimizer,period,scenario_k,soc_source,feb1_soc_start_kwh,only_registered_boundary_changed
january_warmup_main,31,2025-01-01,2025-01-31,1463771.5169918365,513796.8054198726,1977568.3224117085,2394516.480704846,2284526.272384517,109990.20832032917,138336.58775247002,15945.219682481793,6000.0,8390.680830206398,2.2737367544323206e-13,True,False,False,january_warmup,8,january_1_E_INITIAL_6000_then_inherited,,
feb_dec_inherited_warmup_soc,334,2025-02-01,2025-12-31,11883687.236905474,3282851.224024079,15166538.460929552,19574644.442922786,18934416.62355405,640227.819368735,924502.9287147812,1309834.0417919536,8390.680830206398,1200.0000000493028,1.1838210411951877e-09,True,False,False,feb_dec_output,8,inherited_january_warmup,8390.680830206398,
feb_dec_registered_boundary_6000,334,2025-02-01,2025-12-31,11884762.231213816,3282851.224024079,15167613.455237895,19577164.441783436,18936936.6224147,640227.819368735,924502.9287147812,1309834.0417919536,6000.0,1200.0000000493028,1.1838210411951877e-09,True,False,False,feb_dec_output,8,registered_boundary_E_INITIAL_6000,6000.0,True
full_year_including_warmup,365,2025-01-01,2025-12-31,13347458.75389731,3796648.029443952,17144106.783341262,21969160.92362763,21218942.895938568,750218.0276890642,1062839.5164672513,1325779.2614744352,6000.0,1200.0000000493028,1.1838210411951877e-09,True,False,False,full_year,8,,,
