decision_date,target_date,history_cutoff_date,forecast_mode,risk_alpha,risk_q_floor_kwh,soc_sample_kwh,virtual_next_day_cost_yuan,value_subgradient_yuan_per_kwh,certified_max_gap_yuan,gap_tolerance_yuan,bundle_sample_count
2025-02-01,2025-02-02,2025-02-01,m1,0.6,844.0082470238106,1200.0,54825.76138593579,-0.4544192997661961,0.7992968171674875,1.0,10
2025-02-01,2025-02-02,2025-02-01,m1,0.6,844.0082470238106,2850.385326518956,54076.50277484797,-0.4534706164681456,0.7992968171674875,1.0,10
2025-02-01,2025-02-02,2025-02-01,m1,0.6,844.0082470238106,3709.580558841014,53686.98975401373,-0.4525219331700951,0.7992968171674875,1.0,10
2025-02-01,2025-02-02,2025-02-01,m1,0.6,844.0082470238106,5876.908642692508,52707.79444151359,-0.45104620359534986,0.7992968171674875,1.0,10
2025-02-01,2025-02-02,2025-02-01,m1,0.6,844.0082470238106,7916.746839258588,51789.277284650736,-0.4499921110419604,0.7992968171674875,1.0,10
2025-02-01,2025-02-02,2025-02-01,m1,0.6,844.0082470238106,8527.11293175291,51514.83610818078,-0.44777851667984253,0.7992968171674875,1.0,10
2025-02-01,2025-02-02,2025-02-01,m1,0.6,844.0082470238106,9677.664033325666,50999.78912875871,-0.44746228891382567,0.7992968171674875,1.0,10
2025-02-01,2025-02-02,2025-02-01,m1,0.6,844.0082470238106,10009.430584957972,50851.33610818027,-0.4211205160046231,0.7992968171674875,1.0,10
2025-02-01,2025-02-02,2025-02-01,m1,0.6,844.0082470238106,10304.47526716322,50727.08673936558,-0.4211205160046231,0.7992968171674875,1.0,10
2025-02-01,2025-02-02,2025-02-01,m1,0.6,844.0082470238106,10800.0,50518.48971199506,-0.4052775049271795,0.7992968171674875,1.0,10
2025-06-21,2025-06-22,2025-06-21,m1,0.6,7438.059621428569,1200.0,44232.0324090718,-0.4544192997661961,0.7992968171747634,1.0,10
2025-06-21,2025-06-22,2025-06-21,m1,0.6,7438.059621428569,2850.385326518956,43482.77379798398,-0.4534706164681456,0.7992968171747634,1.0,10
2025-06-21,2025-06-22,2025-06-21,m1,0.6,7438.059621428569,3709.580558838857,43093.26077715072,-0.4525219331700951,0.7992968171747634,1.0,10
2025-06-21,2025-06-22,2025-06-21,m1,0.6,7438.059621428569,5876.908642692508,42114.06546464961,-0.45104620359534986,0.7992968171747634,1.0,10
2025-06-21,2025-06-22,2025-06-21,m1,0.6,7438.059621428569,7916.746839260618,41195.54830778584,-0.4499921110419604,0.7992968171747634,1.0,10
2025-06-21,2025-06-22,2025-06-21,m1,0.6,7438.059621428569,8527.112931755786,40921.10713131551,-0.44777851667984253,0.7992968171747634,1.0,10
2025-06-21,2025-06-22,2025-06-21,m1,0.6,7438.059621428569,9722.544263293119,40385.97794146651,-0.44746228891382567,0.7992968171747634,1.0,10
2025-06-21,2025-06-22,2025-06-21,m1,0.6,7438.059621428569,10009.430584957972,40257.60713131629,-0.4211205160046231,0.7992968171747634,1.0,10
2025-06-21,2025-06-22,2025-06-21,m1,0.6,7438.059621428569,10324.279566658792,40125.01776567891,-0.4211205160046231,0.7992968171747634,1.0,10
2025-06-21,2025-06-22,2025-06-21,m1,0.6,7438.059621428569,10800.0,39925.008434306015,-0.4030006650118583,0.7992968171747634,1.0,10
