label,n_days,start_date,end_date,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,planned_q_kwh,actual_x_kwh,unused_plan_kwh,emergency_kwh,curtailment_kwh,soc_start_kwh,soc_end_kwh,max_balance_residual_kwh,all_days_pass,used_full_day_actual_lp,future_actuals_in_optimizer,scenario_k,period,calendar_frozen_from_r2,include_value_cuts,elapsed_seconds,mean_effective_k,conclusion
feb_dec_k4,334,2025-02-01,2025-12-31,11901248.525394246,3289571.731206553,15190820.256600793,19586266.357488178,18944279.361796,641986.9956921779,922502.4008644873,1317957.6592487507,8390.680829759745,1200.0000000493028,1.4110582924331538e-08,True,False,False,4,feb_dec_output,True,True,860.3459106250084,4.0,retain_k8_stable
feb_dec_k8,334,2025-02-01,2025-12-31,11883687.236905474,3282851.224024079,15166538.460929552,19574644.442922786,18934416.62355405,640227.819368735,924502.9287147812,1309834.0417919536,8390.680830206398,1200.0000000493028,1.1838210411951877e-09,True,False,False,8,feb_dec_output,True,True,858.9998187500169,8.0,retain_k8_stable
feb_dec_k12,334,2025-02-01,2025-12-31,11876708.072515681,3279471.0360914445,15156179.108607128,19567790.299542483,18929413.250368178,638377.049174303,925322.3346842129,1305606.6843920513,8495.251137258134,1200.0000000493028,2.2737367544323206e-13,True,False,False,12,feb_dec_output,True,True,971.8193863750203,12.0,retain_k8_stable
