date,strategy,load_information_case,pv_mapping_mode,settlement_mode,with_terminal_value,year_end_soc_kwh,year_end_boundary,run_id,update_time,first_mutable_index,voi_yuan,implemented,l1_change_kwh,up_adjust_kwh,down_adjust_kwh,j_fix_yuan,j_free_yuan,soc_before_kwh,soc_after_plan_kwh,solver_status,solve_seconds
2025-12-01,M12_only,causal_load_main,linear_anchor_main,anchor_final_main,True,1200.0,A_q2_aligned,2025-12-01__M12_only__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye1200,12:00,72,527.0836719537474,True,1488.7893994114254,5.16538888888897,1483.6240105225365,84812.52910053916,84285.44542858542,6733.985905294663,8428.291709685152,optimal,0.05149720599911234
2025-12-01,M12_only,causal_load_main,linear_anchor_main,anchor_final_main,True,6000.0,B_energy_neutral,2025-12-01__M12_only__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye6000,00:00,0,,True,86517.36083012572,86517.36083012572,0.0,,101169.43847182087,6000.0,8428.291709685152,optimal,0.045993792000444955
2025-12-01,M12_only,causal_load_main,linear_anchor_main,anchor_final_main,True,6000.0,B_energy_neutral,2025-12-01__M12_only__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye6000,12:00,72,527.0836719537474,True,1488.7893994114254,5.16538888888897,1483.6240105225365,84812.52910053916,84285.44542858542,6733.985905294663,8428.291709685152,optimal,0.051576283998656436
2025-12-01,M18_only,causal_load_main,linear_anchor_main,anchor_final_main,True,1200.0,A_q2_aligned,2025-12-01__M18_only__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye1200,00:00,0,,True,86517.36083012572,86517.36083012572,0.0,,101169.43847182087,6000.0,8428.291709685152,optimal,0.04631259800044063
2025-12-01,M18_only,causal_load_main,linear_anchor_main,anchor_final_main,True,1200.0,A_q2_aligned,2025-12-01__M18_only__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye1200,18:00,108,0.0,False,0.0,0.0,0.0,63848.02315270169,63848.02315270169,10800.0,8428.291709462892,optimal,0.04365909800071677
2025-12-01,M18_only,causal_load_main,linear_anchor_main,anchor_final_main,True,6000.0,B_energy_neutral,2025-12-01__M18_only__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye6000,00:00,0,,True,86517.36083012572,86517.36083012572,0.0,,101169.43847182087,6000.0,8428.291709685152,optimal,0.045915266000520205
2025-12-01,M18_only,causal_load_main,linear_anchor_main,anchor_final_main,True,6000.0,B_energy_neutral,2025-12-01__M18_only__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye6000,18:00,108,0.0,False,0.0,0.0,0.0,63848.02315270169,63848.02315270169,10800.0,8428.291709462892,optimal,0.043576843998380355
2025-12-02,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,1200.0,A_q2_aligned,2025-12-02__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye1200,00:00,0,,True,87255.3811745712,87255.3811745712,0.0,,102153.54838522444,8204.320613231039,8428.291709720488,optimal,0.04565615300089121
2025-12-02,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,6000.0,B_energy_neutral,2025-12-02__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye6000,00:00,0,,True,87255.3811745712,87255.3811745712,0.0,,102153.54838522444,8204.320613231039,8428.291709720488,optimal,0.046109933999105124
2025-12-02,M1_M6,causal_load_main,linear_anchor_main,anchor_final_main,True,1200.0,A_q2_aligned,2025-12-02__M1_M6__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye1200,00:00,0,,True,87255.38117456772,87255.38117456772,0.0,,102153.54838522444,8204.320613231055,8428.291709717201,optimal,0.04583260599974892
2025-12-02,M1_M6,causal_load_main,linear_anchor_main,anchor_final_main,True,1200.0,A_q2_aligned,2025-12-02__M1_M6__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye1200,06:00,36,838.4351128451381,True,1864.952296843792,110.17299999999989,1754.779296843792,92438.91410248414,91600.478989639,9921.589538842116,8428.291709717201,optimal,0.06059353800083045
2025-12-02,M1_M6,causal_load_main,linear_anchor_main,anchor_final_main,True,1200.0,A_q2_aligned,2025-12-02__M1_M6__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye1200,12:00,72,529.5161948519817,True,1273.9042342765993,1.8166166666669596,1272.0876176099323,87565.27202523936,87035.75583038738,6733.985905294663,8428.291709717201,optimal,0.05158411499905924
2025-12-02,M1_M6,causal_load_main,linear_anchor_main,anchor_final_main,True,1200.0,A_q2_aligned,2025-12-02__M1_M6__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye1200,18:00,108,0.0,False,0.0,0.0,0.0,61766.463406044095,61766.463406044095,10800.0,8428.291709494972,optimal,0.04397258300014073
2025-12-02,M1_M6,causal_load_main,linear_anchor_main,anchor_final_main,True,6000.0,B_energy_neutral,2025-12-02__M1_M6__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye6000,00:00,0,,True,87255.38117456772,87255.38117456772,0.0,,102153.54838522444,8204.320613231055,8428.291709717201,optimal,0.04595341599997482
2025-12-02,M1_M6,causal_load_main,linear_anchor_main,anchor_final_main,True,6000.0,B_energy_neutral,2025-12-02__M1_M6__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye6000,06:00,36,838.4351128451381,True,1864.952296843792,110.17299999999989,1754.779296843792,92438.91410248414,91600.478989639,9921.589538842116,8428.291709717201,optimal,0.060858261000248604
