date,strategy,load_information_case,pv_mapping_mode,settlement_mode,with_terminal_value,year_end_soc_kwh,year_end_boundary,run_id,total_cost_yuan,settlement_cost_yuan,emergency_cost_yuan,curtailment_kwh,emergency_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,adjustment_count,up_adjust_kwh,down_adjust_kwh,max_balance_residual_kwh,max_soc_residual_kwh,max_simultaneous_cd_kwh2,locked_period_violations,runtime_seconds
2025-12-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,1200.0,A_q2_aligned,2025-12-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye1200,71099.53720350713,53661.75363543566,17437.783568071474,0.0,5086.571673946265,28153.256125395925,23246.728363535578,6000.0,8204.320613231039,0,0.0,0.0,2.2737367544323206e-13,4.547473508864641e-13,0.0,0,4.060249002001001
2025-12-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,6000.0,B_energy_neutral,2025-12-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye6000,71099.53720350713,53661.75363543566,17437.783568071474,0.0,5086.571673946265,28153.256125395925,23246.728363535578,6000.0,8204.320613231039,0,0.0,0.0,2.2737367544323206e-13,4.547473508864641e-13,0.0,0,4.008151877000273
2025-12-01,M1_M6,causal_load_main,linear_anchor_main,anchor_final_main,True,1200.0,A_q2_aligned,2025-12-01__M1_M6__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye1200,80402.04315134682,52583.55772888636,27818.48542246047,0.0,7779.705805610252,28238.10796186526,23323.09501635797,6000.0,8204.320613231055,2,5.16538888888897,2984.9194013017245,2.2737367544323206e-13,0.0,0.0,0,4.4881559220011695
2025-12-01,M1_M6,causal_load_main,linear_anchor_main,anchor_final_main,True,6000.0,B_energy_neutral,2025-12-01__M1_M6__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye6000,80402.04315134682,52583.55772888636,27818.48542246047,0.0,7779.705805610252,28238.10796186526,23323.09501635797,6000.0,8204.320613231055,2,5.16538888888897,2984.9194013017245,2.2737367544323206e-13,0.0,0.0,0,4.309398377999969
2025-12-01,M6_only,causal_load_main,linear_anchor_main,anchor_final_main,True,1200.0,A_q2_aligned,2025-12-01__M6_only__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye1200,77843.2404837639,53498.61556949551,24344.624914268392,0.0,6791.252916736677,27977.885654818565,23088.894940015954,6000.0,8204.320613231039,1,383.2736601463721,1673.117515779188,2.2737367544323206e-13,0.0,0.0,0,4.090121381999779
2025-12-01,M6_only,causal_load_main,linear_anchor_main,anchor_final_main,True,6000.0,B_energy_neutral,2025-12-01__M6_only__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye6000,77843.2404837639,53498.61556949551,24344.624914268392,0.0,6791.252916736677,27977.885654818565,23088.894940015954,6000.0,8204.320613231039,1,383.2736601463721,1673.117515779188,2.2737367544323206e-13,0.0,0.0,0,4.050736768000206
2025-12-01,M12_only,causal_load_main,linear_anchor_main,anchor_final_main,True,1200.0,A_q2_aligned,2025-12-01__M12_only__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye1200,74760.27891183247,53159.45423758057,21600.824674251908,0.0,6302.788323370793,28238.107963929215,23323.09501821553,6000.0,8204.320613231055,1,5.16538888888897,1483.6240105225365,2.2737367544323206e-13,4.547473508864641e-13,0.0,0,4.0413418440002715
2025-12-01,M12_only,causal_load_main,linear_anchor_main,anchor_final_main,True,6000.0,B_energy_neutral,2025-12-01__M12_only__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye6000,74760.27891183247,53159.45423758057,21600.824674251908,0.0,6302.788323370793,28238.107963929215,23323.09501821553,6000.0,8204.320613231055,1,5.16538888888897,1483.6240105225365,2.2737367544323206e-13,4.547473508864641e-13,0.0,0,4.01939008500085
2025-12-01,M18_only,causal_load_main,linear_anchor_main,anchor_final_main,True,1200.0,A_q2_aligned,2025-12-01__M18_only__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye1200,71099.53720350713,53661.75363543566,17437.783568071474,0.0,5086.571673946265,28153.256125395943,23246.728363535578,6000.0,8204.320613231055,0,0.0,0.0,2.2737367544323206e-13,4.547473508864641e-13,0.0,0,4.033992337001109
2025-12-01,M18_only,causal_load_main,linear_anchor_main,anchor_final_main,True,6000.0,B_energy_neutral,2025-12-01__M18_only__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye6000,71099.53720350713,53661.75363543566,17437.783568071474,0.0,5086.571673946265,28153.256125395943,23246.728363535578,6000.0,8204.320613231055,0,0.0,0.0,2.2737367544323206e-13,4.547473508864641e-13,0.0,0,4.062334711001313
2025-12-02,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,1200.0,A_q2_aligned,2025-12-02__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye1200,75638.85373262236,54401.46855159478,21237.385181027585,0.0,5748.690491666368,25555.609067636346,22941.325060680218,8204.320613231039,8266.220195855896,0,0.0,0.0,1.7053025658242404e-12,1.8189894035458565e-12,0.0,0,4.068488068000079
