date,strategy,load_information_case,pv_mapping_mode,settlement_mode,with_terminal_value,run_id,update_time,first_mutable_index,voi_yuan,implemented,l1_change_kwh,up_adjust_kwh,down_adjust_kwh,j_fix_yuan,j_free_yuan,soc_before_kwh,soc_after_plan_kwh,solver_status,solve_seconds
2025-02-01,M12_only,causal_load_main,linear_anchor_main,adjacent_literal_sensitivity,True,2025-02-01__M12_only__causal_load_main__linear_anchor_main__adjacent_literal_sensitivity__48h,12:00,72,0.0,False,0.0,0.0,0.0,69020.54048865524,69020.54048865524,6223.037558822081,8430.070206644376,optimal,0.0503598579998652
2025-02-01,M18_only,causal_load_main,linear_anchor_main,adjacent_literal_sensitivity,True,2025-02-01__M18_only__causal_load_main__linear_anchor_main__adjacent_literal_sensitivity__48h,00:00,0,,True,41179.00093262183,41179.00093262183,0.0,,72937.71498927024,8687.551655739135,8428.291709703231,optimal,0.04621834899990063
2025-02-01,M18_only,causal_load_main,linear_anchor_main,adjacent_literal_sensitivity,True,2025-02-01__M18_only__causal_load_main__linear_anchor_main__adjacent_literal_sensitivity__48h,18:00,108,0.0,False,0.0,0.0,0.0,55438.567294912034,55438.567294912034,9884.665414561672,8486.468400973226,optimal,0.04299656700095511
2025-02-01,M0,causal_load_main,step_hourly_sensitivity,anchor_final_main,True,2025-02-01__M0__causal_load_main__step_hourly_sensitivity__anchor_final_main__48h,00:00,0,,True,41168.220220279196,41168.220220279196,0.0,,73414.61791304892,8687.551655739135,8428.291709703231,optimal,0.046002490000319085
2025-02-01,M1_M6,causal_load_main,step_hourly_sensitivity,anchor_final_main,True,2025-02-01__M1_M6__causal_load_main__step_hourly_sensitivity__anchor_final_main__48h,00:00,0,,True,41168.220220279196,41168.220220279196,0.0,,73414.61791304892,8687.551655739135,8428.291709703231,optimal,0.08075868599917158
2025-02-01,M1_M6,causal_load_main,step_hourly_sensitivity,anchor_final_main,True,2025-02-01__M1_M6__causal_load_main__step_hourly_sensitivity__anchor_final_main__48h,06:00,36,519.2179349205544,True,1433.798104169995,0.0,1433.798104169995,66134.16294880476,65614.94501388421,7189.080940352347,8428.291709260853,optimal,0.06009353600165923
2025-02-01,M1_M6,causal_load_main,step_hourly_sensitivity,anchor_final_main,True,2025-02-01__M1_M6__causal_load_main__step_hourly_sensitivity__anchor_final_main__48h,12:00,72,4415.053455763758,True,2235.3458361111716,2235.3458361111034,6.855316314613447e-11,75736.41936411509,71321.36590835133,5860.386953285986,8428.291709260799,optimal,0.05196829200031061
2025-02-01,M1_M6,causal_load_main,step_hourly_sensitivity,anchor_final_main,True,2025-02-01__M1_M6__causal_load_main__step_hourly_sensitivity__anchor_final_main__48h,18:00,108,1.354125676145486,True,62.83644951912569,4.6636171191494213e-07,62.83644905276398,55283.81978852026,55282.465662844115,9884.665414561672,8428.2917194858,optimal,0.04359265899984166
2025-02-01,M6_only,causal_load_main,step_hourly_sensitivity,anchor_final_main,True,2025-02-01__M6_only__causal_load_main__step_hourly_sensitivity__anchor_final_main__48h,00:00,0,,True,41168.220220279196,41168.220220279196,0.0,,73414.61791304892,8687.551655739135,8428.291709703231,optimal,0.04584591900129453
2025-02-01,M6_only,causal_load_main,step_hourly_sensitivity,anchor_final_main,True,2025-02-01__M6_only__causal_load_main__step_hourly_sensitivity__anchor_final_main__48h,06:00,36,519.2179349205544,True,1433.798104169995,0.0,1433.798104169995,66134.16294880476,65614.94501388421,7189.080940352347,8428.291709260853,optimal,0.09037299499868823
2025-02-01,M12_only,causal_load_main,step_hourly_sensitivity,anchor_final_main,True,2025-02-01__M12_only__causal_load_main__step_hourly_sensitivity__anchor_final_main__48h,00:00,0,,True,41168.220220279196,41168.220220279196,0.0,,73414.61791304892,8687.551655739135,8428.291709703231,optimal,0.04578947200025141
2025-02-01,M12_only,causal_load_main,step_hourly_sensitivity,anchor_final_main,True,2025-02-01__M12_only__causal_load_main__step_hourly_sensitivity__anchor_final_main__48h,12:00,72,583.0935170379526,True,405.05263291247707,405.0526324462181,4.662589390136418e-07,71645.33445593211,71062.24093889416,6236.53523237803,8428.291709260853,optimal,0.05134116500084929
2025-02-01,M18_only,causal_load_main,step_hourly_sensitivity,anchor_final_main,True,2025-02-01__M18_only__causal_load_main__step_hourly_sensitivity__anchor_final_main__48h,00:00,0,,True,41168.220220279196,41168.220220279196,0.0,,73414.61791304892,8687.551655739135,8428.291709703231,optimal,0.04591797699868039
2025-02-01,M18_only,causal_load_main,step_hourly_sensitivity,anchor_final_main,True,2025-02-01__M18_only__causal_load_main__step_hourly_sensitivity__anchor_final_main__48h,18:00,108,1.354125577090599,True,62.83644905276398,0.0,62.83644905276398,55283.819788421206,55282.465662844115,9884.665414561672,8428.2917194858,optimal,0.04495252700144192
2025-02-01,M0,causal_load_main,step_hourly_sensitivity,adjacent_literal_sensitivity,True,2025-02-01__M0__causal_load_main__step_hourly_sensitivity__adjacent_literal_sensitivity__48h,00:00,0,,True,41168.220220279196,41168.220220279196,0.0,,73414.61791304892,8687.551655739135,8428.291709703231,optimal,0.04601109999930486
2025-02-01,M1_M6,causal_load_main,step_hourly_sensitivity,adjacent_literal_sensitivity,True,2025-02-01__M1_M6__causal_load_main__step_hourly_sensitivity__adjacent_literal_sensitivity__48h,00:00,0,,True,41168.220220279196,41168.220220279196,0.0,,73414.61791304892,8687.551655739135,8428.291709703231,optimal,0.045826272000340396
2025-02-01,M1_M6,causal_load_main,step_hourly_sensitivity,adjacent_literal_sensitivity,True,2025-02-01__M1_M6__causal_load_main__step_hourly_sensitivity__adjacent_literal_sensitivity__48h,06:00,36,0.0,False,0.0,0.0,0.0,66134.16294880476,66134.16294880476,7189.080940352347,8428.291709481018,optimal,0.09735483199983719
2025-02-01,M1_M6,causal_load_main,step_hourly_sensitivity,adjacent_literal_sensitivity,True,2025-02-01__M1_M6__causal_load_main__step_hourly_sensitivity__adjacent_literal_sensitivity__48h,12:00,72,2774.031089523749,True,1811.2413360939554,1811.2413360939554,0.0,74775.24527376896,72001.21418424521,4902.507495303849,8428.291709703231,optimal,0.05016940300083661
2025-02-01,M1_M6,causal_load_main,step_hourly_sensitivity,adjacent_literal_sensitivity,True,2025-02-01__M1_M6__causal_load_main__step_hourly_sensitivity__adjacent_literal_sensitivity__48h,18:00,108,0.0,False,0.0,0.0,0.0,55283.819788421206,55283.819788421206,9884.665414561672,8494.527152290444,optimal,0.04248205100157065
2025-02-01,M6_only,causal_load_main,step_hourly_sensitivity,adjacent_literal_sensitivity,True,2025-02-01__M6_only__causal_load_main__step_hourly_sensitivity__adjacent_literal_sensitivity__48h,00:00,0,,True,41168.220220279196,41168.220220279196,0.0,,73414.61791304892,8687.551655739135,8428.291709703231,optimal,0.04627720400094404
2025-02-01,M6_only,causal_load_main,step_hourly_sensitivity,adjacent_literal_sensitivity,True,2025-02-01__M6_only__causal_load_main__step_hourly_sensitivity__adjacent_literal_sensitivity__48h,06:00,36,0.0,False,0.0,0.0,0.0,66134.16294880476,66134.16294880476,7189.080940352347,8428.291709481018,optimal,0.05897276700125076
2025-02-01,M12_only,causal_load_main,step_hourly_sensitivity,adjacent_literal_sensitivity,True,2025-02-01__M12_only__causal_load_main__step_hourly_sensitivity__adjacent_literal_sensitivity__48h,00:00,0,,True,41168.220220279196,41168.220220279196,0.0,,73414.61791304892,8687.551655739135,8428.291709703231,optimal,0.04561619899868674
2025-02-01,M12_only,causal_load_main,step_hourly_sensitivity,adjacent_literal_sensitivity,True,2025-02-01__M12_only__causal_load_main__step_hourly_sensitivity__adjacent_literal_sensitivity__48h,12:00,72,583.0935170379526,True,405.05263243080674,405.05263243080674,0.0,71645.33445593211,71062.24093889416,6236.53523237803,8428.291709703231,optimal,0.04992785699869273
2025-02-01,M18_only,causal_load_main,step_hourly_sensitivity,adjacent_literal_sensitivity,True,2025-02-01__M18_only__causal_load_main__step_hourly_sensitivity__adjacent_literal_sensitivity__48h,00:00,0,,True,41168.220220279196,41168.220220279196,0.0,,73414.61791304892,8687.551655739135,8428.291709703231,optimal,0.05124506099855353
2025-02-01,M18_only,causal_load_main,step_hourly_sensitivity,adjacent_literal_sensitivity,True,2025-02-01__M18_only__causal_load_main__step_hourly_sensitivity__adjacent_literal_sensitivity__48h,18:00,108,0.0,False,0.0,0.0,0.0,55283.819788421206,55283.819788421206,9884.665414561672,8494.527152290444,optimal,0.04291462000037427
2025-06-21,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-06-21__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,00:00,0,,True,32873.88046048455,32873.88046048455,0.0,,56670.99531318895,6000.0,8428.291709690906,optimal,0.045867031998568564
2025-06-21,M1_M6,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-06-21__M1_M6__causal_load_main__linear_anchor_main__anchor_final_main__48h,00:00,0,,True,32873.88046048455,32873.88046048455,0.0,,56670.99531318895,6000.0,8428.291709690906,optimal,0.05062014599934628
2025-06-21,M1_M6,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-06-21__M1_M6__causal_load_main__linear_anchor_main__anchor_final_main__48h,06:00,36,419.5500711907516,True,399.6089754661349,66.23565000000093,333.37332546613396,51555.77717869559,51136.22710750484,2361.6684447312873,8428.291709248684,optimal,0.060126025000499794
2025-06-21,M1_M6,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-06-21__M1_M6__causal_load_main__linear_anchor_main__anchor_final_main__48h,12:00,72,1134.469341414726,True,609.4084333334324,559.6616083333265,49.746825000105844,50419.74545749548,49285.27611608076,1619.5716917362042,8428.291709248602,optimal,0.0913287000003038
2025-06-21,M1_M6,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-06-21__M1_M6__causal_load_main__linear_anchor_main__anchor_final_main__48h,18:00,108,20.475935097165348,True,29.13309959140281,4.662368837671238e-07,29.133099125165927,48126.02300578967,48105.547070692504,10393.223926673485,8428.291710460462,optimal,0.04350057299961918
2025-06-21,M6_only,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-06-21__M6_only__causal_load_main__linear_anchor_main__anchor_final_main__48h,00:00,0,,True,32873.88046048455,32873.88046048455,0.0,,56670.99531318895,6000.0,8428.291709690906,optimal,0.0458495379989472
2025-06-21,M6_only,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-06-21__M6_only__causal_load_main__linear_anchor_main__anchor_final_main__48h,06:00,36,419.5500711907516,True,399.6089754661349,66.23565000000093,333.37332546613396,51555.77717869559,51136.22710750484,2361.6684447312873,8428.291709248684,optimal,0.09792497899979935
2025-06-21,M12_only,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-06-21__M12_only__causal_load_main__linear_anchor_main__anchor_final_main__48h,00:00,0,,True,32873.88046048455,32873.88046048455,0.0,,56670.99531318895,6000.0,8428.291709690906,optimal,0.04614524600037839
2025-06-21,M12_only,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-06-21__M12_only__causal_load_main__linear_anchor_main__anchor_final_main__48h,12:00,72,1048.6519113036338,True,654.3485031285363,654.3485026622652,4.66271103505278e-07,50610.82672223305,49562.17481092941,1229.1207839809758,8428.291709248575,optimal,0.05123305300003267
2025-06-21,M18_only,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-06-21__M18_only__causal_load_main__linear_anchor_main__anchor_final_main__48h,00:00,0,,True,32873.88046048455,32873.88046048455,0.0,,56670.99531318895,6000.0,8428.291709690906,optimal,0.04604000099971017
2025-06-21,M18_only,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-06-21__M18_only__causal_load_main__linear_anchor_main__anchor_final_main__48h,18:00,108,2.187649519139086,True,15.70459093660395,0.0,15.70459093660395,48107.734720123146,48105.54707060401,10393.223926826086,8428.291710460462,optimal,0.0436417889995937
2025-06-21,M0,causal_load_main,linear_anchor_main,adjacent_literal_sensitivity,True,2025-06-21__M0__causal_load_main__linear_anchor_main__adjacent_literal_sensitivity__48h,00:00,0,,True,32873.88046048455,32873.88046048455,0.0,,56670.99531318895,6000.0,8428.291709690906,optimal,0.045840815000701696
2025-06-21,M1_M6,causal_load_main,linear_anchor_main,adjacent_literal_sensitivity,True,2025-06-21__M1_M6__causal_load_main__linear_anchor_main__adjacent_literal_sensitivity__48h,00:00,0,,True,32873.88046048455,32873.88046048455,0.0,,56670.99531318895,6000.0,8428.291709690906,optimal,0.04626831700079492
2025-06-21,M1_M6,causal_load_main,linear_anchor_main,adjacent_literal_sensitivity,True,2025-06-21__M1_M6__causal_load_main__linear_anchor_main__adjacent_literal_sensitivity__48h,06:00,36,275.7228242670026,True,66.23565000000093,66.23565000000093,0.0,51555.77717869559,51280.05435442859,2361.6684447312873,8428.29170946868,optimal,0.05916352699932759
2025-06-21,M1_M6,causal_load_main,linear_anchor_main,adjacent_literal_sensitivity,True,2025-06-21__M1_M6__causal_load_main__linear_anchor_main__adjacent_literal_sensitivity__48h,12:00,72,769.26328532568,True,505.58865925924954,505.58865925924954,0.0,50329.867038378965,49560.603753053285,1303.3059862931375,8428.291709468696,optimal,0.04999439699895447
2025-06-21,M1_M6,causal_load_main,linear_anchor_main,adjacent_literal_sensitivity,True,2025-06-21__M1_M6__causal_load_main__linear_anchor_main__adjacent_literal_sensitivity__48h,18:00,108,0.0,False,0.0,0.0,0.0,48138.8125916791,48138.8125916791,10385.872703649207,8459.000692676193,optimal,0.04300026000055368
2025-06-21,M6_only,causal_load_main,linear_anchor_main,adjacent_literal_sensitivity,True,2025-06-21__M6_only__causal_load_main__linear_anchor_main__adjacent_literal_sensitivity__48h,00:00,0,,True,32873.88046048455,32873.88046048455,0.0,,56670.99531318895,6000.0,8428.291709690906,optimal,0.04592943900024693
2025-06-21,M6_only,causal_load_main,linear_anchor_main,adjacent_literal_sensitivity,True,2025-06-21__M6_only__causal_load_main__linear_anchor_main__adjacent_literal_sensitivity__48h,06:00,36,275.7228242670026,True,66.23565000000093,66.23565000000093,0.0,51555.77717869559,51280.05435442859,2361.6684447312873,8428.29170946868,optimal,0.09118886400028714
2025-06-21,M12_only,causal_load_main,linear_anchor_main,adjacent_literal_sensitivity,True,2025-06-21__M12_only__causal_load_main__linear_anchor_main__adjacent_literal_sensitivity__48h,00:00,0,,True,32873.88046048455,32873.88046048455,0.0,,56670.99531318895,6000.0,8428.291709690906,optimal,0.04609606600024563
2025-06-21,M12_only,causal_load_main,linear_anchor_main,adjacent_literal_sensitivity,True,2025-06-21__M12_only__causal_load_main__linear_anchor_main__adjacent_literal_sensitivity__48h,12:00,72,1048.6519113036338,True,654.3485026622652,654.3485026622652,0.0,50610.82672223305,49562.17481092941,1229.1207839809758,8428.29170946868,optimal,0.05017767599929357
2025-06-21,M18_only,causal_load_main,linear_anchor_main,adjacent_literal_sensitivity,True,2025-06-21__M18_only__causal_load_main__linear_anchor_main__adjacent_literal_sensitivity__48h,00:00,0,,True,32873.88046048455,32873.88046048455,0.0,,56670.99531318895,6000.0,8428.291709690906,optimal,0.04571444000066549
2025-06-21,M18_only,causal_load_main,linear_anchor_main,adjacent_literal_sensitivity,True,2025-06-21__M18_only__causal_load_main__linear_anchor_main__adjacent_literal_sensitivity__48h,18:00,108,0.0,False,0.0,0.0,0.0,48107.734720123146,48107.734720123146,10393.223926826086,8444.845802597441,optimal,0.04294802000003983
2025-06-21,M0,causal_load_main,step_hourly_sensitivity,anchor_final_main,True,2025-06-21__M0__causal_load_main__step_hourly_sensitivity__anchor_final_main__48h,00:00,0,,True,33380.641089647754,33380.641089647754,0.0,,58790.512041901486,6000.0,8428.291709687619,optimal,0.045836452998628374
2025-06-21,M1_M6,causal_load_main,step_hourly_sensitivity,anchor_final_main,True,2025-06-21__M1_M6__causal_load_main__step_hourly_sensitivity__anchor_final_main__48h,00:00,0,,True,33380.641089647754,33380.641089647754,0.0,,58790.512041901486,6000.0,8428.291709687619,optimal,0.046053200001551886
2025-06-21,M1_M6,causal_load_main,step_hourly_sensitivity,anchor_final_main,True,2025-06-21__M1_M6__causal_load_main__step_hourly_sensitivity__anchor_final_main__48h,06:00,36,464.5465988908254,True,445.6654754661946,89.55399999999747,356.11147546619713,54198.607130072385,53734.06053118156,1500.0613593440146,8428.291709245375,optimal,0.06006194600013259
2025-06-21,M1_M6,causal_load_main,step_hourly_sensitivity,anchor_final_main,True,2025-06-21__M1_M6__causal_load_main__step_hourly_sensitivity__anchor_final_main__48h,12:00,72,1140.8657044890424,True,707.2513500046477,640.5996499999895,66.65170000465821,53060.758801079515,51919.89309659047,3005.0533669179767,8428.291709240924,optimal,0.05188535600245814
2025-06-21,M1_M6,causal_load_main,step_hourly_sensitivity,anchor_final_main,True,2025-06-21__M1_M6__causal_load_main__step_hourly_sensitivity__anchor_final_main__48h,18:00,108,0.26466226986667607,True,0.3917998072446718,4.7085654841794167e-07,0.39179933638812336,49229.29208085423,49229.02741858437,10800.0,8428.291710387133,optimal,0.043656743999235914
2025-06-21,M6_only,causal_load_main,step_hourly_sensitivity,anchor_final_main,True,2025-06-21__M6_only__causal_load_main__step_hourly_sensitivity__anchor_final_main__48h,00:00,0,,True,33380.641089647754,33380.641089647754,0.0,,58790.512041901486,6000.0,8428.291709687619,optimal,0.04615941499832843
2025-06-21,M6_only,causal_load_main,step_hourly_sensitivity,anchor_final_main,True,2025-06-21__M6_only__causal_load_main__step_hourly_sensitivity__anchor_final_main__48h,06:00,36,464.5465988908254,True,445.6654754661946,89.55399999999747,356.11147546619713,54198.607130072385,53734.06053118156,1500.0613593440146,8428.291709245375,optimal,0.059548283999902196
2025-06-21,M12_only,causal_load_main,step_hourly_sensitivity,anchor_final_main,True,2025-06-21__M12_only__causal_load_main__step_hourly_sensitivity__anchor_final_main__48h,00:00,0,,True,33380.641089647754,33380.641089647754,0.0,,58790.512041901486,6000.0,8428.291709687619,optimal,0.04641083500064269
2025-06-21,M12_only,causal_load_main,step_hourly_sensitivity,anchor_final_main,True,2025-06-21__M12_only__causal_load_main__step_hourly_sensitivity__anchor_final_main__48h,12:00,72,2641.816537925799,True,1340.544050470774,1340.5440499999859,4.7078799525479553e-07,55476.307750081265,52834.491212155466,2024.9178259942996,8428.291709241006,optimal,0.051422686001387774
2025-06-21,M18_only,causal_load_main,step_hourly_sensitivity,anchor_final_main,True,2025-06-21__M18_only__causal_load_main__step_hourly_sensitivity__anchor_final_main__48h,00:00,0,,True,33380.641089647754,33380.641089647754,0.0,,58790.512041901486,6000.0,8428.291709687619,optimal,0.046111390000078245
2025-06-21,M18_only,causal_load_main,step_hourly_sensitivity,anchor_final_main,True,2025-06-21__M18_only__causal_load_main__step_hourly_sensitivity__anchor_final_main__48h,18:00,108,0.034144843339163344,True,0.2265993363895742,0.0,0.2265993363895742,49229.061563427706,49229.02741858437,10800.0,8428.291710387133,optimal,0.04379852999954892
2025-06-21,M0,causal_load_main,step_hourly_sensitivity,adjacent_literal_sensitivity,True,2025-06-21__M0__causal_load_main__step_hourly_sensitivity__adjacent_literal_sensitivity__48h,00:00,0,,True,33380.641089647754,33380.641089647754,0.0,,58790.512041901486,6000.0,8428.291709687619,optimal,0.04649493299984897
2025-06-21,M1_M6,causal_load_main,step_hourly_sensitivity,adjacent_literal_sensitivity,True,2025-06-21__M1_M6__causal_load_main__step_hourly_sensitivity__adjacent_literal_sensitivity__48h,00:00,0,,True,33380.641089647754,33380.641089647754,0.0,,58790.512041901486,6000.0,8428.291709687619,optimal,0.045832833000531537
