current_date,target_date,issue_hour,pv_mapping_mode,soc_sample_kwh,virtual_next_day_cost_yuan,value_subgradient_yuan_per_kwh,certified_max_gap_yuan,bundle_sample_count,information
2025-02-01,2025-02-02,6,step_hourly_sensitivity,10308.00309594499,50393.806744058886,-0.4211205160046231,0.7992968171674875,10,Q3 step_hourly_sensitivity overlay + causal prior-day load/PV; no future actual PV
2025-02-01,2025-02-02,6,step_hourly_sensitivity,10800.0,50186.6865618439,-0.40499289993776433,0.7992968171674875,10,Q3 step_hourly_sensitivity overlay + causal prior-day load/PV; no future actual PV
2025-02-01,2025-02-02,12,linear_anchor_main,1200.0,58553.04305955828,-0.4544192997661961,0.7992968171674875,10,Q3 linear_anchor_main overlay + causal prior-day load/PV; no future actual PV
2025-02-01,2025-02-02,12,linear_anchor_main,2850.385326518956,57803.78444847046,-0.4534706164681456,0.7992968171674875,10,Q3 linear_anchor_main overlay + causal prior-day load/PV; no future actual PV
2025-02-01,2025-02-02,12,linear_anchor_main,3709.580558841014,57414.271427636224,-0.4525219331700951,0.7992968171674875,10,Q3 linear_anchor_main overlay + causal prior-day load/PV; no future actual PV
2025-02-01,2025-02-02,12,linear_anchor_main,5876.908642691462,56435.07611513656,-0.45104620359534986,0.7992968171674875,10,Q3 linear_anchor_main overlay + causal prior-day load/PV; no future actual PV
2025-02-01,2025-02-02,12,linear_anchor_main,7916.746839256558,55516.558958274145,-0.4499921110419604,0.7992968171674875,10,Q3 linear_anchor_main overlay + causal prior-day load/PV; no future actual PV
2025-02-01,2025-02-02,12,linear_anchor_main,8527.11293175291,55242.117781803274,-0.44777851667984253,0.7992968171674875,10,Q3 linear_anchor_main overlay + causal prior-day load/PV; no future actual PV
2025-02-01,2025-02-02,12,linear_anchor_main,9727.532631762831,54704.75648517959,-0.44746228891382567,0.7992968171674875,10,Q3 linear_anchor_main overlay + causal prior-day load/PV; no future actual PV
2025-02-01,2025-02-02,12,linear_anchor_main,10009.430584957972,54578.61778180277,-0.4211205160046231,0.7992968171674875,10,Q3 linear_anchor_main overlay + causal prior-day load/PV; no future actual PV
2025-02-01,2025-02-02,12,linear_anchor_main,10330.048476425494,54443.59900990766,-0.4211205160046231,0.7992968171674875,10,Q3 linear_anchor_main overlay + causal prior-day load/PV; no future actual PV
2025-02-01,2025-02-02,12,linear_anchor_main,10800.0,54245.76258969613,-0.4030006650118583,0.7992968171674875,10,Q3 linear_anchor_main overlay + causal prior-day load/PV; no future actual PV
2025-02-01,2025-02-02,12,step_hourly_sensitivity,1200.0,59172.14780020776,-0.4544192997661961,0.7992968171674875,10,Q3 step_hourly_sensitivity overlay + causal prior-day load/PV; no future actual PV
2025-02-01,2025-02-02,12,step_hourly_sensitivity,2850.385326518956,58422.889189119946,-0.4534706164681456,0.7992968171674875,10,Q3 step_hourly_sensitivity overlay + causal prior-day load/PV; no future actual PV
2025-02-01,2025-02-02,12,step_hourly_sensitivity,3709.580558843171,58033.376168284725,-0.4525219331700951,0.7992968171674875,10,Q3 step_hourly_sensitivity overlay + causal prior-day load/PV; no future actual PV
2025-02-01,2025-02-02,12,step_hourly_sensitivity,5876.908642692508,57054.180855785555,-0.45104620359534986,0.7992968171674875,10,Q3 step_hourly_sensitivity overlay + causal prior-day load/PV; no future actual PV
2025-02-01,2025-02-02,12,step_hourly_sensitivity,7916.746839256558,56135.663698923614,-0.4499921110419604,0.7992968171674875,10,Q3 step_hourly_sensitivity overlay + causal prior-day load/PV; no future actual PV
2025-02-01,2025-02-02,12,step_hourly_sensitivity,8527.11293175291,55861.22252245275,-0.44777851667984253,0.7992968171674875,10,Q3 step_hourly_sensitivity overlay + causal prior-day load/PV; no future actual PV
2025-02-01,2025-02-02,12,step_hourly_sensitivity,9727.532631762973,55323.861225829,-0.44746228891382567,0.7992968171674875,10,Q3 step_hourly_sensitivity overlay + causal prior-day load/PV; no future actual PV
2025-02-01,2025-02-02,12,step_hourly_sensitivity,10009.430584957972,55197.72252245224,-0.4211205160046231,0.7992968171674875,10,Q3 step_hourly_sensitivity overlay + causal prior-day load/PV; no future actual PV
2025-02-01,2025-02-02,12,step_hourly_sensitivity,10330.048476425494,55062.70375055713,-0.4211205160046231,0.7992968171674875,10,Q3 step_hourly_sensitivity overlay + causal prior-day load/PV; no future actual PV
2025-02-01,2025-02-02,12,step_hourly_sensitivity,10800.0,54864.8673303456,-0.4030006650118583,0.7992968171674875,10,Q3 step_hourly_sensitivity overlay + causal prior-day load/PV; no future actual PV
2025-02-01,2025-02-02,18,linear_anchor_main,1200.0,50622.766959841225,-0.4544192997661961,0.7992968171674875,10,Q3 linear_anchor_main overlay + causal prior-day load/PV; no future actual PV
2025-02-01,2025-02-02,18,linear_anchor_main,2850.385326518956,49873.50834875341,-0.4534706164681456,0.7992968171674875,10,Q3 linear_anchor_main overlay + causal prior-day load/PV; no future actual PV
2025-02-01,2025-02-02,18,linear_anchor_main,3709.580558841014,49483.99532791917,-0.4525219331700951,0.7992968171674875,10,Q3 linear_anchor_main overlay + causal prior-day load/PV; no future actual PV
2025-02-01,2025-02-02,18,linear_anchor_main,5876.908642693554,48504.80001541856,-0.45104620359534986,0.7992968171674875,10,Q3 linear_anchor_main overlay + causal prior-day load/PV; no future actual PV
2025-02-01,2025-02-02,18,linear_anchor_main,7916.746839260618,47586.28285855526,-0.4499921110419604,0.7992968171674875,10,Q3 linear_anchor_main overlay + causal prior-day load/PV; no future actual PV
2025-02-01,2025-02-02,18,linear_anchor_main,8527.112931758662,47311.84168208364,-0.44777851667984253,0.7992968171674875,10,Q3 linear_anchor_main overlay + causal prior-day load/PV; no future actual PV
2025-02-01,2025-02-02,18,linear_anchor_main,9727.532631762973,46774.48038546246,-0.44746228891382567,0.7992968171674875,10,Q3 linear_anchor_main overlay + causal prior-day load/PV; no future actual PV
2025-02-01,2025-02-02,18,linear_anchor_main,10009.430584957698,46648.341682085826,-0.4211205160046231,0.7992968171674875,10,Q3 linear_anchor_main overlay + causal prior-day load/PV; no future actual PV
2025-02-01,2025-02-02,18,linear_anchor_main,10330.04847642533,46513.32291019066,-0.4211205160046231,0.7992968171674875,10,Q3 linear_anchor_main overlay + causal prior-day load/PV; no future actual PV
2025-02-01,2025-02-02,18,linear_anchor_main,10800.0,46315.48648997907,-0.4030006650118583,0.7992968171674875,10,Q3 linear_anchor_main overlay + causal prior-day load/PV; no future actual PV
2025-02-01,2025-02-02,18,step_hourly_sensitivity,1200.0,50464.08140939956,-0.4544192997661961,0.7992968171747634,10,Q3 step_hourly_sensitivity overlay + causal prior-day load/PV; no future actual PV
2025-02-01,2025-02-02,18,step_hourly_sensitivity,2850.3853265227904,49714.82279831,-0.4534706164681456,0.7992968171747634,10,Q3 step_hourly_sensitivity overlay + causal prior-day load/PV; no future actual PV
2025-02-01,2025-02-02,18,step_hourly_sensitivity,3709.580558841014,49325.309777477494,-0.4525219331700951,0.7992968171747634,10,Q3 step_hourly_sensitivity overlay + causal prior-day load/PV; no future actual PV
2025-02-01,2025-02-02,18,step_hourly_sensitivity,5876.908642692508,48346.11446497736,-0.45104620359534986,0.7992968171747634,10,Q3 step_hourly_sensitivity overlay + causal prior-day load/PV; no future actual PV
