date,strategy,load_information_case,pv_mapping_mode,settlement_mode,with_terminal_value,run_id,row_role,period,time,plan_version_time,g_before_kwh,g_after_kwh,up_adjust_kwh,down_adjust_kwh,ordinary_yuan,up_fee_yuan,down_fee_yuan,emergency_kwh,emergency_yuan,total_yuan
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,7,01:20,00:00,475.97909583333325,475.97909583333325,0.0,0.0,204.76620702749997,0.0,0.0,0.0,0.0,204.76620702749997
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,7,01:20,execution,475.97909583333325,475.97909583333325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,period_total,8,01:30,00:00,462.72,462.72,0.0,0.0,197.99788800000002,0.0,0.0,0.0,0.0,197.99788800000002
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,8,01:30,00:00,462.72,462.72,0.0,0.0,197.99788800000002,0.0,0.0,0.0,0.0,197.99788800000002
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,8,01:30,execution,462.72,462.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,period_total,9,01:40,00:00,480.70310833333326,480.70310833333326,0.0,0.0,207.2791803133333,0.0,0.0,0.0,0.0,207.2791803133333
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,9,01:40,00:00,480.70310833333326,480.70310833333326,0.0,0.0,207.2791803133333,0.0,0.0,0.0,0.0,207.2791803133333
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,9,01:40,execution,480.70310833333326,480.70310833333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,period_total,10,01:50,00:00,499.92819999999995,499.92819999999995,0.0,0.0,216.61888906,0.0,0.0,0.0,0.0,216.61888906
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,10,01:50,00:00,499.92819999999995,499.92819999999995,0.0,0.0,216.61888906,0.0,0.0,0.0,0.0,216.61888906
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,10,01:50,execution,499.92819999999995,499.92819999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,period_total,11,02:00,00:00,501.53374999999994,501.53374999999994,0.0,0.0,216.21119962499998,0.0,0.0,0.0,0.0,216.21119962499998
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,11,02:00,00:00,501.53374999999994,501.53374999999994,0.0,0.0,216.21119962499998,0.0,0.0,0.0,0.0,216.21119962499998
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,11,02:00,execution,501.53374999999994,501.53374999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,period_total,12,02:10,00:00,495.9134416666667,495.9134416666667,0.0,0.0,212.89564050750002,0.0,0.0,0.0,0.0,212.89564050750002
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,12,02:10,00:00,495.9134416666667,495.9134416666667,0.0,0.0,212.89564050750002,0.0,0.0,0.0,0.0,212.89564050750002
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,12,02:10,execution,495.9134416666667,495.9134416666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,period_total,13,02:20,00:00,499.3593708333333,499.3593708333333,0.0,0.0,215.9229919483333,0.0,0.0,0.0,0.0,215.9229919483333
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,13,02:20,00:00,499.3593708333333,499.3593708333333,0.0,0.0,215.9229919483333,0.0,0.0,0.0,0.0,215.9229919483333
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,13,02:20,execution,499.3593708333333,499.3593708333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,period_total,14,02:30,00:00,508.45083333333326,508.45083333333326,0.0,0.0,222.04047891666661,0.0,0.0,0.0,0.0,222.04047891666661
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,14,02:30,00:00,508.45083333333326,508.45083333333326,0.0,0.0,222.04047891666661,0.0,0.0,0.0,0.0,222.04047891666661
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,14,02:30,execution,508.45083333333326,508.45083333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,period_total,15,02:40,00:00,507.1182,507.1182,0.0,0.0,220.49499336000002,0.0,0.0,0.0,0.0,220.49499336000002
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,15,02:40,00:00,507.1182,507.1182,0.0,0.0,220.49499336000002,0.0,0.0,0.0,0.0,220.49499336000002
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,15,02:40,execution,507.1182,507.1182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,period_total,16,02:50,00:00,511.18375416666663,511.18375416666663,0.0,0.0,221.59815743124997,0.0,0.0,0.0,0.0,221.59815743124997
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,16,02:50,00:00,511.18375416666663,511.18375416666663,0.0,0.0,221.59815743124997,0.0,0.0,0.0,0.0,221.59815743124997
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,16,02:50,execution,511.18375416666663,511.18375416666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,period_total,17,03:00,00:00,520.7624999999999,520.7624999999999,0.0,0.0,226.89622124999997,0.0,0.0,0.0,0.0,226.89622124999997
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,17,03:00,00:00,520.7624999999999,520.7624999999999,0.0,0.0,226.89622124999997,0.0,0.0,0.0,0.0,226.89622124999997
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,17,03:00,execution,520.7624999999999,520.7624999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,period_total,18,03:10,00:00,519.826875,519.826875,0.0,0.0,227.372275125,0.0,0.0,0.0,0.0,227.372275125
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,18,03:10,00:00,519.826875,519.826875,0.0,0.0,227.372275125,0.0,0.0,0.0,0.0,227.372275125
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,18,03:10,execution,519.826875,519.826875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,period_total,19,03:20,00:00,522.3059458333333,522.3059458333333,0.0,0.0,228.29992892375,0.0,0.0,0.0,0.0,228.29992892375
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,19,03:20,00:00,522.3059458333333,522.3059458333333,0.0,0.0,228.29992892375,0.0,0.0,0.0,0.0,228.29992892375
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,19,03:20,execution,522.3059458333333,522.3059458333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,period_total,20,03:30,00:00,524.5866666666666,524.5866666666666,0.0,0.0,228.50995199999997,0.0,0.0,0.0,0.0,228.50995199999997
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,20,03:30,00:00,524.5866666666666,524.5866666666666,0.0,0.0,228.50995199999997,0.0,0.0,0.0,0.0,228.50995199999997
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,20,03:30,execution,524.5866666666666,524.5866666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,period_total,21,03:40,00:00,511.5722083333333,511.5722083333333,0.0,0.0,222.68738228750001,0.0,0.0,6.737524999999948,14.664223162499887,237.3516054499999
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,21,03:40,00:00,511.5722083333333,511.5722083333333,0.0,0.0,222.68738228750001,0.0,0.0,0.0,0.0,222.68738228750001
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,21,03:40,execution,511.5722083333333,511.5722083333333,0.0,0.0,0.0,0.0,0.0,6.737524999999948,14.664223162499887,14.664223162499887
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,period_total,22,03:50,00:00,520.7508458333333,520.7508458333333,0.0,0.0,227.04736878333333,0.0,0.0,0.0,0.0,227.04736878333333
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,22,03:50,00:00,520.7508458333333,520.7508458333333,0.0,0.0,227.04736878333333,0.0,0.0,0.0,0.0,227.04736878333333
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,22,03:50,execution,520.7508458333333,520.7508458333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,period_total,23,04:00,00:00,542.6191666666666,542.6191666666666,0.0,0.0,237.55867116666667,0.0,0.0,0.0,0.0,237.55867116666667
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,23,04:00,00:00,542.6191666666666,542.6191666666666,0.0,0.0,237.55867116666667,0.0,0.0,0.0,0.0,237.55867116666667
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,23,04:00,execution,542.6191666666666,542.6191666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
