time,planned_g0_kwh,final_g_kwh,normal_x_kwh,load_kwh,forecast_load_kwh,actual_pv_kwh,forecast_pv_kwh,charge_kwh,discharge_kwh,curtailment_kwh,emergency_kwh,soc_kwh,balance_residual_kwh,last_update_time,price,phi_yuan,emergency_cost_yuan,run_id,pv_mapping_mode,settlement_mode
00:10,447.28122499999995,447.28122499999995,422.0303666666667,422.0303666666667,447.28122499999995,0.0,0.0,0.0,0.0,0.0,0.0,8687.551655739135,0.0,00:00,0.4248,190.00506438,0.0,2025-02-01__M1_M6__causal_load_main__linear_anchor_main__adjacent_literal_sensitivity__48h,linear_anchor_main,adjacent_literal_sensitivity
00:20,681.4372172534233,681.4372172534233,643.5743797534234,415.4073166666667,453.27015416666666,0.0,0.0,228.16706308675668,0.0,0.0,0.0,8904.009937654779,0.0,00:00,0.4245,289.2700987240782,0.0,2025-02-01__M1_M6__causal_load_main__linear_anchor_main__adjacent_literal_sensitivity__48h,linear_anchor_main,adjacent_literal_sensitivity
00:30,460.36041666666665,460.36041666666665,410.7166666666667,410.7166666666667,460.36041666666665,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00,0.4269,196.52786187499999,0.0,2025-02-01__M1_M6__causal_load_main__linear_anchor_main__adjacent_literal_sensitivity__48h,linear_anchor_main,adjacent_literal_sensitivity
00:40,456.77064999999993,456.77064999999993,430.29479999999995,430.29479999999995,456.77064999999993,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00,0.4272,195.13242168,0.0,2025-02-01__M1_M6__causal_load_main__linear_anchor_main__adjacent_literal_sensitivity__48h,linear_anchor_main,adjacent_literal_sensitivity
00:50,460.46558749999997,460.46558749999997,424.4105833333333,424.4105833333333,460.46558749999997,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00,0.4271,196.66485242124998,0.0,2025-02-01__M1_M6__causal_load_main__linear_anchor_main__adjacent_literal_sensitivity__48h,linear_anchor_main,adjacent_literal_sensitivity
01:00,475.88999999999993,475.88999999999993,406.0516666666666,406.0516666666666,475.88999999999993,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00,0.4285,203.91886499999995,0.0,2025-02-01__M1_M6__causal_load_main__linear_anchor_main__adjacent_literal_sensitivity__48h,linear_anchor_main,adjacent_literal_sensitivity
01:10,486.27471249999996,486.27471249999996,436.7501833333333,436.7501833333333,486.27471249999996,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00,0.4311,209.63302855874997,0.0,2025-02-01__M1_M6__causal_load_main__linear_anchor_main__adjacent_literal_sensitivity__48h,linear_anchor_main,adjacent_literal_sensitivity
01:20,475.97909583333325,475.97909583333325,451.7976833333333,451.7976833333333,475.97909583333325,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00,0.4302,204.76620702749997,0.0,2025-02-01__M1_M6__causal_load_main__linear_anchor_main__adjacent_literal_sensitivity__48h,linear_anchor_main,adjacent_literal_sensitivity
01:30,462.72,462.72,446.08,446.08,462.72,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00,0.4279,197.99788800000002,0.0,2025-02-01__M1_M6__causal_load_main__linear_anchor_main__adjacent_literal_sensitivity__48h,linear_anchor_main,adjacent_literal_sensitivity
01:40,480.70310833333326,480.70310833333326,471.7663333333333,471.7663333333333,480.70310833333326,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00,0.4312,207.2791803133333,0.0,2025-02-01__M1_M6__causal_load_main__linear_anchor_main__adjacent_literal_sensitivity__48h,linear_anchor_main,adjacent_literal_sensitivity
01:50,499.92819999999995,499.92819999999995,448.02596666666665,448.02596666666665,499.92819999999995,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00,0.4333,216.61888906,0.0,2025-02-01__M1_M6__causal_load_main__linear_anchor_main__adjacent_literal_sensitivity__48h,linear_anchor_main,adjacent_literal_sensitivity
02:00,501.53374999999994,501.53374999999994,397.4033333333333,397.4033333333333,501.53374999999994,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00,0.4311,216.21119962499998,0.0,2025-02-01__M1_M6__causal_load_main__linear_anchor_main__adjacent_literal_sensitivity__48h,linear_anchor_main,adjacent_literal_sensitivity
02:10,495.9134416666667,495.9134416666667,434.0906333333333,434.0906333333333,495.9134416666667,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00,0.4293,212.89564050750002,0.0,2025-02-01__M1_M6__causal_load_main__linear_anchor_main__adjacent_literal_sensitivity__48h,linear_anchor_main,adjacent_literal_sensitivity
02:20,499.3593708333333,499.3593708333333,490.5609166666666,490.5609166666666,499.3593708333333,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00,0.4324,215.9229919483333,0.0,2025-02-01__M1_M6__causal_load_main__linear_anchor_main__adjacent_literal_sensitivity__48h,linear_anchor_main,adjacent_literal_sensitivity
02:30,508.45083333333326,508.45083333333326,503.22,503.22,508.45083333333326,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00,0.4367,222.04047891666661,0.0,2025-02-01__M1_M6__causal_load_main__linear_anchor_main__adjacent_literal_sensitivity__48h,linear_anchor_main,adjacent_literal_sensitivity
02:40,507.1182,507.1182,474.07281666666665,474.07281666666665,507.1182,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00,0.4348,220.49499336000002,0.0,2025-02-01__M1_M6__causal_load_main__linear_anchor_main__adjacent_literal_sensitivity__48h,linear_anchor_main,adjacent_literal_sensitivity
02:50,511.18375416666663,511.18375416666663,461.38439999999997,461.38439999999997,511.18375416666663,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00,0.4335,221.59815743124997,0.0,2025-02-01__M1_M6__causal_load_main__linear_anchor_main__adjacent_literal_sensitivity__48h,linear_anchor_main,adjacent_literal_sensitivity
03:00,520.7624999999999,520.7624999999999,476.94166666666666,476.94166666666666,520.7624999999999,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00,0.4357,226.89622124999997,0.0,2025-02-01__M1_M6__causal_load_main__linear_anchor_main__adjacent_literal_sensitivity__48h,linear_anchor_main,adjacent_literal_sensitivity
03:10,519.826875,519.826875,483.39955,483.39955,519.826875,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00,0.4374,227.372275125,0.0,2025-02-01__M1_M6__causal_load_main__linear_anchor_main__adjacent_literal_sensitivity__48h,linear_anchor_main,adjacent_literal_sensitivity
03:20,522.3059458333333,522.3059458333333,486.6019166666666,486.6019166666666,522.3059458333333,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00,0.4371,228.29992892375,0.0,2025-02-01__M1_M6__causal_load_main__linear_anchor_main__adjacent_literal_sensitivity__48h,linear_anchor_main,adjacent_literal_sensitivity
03:30,524.5866666666666,524.5866666666666,498.84833333333336,498.84833333333336,524.5866666666666,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00,0.4356,228.50995199999997,0.0,2025-02-01__M1_M6__causal_load_main__linear_anchor_main__adjacent_literal_sensitivity__48h,linear_anchor_main,adjacent_literal_sensitivity
03:40,511.5722083333333,511.5722083333333,511.5722083333333,518.3097333333333,511.5722083333333,0.0,0.0,0.0,0.0,0.0,6.737524999999948,8904.009937654779,0.0,00:00,0.4353,222.68738228750001,14.664223162499887,2025-02-01__M1_M6__causal_load_main__linear_anchor_main__adjacent_literal_sensitivity__48h,linear_anchor_main,adjacent_literal_sensitivity
03:50,520.7508458333333,520.7508458333333,509.13346666666666,509.13346666666666,520.7508458333333,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00,0.436,227.04736878333333,0.0,2025-02-01__M1_M6__causal_load_main__linear_anchor_main__adjacent_literal_sensitivity__48h,linear_anchor_main,adjacent_literal_sensitivity
