date,selected_k,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,planned_q_kwh,planned_q_sha256,actual_x_kwh,unused_plan_kwh,emergency_kwh,curtailment_kwh,max_balance_residual_kwh,max_x_minus_q_kwh,pass
2025-01-01,1,48052.04659084666,126398.17236830831,174450.21895915497,61789.9354,129eedb62c1d4fc1e4670fb594affa45ec0dddef5f83c4aa8e1502b1e484e59b,61768.7181,21.217300000000023,30266.451916666658,0.0,0.0,0.0,True
2025-01-02,1,86286.27060522334,3690.905855833331,89977.17646105668,108278.17284999999,f210ba9e8093e1b9695654605b54d52cbde221978c00697a807d60c6c48d9ac9,91806.78803333333,16471.384816666665,1078.4512333333328,0.0,0.0,0.0,True
2025-01-03,1,86565.8935209475,0.0,86565.8935209475,108566.18356666667,fdf25ab33cc631ac31aa92a51b0f34f6366612a7f935435b6754b43f5921b946,50979.25585,57586.92771666666,0.0,5474.314483333333,1.1368683772161603e-13,-69.16083333333336,True
2025-01-04,1,74059.4619998511,241.01674000000003,74300.47873985111,92669.07598888887,62602bef536dd6beee3dead0638c5ec15534a8ce0e179a93c3261d363729e419,50663.55808333334,42005.51790555555,112.73000000000002,6010.685716666667,0.0,0.0,True
2025-01-05,1,73849.26065209208,6188.422221604167,80037.68287369625,92254.33047499998,fb563cc0f5088200b9fcae42a43dfc21c44b03cf9ea49756fce2f02d1f95d629,89306.08110833332,2948.249366666668,1729.6291916666669,0.0,0.0,0.0,True
2025-01-06,1,72699.03981925925,7688.105879831668,80387.14569909092,90884.40682499998,7464cb197af576b74d324fc0a589c37d08b510201640308e4b6f1c03e7f453b8,88705.6534475,2178.7533774999984,1926.8276525,0.0,1.1368683772161603e-13,0.0,True
2025-01-07,1,72487.25217279005,14447.193480989445,86934.44565377949,90605.64536944444,007df3d97c0d23c404b69ba55238d3d6ece4683b482a6808d89150d885a36d9b,88644.32491444444,1961.3204550000012,3922.576035555556,0.0,0.0,0.0,True
2025-01-08,1,85475.88444669175,158.28036301881033,85634.16480971056,107109.77096190475,a750c7dc13ceb721ca7c7df4451a562c9b350720abd6433f5c336ec25c759589,89458.30298857142,17651.46797333333,67.69832809523825,0.0,0.0,0.0,True
2025-01-09,1,85610.34215531033,384.23504265119084,85994.57719796151,107206.55988095238,49036b1213a3c8723e4a5c0710c8e1bb7e2e8aae5b554a5d25c237d5518bcb1e,90962.5073595238,16244.05252142857,129.04875714285708,0.0,0.0,0.0,True
2025-01-10,1,48096.063931667464,982.3144198666648,49078.37835153413,62944.469057142844,53bd8c81c34a1d5c8b7ff4b8664c7f93c24f16a2844999940855c2b3a19b50a6,49943.231766666664,13001.237290476187,174.0379666666662,4626.603016666666,1.1368683772161603e-13,0.0,True
2025-01-11,1,37748.65278039691,8896.36031433571,46645.01309473262,49982.489942857144,66e1e3c9349a324763b03bd44c006399b61a5a6f9c2a46a027e5b1384fd9b9df,47983.43295714285,1999.0569857142864,2492.8709761904747,5610.417316666666,0.0,0.0,True
2025-01-12,1,72596.12265170141,10499.66070473214,83095.78335643356,90702.82090714286,a9d701cdff2c95467385c8f2da03c5ae874072a94ebb9818e155d76afef9556e,88041.2556047619,2661.565302380951,2824.6327952380952,0.0,1.1368683772161603e-13,0.0,True
2025-01-13,1,71993.51248014953,7379.48374545595,79372.99622560547,89996.10210714285,5c0a5d99017b95cd833133b894843ab62d3ff535a91260d3ec051893d8140655,86254.1684404762,3741.9336666666654,2019.7885261904757,0.0,0.0,0.0,True
2025-01-14,1,71724.81240421285,8252.022869588096,79976.83527380094,89737.8985595238,713f3b7862ddd5234fef81fd594a9238eaef322e99aacfcf71a5b7f5e1f8ba28,87039.91944999999,2697.9791095238074,2240.3934833333337,0.0,0.0,0.0,True
2025-01-15,1,71442.36594662619,11925.96346121905,83368.32940784525,89305.77247857142,fad9f9f0d6e4da054f2b46f959224ded7fc92cd65a88804ab96d74ed4fbf5098,87112.0561297619,2193.716348809522,2958.286803571428,0.0,1.1368683772161603e-13,0.0,True
2025-01-16,1,71754.25915691975,10782.57897652798,82536.83813344773,89715.89745595238,a640b5eabf0a0fcd6316c03512645d0d748e5e9fa91d027cc5d8f81c94894561,86514.68774761904,3201.20970833333,2559.4637023809537,0.0,1.1368683772161603e-13,0.0,True
2025-01-17,1,37541.746271494994,5665.430938049405,43207.1772095444,49837.94788928571,115ac3633a6fe0c231df7c3b556468d0a1651d069744f6d63d412c86e193b546,47379.536386904765,2458.411502380952,1587.8967964285712,6278.319716666667,0.0,0.0,True
2025-01-18,1,47491.50788193577,557.2580253333324,48048.7659072691,62211.656711904754,ce2472ef57ba8a99180245cc3160cd93ef347711a1c033ff900d6ab2cd0dfa73,49034.779425,13176.87728690476,194.9450916666662,5987.2155,0.0,0.0,True
2025-01-19,1,84024.9486790507,371.4205761666682,84396.36925521737,105422.09875297619,d2ecbe6cd66c0a41566c7b343942102aa37b725a7e1d485ce8cd99c2890c5b5c,88543.65025,16878.448502976185,139.4892166666666,0.0,1.1368683772161603e-13,0.0,True
2025-01-20,1,83692.59771373356,156.72520870416474,83849.32292243773,104961.12611964284,0ed71e3cf36ce9b03482ef334ea051637f3e021d67194669ee53bb63468610db,88008.37343333333,16952.75268630952,58.70311666666612,0.0,0.0,0.0,True
2025-01-21,1,83810.88033603274,81.16673917499995,83892.04707520774,105105.76515535713,8e7bfe8757d50556ab5f458c4e82fadff6cca2b46972eea3357a869dee70b368,84240.061725,20865.703430357138,18.342841666666573,782.4998833333334,1.1368683772161603e-13,0.0,True
2025-01-22,1,83402.18652865737,959.7134637079353,84361.8999923653,104434.27376964284,dd0c2fb828830d6310b6e41b0cf711a46724eccb7c7abe2c9eca12628aa6ff75,88633.35992698412,15800.913842658723,265.4044396825393,0.0,0.0,0.0,True
2025-01-23,1,83430.65971719977,581.3036924400781,84011.96340963985,104502.67636567459,089189a8e29bd7767602bd25711e9a937e8a1b76e006415d5160b101dc7353da,89367.98859047619,15134.687775198408,197.93700952380902,0.0,0.0,0.0,True
2025-01-24,1,37055.4807555644,3882.5277450839276,40938.00850064833,49281.51498253968,9f096c46a56d8cfad1476069e9512d625f9a786aec28192c9e387fa5cf099eaa,47287.432338095234,1994.0826444444435,1104.266195238095,8562.285383333334,0.0,0.0,True
2025-01-25,1,37092.14065184044,3570.1729340130973,40662.31358585354,49409.681352380954,6dc801ceb4b4f7ef97082f8956b8d305ec51f99130f8e7aa7b0b1c43ebf38eac,47292.80010714286,2116.881245238096,1004.0658595238101,9857.2905,0.0,0.0,True
2025-01-26,1,69477.52020924742,10798.90471116984,80276.42492041727,86484.19901190476,a317d35c1ae0a2e9eba6f8d339c74010fb9977c2881ff5dc8abdc5bc59419194,84384.37905357144,2099.819958333332,3314.6109797619038,0.0,0.0,0.0,True
2025-01-27,1,69251.07292487587,6314.7673138742,75565.84023875007,86292.14902380953,a1cc1c8d7529aea855bf5c01a3175ea331e43af9aaab0a79cb8efa1dd976df2b,82578.4797126984,3713.6693111111135,1814.931353968253,198.49428333333344,0.0,0.0,True
2025-01-28,1,68698.01609562678,12554.368815139685,81252.38491076647,85748.5748952381,b69ffb7e054f60e231fb469a309550d67617da1e5cdbfd51075f3afae055b52f,83477.73894325396,2270.835951984127,3502.660423412699,0.0,1.1368683772161603e-13,0.0,True
