time,price,load_kwh,pv_kwh,grid_purchase_kwh,charge_kwh,discharge_kwh,soc_kwh,curtailment_kwh,balance_residual_kwh
6:10-6:20,0.9368,742.3353833333333,86.88005,0.0,0.0,655.4553333333333,8781.571508993175,0.0,0.0
6:20-6:30,0.8758,728.6319833333333,112.12795,0.0,0.0,616.5040333333334,8131.719198321941,0.0,1.1368683772161603e-13
6:30-6:40,0.8759,732.1588333333334,140.70434999999998,0.0,0.0,591.4544833333334,7508.2714317714635,0.0,0.0
6:40-6:50,0.8601,730.7659333333332,173.27906666666667,0.0,0.0,557.4868666666666,6920.628677005708,0.0,1.1368683772161603e-13
6:50-7:00,0.8442,739.1292833333333,209.88958333333335,0.0,0.0,529.2397,6362.761050277636,0.0,0.0
7:00-7:10,0.8334,753.90935,251.43863333333334,0.0,0.0,502.4707166666667,5833.110409543037,0.0,0.0
7:10-7:20,0.8092,754.0120166666667,298.56845,0.0,0.0,455.4435666666667,5353.030737430568,0.0,0.0
7:20-7:30,0.7972,757.6477833333333,347.5810833333333,0.0,0.0,410.0667,4920.782482567578,0.0,0.0
7:30-7:40,0.7644,753.8736333333333,396.87685,0.0,0.0,356.99678333333327,4544.474831671921,0.0,0.0
7:40-7:50,0.6899,730.5594333333333,447.1958666666667,0.0,0.0,283.36356666666666,4245.783406146709,0.0,0.0
7:50-8:00,0.86,818.4099833333332,497.72586666666666,0.0,0.0,320.68411666666657,3907.7526667780994,0.0,0.0
8:00-8:10,1.1617,966.6221166666666,548.2006666666666,0.0,0.0,418.42144999999994,3466.697732154679,0.0,0.0
8:10-8:20,1.1683,980.8043333333333,598.89355,0.0,0.0,381.91078333333326,3064.1284193838774,0.0,0.0
8:20-8:30,1.0956,958.0118833333332,648.4555333333333,0.0,0.0,309.55634999999995,2737.827375994456,0.0,0.0
8:30-8:40,1.0849,961.5096833333333,696.8902833333333,0.0,0.0,264.61940000000004,2458.894036972069,0.0,0.0
8:40-8:50,1.061,959.0350833333333,745.2942833333333,0.0,0.0,213.74080000000004,2233.5914513365633,0.0,0.0
