case,solver,purchase_cost_yuan,grid_purchase_kwh,curtailment_kwh,throughput_kwh,max_simultaneous_charge_discharge,soc_min_kwh,soc_max_kwh,max_balance_residual_kwh,solve_seconds,pass
M1,HIGHS,33801.49554222201,57526.24348088351,0.0,37701.14990345338,0.0,1200.0,10800.0,2.2737367544323206e-13,0.01829437501146458,True
M2,HIGHS,33801.495543222,57526.24347877915,0.0,37701.14986347064,0.0,1200.0,10800.0,2.2737367544323206e-13,0.005387167009757832,True
M3,HIGHS,33801.49554222201,57526.24348088351,0.0,37701.14990345338,0.0,1200.0,10800.0,2.2737367544323206e-13,0.04424083401681855,True
M4,HIGHS,33801.495542222045,57526.24348088358,0.0,37701.14990345351,0.0,1200.0,10800.0,6.230038707144558e-11,0.02382008300628513,True
