date,strategy,load_information_case,pv_mapping_mode,settlement_mode,with_terminal_value,year_end_soc_kwh,year_end_boundary,run_id,update_time,first_mutable_index,voi_yuan,implemented,l1_change_kwh,up_adjust_kwh,down_adjust_kwh,j_fix_yuan,j_free_yuan,soc_before_kwh,soc_after_plan_kwh,solver_status,solve_seconds
2025-01-20,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,1200.0,A_q2_aligned,2025-01-20__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye1200,00:00,0,,True,88926.88984568135,88926.88984568135,0.0,,109830.25695652273,8458.502141095716,8428.291709710627,optimal,0.04605576799804112
2025-01-21,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,1200.0,A_q2_aligned,2025-01-21__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye1200,00:00,0,,True,89297.01359830619,89297.01359830619,0.0,,109515.05462254821,8493.0168764552,8428.291709752124,optimal,0.04587444400021923
2025-01-22,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,1200.0,A_q2_aligned,2025-01-22__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye1200,00:00,0,,True,92392.04512965419,92392.04512965419,0.0,,112088.79374677752,8716.641063667037,8428.291709706107,optimal,0.0462028609981644
2025-01-23,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,1200.0,A_q2_aligned,2025-01-23__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye1200,00:00,0,,True,89985.01119346837,89985.01119346837,0.0,,76082.14078596234,8300.941140494322,8428.291709689878,optimal,0.04632570899775601
2025-01-24,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,1200.0,A_q2_aligned,2025-01-24__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye1200,00:00,0,,True,40457.615964985205,40457.615964985205,0.0,,40594.740878246084,8614.772521764318,8428.291709704054,optimal,0.07385268800135236
2025-01-25,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,1200.0,A_q2_aligned,2025-01-25__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye1200,00:00,0,,True,40620.2634266403,40620.2634266403,0.0,,73325.55527540762,8467.388676277464,8428.29170969563,optimal,0.046212074001232395
2025-01-26,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,1200.0,A_q2_aligned,2025-01-26__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye1200,00:00,0,,True,95596.1880703687,95596.1880703687,0.0,,113082.24161377453,8625.029751623153,8428.291709700356,optimal,0.04620765399886295
2025-01-27,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,1200.0,A_q2_aligned,2025-01-27__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye1200,00:00,0,,True,85027.26386876503,85027.26386876503,0.0,,105330.51581849673,8610.228568214921,8428.29170969296,optimal,0.04626533799819299
2025-01-28,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,1200.0,A_q2_aligned,2025-01-28__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye1200,00:00,0,,True,91059.09680311105,91059.09680311105,0.0,,109386.37875827441,8551.609425379947,8428.291709701998,optimal,0.047020074001920875
2025-01-29,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,1200.0,A_q2_aligned,2025-01-29__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye1200,00:00,0,,True,83899.67450865798,83899.67450865798,0.0,,103601.93638256285,8492.631557541268,8428.29170969789,optimal,0.04634961799820303
