date,strategy,load_information_case,with_terminal_value,total_cost_yuan,settlement_cost_yuan,emergency_cost_yuan,emergency_kwh,curtailment_kwh,soc_start_kwh,soc_end_kwh,runtime_seconds
2025-02-01,M0,causal_load_main,True,22523.385090504875,21612.59533976738,910.7897507374952,413.04383749999784,1857.7611060185204,8687.551655739135,9086.850004308484,3.989690360000168
2025-02-01,M1_M6,causal_load_main,True,21633.92453623583,21619.26031307333,14.664223162499887,6.737524999999948,2387.809554863855,8687.551655739135,9028.673322598175,4.398778487000072
2025-02-01,M6_only,causal_load_main,True,21917.775593357794,21028.366649919302,889.4089434384925,351.5188815037517,1517.151149308304,8687.551655739135,9083.531907946623,3.975464366000324
2025-02-01,M12_only,causal_load_main,True,21259.696113065962,21234.644157087427,25.051955978536604,9.783648987923055,1385.15562546296,8687.551655739135,9085.071512602906,3.9805323730001874
2025-02-01,M18_only,causal_load_main,True,22496.145450906017,21585.355700168522,910.7897507374952,413.04383749999784,1857.7611060185204,8687.551655739135,9028.673322598079,3.933787110999674
2025-02-01,M1_M6,causal_load_main,False,18444.809252984436,18430.145029421936,14.664223562500574,6.737525187319527,2495.7632171805,8687.551655739135,1234.095142001021,2.6209677710003234
2025-02-01,M0,actual_load_proxy,True,22776.673948339117,19223.483862583576,3553.190085755542,1316.4957999999965,1317.0496124611839,8687.551655739135,8428.291708571136,3.947875638000369
2025-02-01,M1_M6,actual_load_proxy,True,21583.850494474755,19838.272458919797,1745.5780355549587,413.6462646886731,2168.566080376798,8687.551655739135,8428.347891256475,4.096614385000066
2025-02-01,M6_only,actual_load_proxy,True,25643.950107656325,18766.45425071685,6877.495856939475,2184.1400359810236,1922.8541126953846,8687.551655739135,8428.291708571136,3.9729406609999387
2025-02-01,M12_only,actual_load_proxy,True,21127.21783591987,18967.50490135618,2159.7129345636886,606.4613968513038,806.1085623301469,8687.551655739135,8428.291708571136,3.994072481999865
2025-02-01,M18_only,actual_load_proxy,True,22750.523981573293,19234.803731977467,3515.720249595827,1308.9038972222204,1317.0496124611839,8687.551655739135,8428.347891256442,3.9683768770000825
2025-02-01,M1_M6,actual_load_proxy,False,18405.253907211445,16648.848680622774,1756.405226588672,412.22353971012694,2116.5135847342854,8687.551655739135,1200.0,2.564110812999843
2025-06-21,M0,causal_load_main,True,25712.067745304965,17121.720867702403,8590.346877602562,2345.203043895934,11841.18169455995,6000.0,8026.2587180897835,4.0163119720000395
2025-06-21,M1_M6,causal_load_main,True,22937.358841960704,17260.017662771763,5677.341179188941,1448.8476332827952,11139.713197337725,6000.0,8026.2587180897835,4.396168056999613
2025-06-21,M6_only,causal_load_main,True,23104.95957260366,17096.0605453655,6008.89902723816,1562.903569941123,10943.267719559946,6000.0,8026.258717647543,3.9341754509996463
2025-06-21,M12_only,causal_load_main,True,23088.96005822331,17571.143115304923,5517.816942918385,1420.8291453243485,11404.394616666666,6000.0,8026.2587176474135,3.9696379529996193
2025-06-21,M18_only,causal_load_main,True,25798.50399483588,17112.120651262856,8686.383343573023,2360.907634832538,11841.18169455995,6000.0,8026.2587180897835,3.950270328999977
2025-06-21,M1_M6,causal_load_main,False,21089.732611964602,14069.682160576926,7020.050451387679,1996.7385535990609,11074.952914004394,6000.0,1200.0,2.6097433860004458
2025-06-21,M0,actual_load_proxy,True,19971.027309915116,18528.777481238725,1442.2498286763898,423.1666638888901,11339.987507522914,6000.0,8428.291897874946,3.869783780999569
2025-06-21,M1_M6,actual_load_proxy,True,18918.41945066312,18639.58387709558,278.8355735675401,55.61764023088959,11078.58556863403,6000.0,8428.29170836823,4.0824885949996315
2025-06-21,M6_only,actual_load_proxy,True,18787.233970739966,18480.2153427108,307.0186280291658,80.22578333333291,10947.407710300693,6000.0,8444.434815409846,3.9869855319993803
2025-06-21,M12_only,actual_load_proxy,True,19648.752212171865,19591.759845027438,56.99236714442489,19.32724166666331,11898.356180555553,6000.0,8428.29189743276,4.007076978999976
2025-06-21,M18_only,actual_load_proxy,True,20097.063610327616,18514.80188504922,1582.2617252783982,446.02855482542924,11339.987507522914,6000.0,8428.29170836823,3.955385164999825
2025-06-21,M1_M6,actual_load_proxy,False,15742.475606519456,15448.706769161105,293.76883735835213,59.22863338940773,11196.713218634031,6000.0,1200.0,2.616638872999829
