date,strategy,load_information_case,with_terminal_value,update_time,first_mutable_index,voi_yuan,implemented,l1_change_kwh,up_adjust_kwh,down_adjust_kwh,j_fix_yuan,j_free_yuan,soc_before_kwh,soc_after_plan_kwh,solver_status,solve_seconds
2025-02-01,M0,causal_load_main,True,00:00,0,,True,41179.00093262183,41179.00093262183,0.0,,72937.71498927024,8687.551655739135,8428.291709703231,optimal,0.04595449899989035
2025-02-01,M1_M6,causal_load_main,True,00:00,0,,True,41179.00093262183,41179.00093262183,0.0,,72937.71498927024,8687.551655739135,8428.291709703231,optimal,0.04573808699979054
2025-02-01,M1_M6,causal_load_main,True,06:00,36,582.7429176052465,True,1713.3245815247428,0.0,1713.3245815247428,65058.60293424006,64475.86001663481,8596.041513840024,8428.291715188365,optimal,0.06035641199969177
2025-02-01,M1_M6,causal_load_main,True,12:00,72,3749.412341439558,True,1750.2030226571496,1750.203022191062,4.6608772663603304e-07,72804.65381581723,69055.24147437768,5236.34014922885,8428.291709261017,optimal,0.08341735499971037
2025-02-01,M1_M6,causal_load_main,True,18:00,108,1.1893715516489465,True,55.19124652880379,4.6608772663603304e-07,55.19124606271606,55438.56729511103,55437.37792355938,9884.665414338338,8428.29171948622,optimal,0.04357105999997657
2025-02-01,M6_only,causal_load_main,True,00:00,0,,True,41179.00093262183,41179.00093262183,0.0,,72937.71498927024,8687.551655739135,8428.291709703231,optimal,0.04558606000000509
2025-02-01,M6_only,causal_load_main,True,06:00,36,582.7429176052465,True,1713.3245815247428,0.0,1713.3245815247428,65058.60293424006,64475.86001663481,8596.041513840024,8428.291715188365,optimal,0.06058539599962387
2025-02-01,M12_only,causal_load_main,True,00:00,0,,True,41179.00093262183,41179.00093262183,0.0,,72937.71498927024,8687.551655739135,8428.291709703231,optimal,0.04596903499987093
2025-02-01,M12_only,causal_load_main,True,12:00,72,377.15481232633465,True,1003.004475968487,0.0,1003.004475968487,69020.54048865524,68643.38567632891,6223.037558822081,8428.291715189103,optimal,0.051334090000182186
2025-02-01,M18_only,causal_load_main,True,00:00,0,,True,41179.00093262183,41179.00093262183,0.0,,72937.71498927024,8687.551655739135,8428.291709703231,optimal,0.04560454500006017
2025-02-01,M18_only,causal_load_main,True,18:00,108,1.1893714572215686,True,55.19124627466306,0.0,55.19124627466306,55438.567294912034,55437.37792345481,9884.665414561672,8428.291719486153,optimal,0.04356613100026152
2025-02-01,M1_M6,causal_load_main,False,00:00,0,,True,33607.37089362668,33607.37089362668,0.0,,18422.647328081803,8687.551655739135,1200.0,optimal,0.037311257000055775
