time,planned_g0_kwh,final_g_kwh,normal_x_kwh,load_kwh,actual_pv_kwh,forecast_pv_kwh,charge_kwh,discharge_kwh,curtailment_kwh,emergency_kwh,soc_kwh,balance_residual_kwh,last_update_time
00:10,422.0303666666667,422.0303666666667,422.0303666666667,422.0303666666667,0.0,0.0,0.0,0.0,0.0,0.0,8428.291708583261,0.0,00:00
00:20,415.4073166666667,415.4073166666667,415.4073166666667,415.4073166666667,0.0,0.0,0.0,0.0,0.0,0.0,8428.291708583261,0.0,00:00
00:30,410.7166666666667,410.7166666666667,410.7166666666667,410.7166666666667,0.0,0.0,0.0,0.0,0.0,0.0,8428.291708583261,0.0,00:00
00:40,430.29479999999995,430.29479999999995,430.29479999999995,430.29479999999995,0.0,0.0,0.0,0.0,0.0,0.0,8428.291708583261,0.0,00:00
00:50,424.4105833333333,424.4105833333333,424.4105833333333,424.4105833333333,0.0,0.0,0.0,0.0,0.0,0.0,8428.291708583261,0.0,00:00
01:00,406.0516666666666,406.0516666666666,406.0516666666666,406.0516666666666,0.0,0.0,0.0,0.0,0.0,0.0,8428.291708583261,0.0,00:00
01:10,436.7501833333333,436.7501833333333,436.7501833333333,436.7501833333333,0.0,0.0,0.0,0.0,0.0,0.0,8428.291708583261,0.0,00:00
01:20,451.7976833333333,451.7976833333333,451.7976833333333,451.7976833333333,0.0,0.0,0.0,0.0,0.0,0.0,8428.291708583261,0.0,00:00
01:30,446.08,446.08,446.08,446.08,0.0,0.0,0.0,0.0,0.0,0.0,8428.291708583261,0.0,00:00
01:40,471.7663333333333,471.7663333333333,471.7663333333333,471.7663333333333,0.0,0.0,0.0,0.0,0.0,0.0,8428.291708583261,0.0,00:00
01:50,448.02596666666665,448.02596666666665,448.02596666666665,448.02596666666665,0.0,0.0,0.0,0.0,0.0,0.0,8428.291708583261,0.0,00:00
02:00,397.4033333333333,397.4033333333333,397.4033333333333,397.4033333333333,0.0,0.0,0.0,0.0,0.0,0.0,8428.291708583261,0.0,00:00
02:10,434.0906333333333,434.0906333333333,434.0906333333333,434.0906333333333,0.0,0.0,0.0,0.0,0.0,0.0,8428.291708583261,0.0,00:00
02:20,490.5609166666666,490.5609166666666,490.5609166666666,490.5609166666666,0.0,0.0,0.0,0.0,0.0,0.0,8428.291708583261,0.0,00:00
02:30,503.22,503.22,503.22,503.22,0.0,0.0,0.0,0.0,0.0,0.0,8428.291708583261,0.0,00:00
02:40,474.07281666666665,474.07281666666665,474.07281666666665,474.07281666666665,0.0,0.0,0.0,0.0,0.0,0.0,8428.291708583261,0.0,00:00
02:50,461.38439999999997,461.38439999999997,461.38439999999997,461.38439999999997,0.0,0.0,0.0,0.0,0.0,0.0,8428.291708583261,0.0,00:00
03:00,476.94166666666666,476.94166666666666,476.94166666666666,476.94166666666666,0.0,0.0,0.0,0.0,0.0,0.0,8428.291708583261,0.0,00:00
03:10,483.39955,483.39955,483.39955,483.39955,0.0,0.0,0.0,0.0,0.0,0.0,8428.291708583261,0.0,00:00
03:20,486.6019166666666,486.6019166666666,486.6019166666666,486.6019166666666,0.0,0.0,0.0,0.0,0.0,0.0,8428.291708583261,0.0,00:00
03:30,498.84833333333336,498.84833333333336,498.84833333333336,498.84833333333336,0.0,0.0,0.0,0.0,0.0,0.0,8428.291708583261,0.0,00:00
03:40,518.3097333333333,518.3097333333333,518.3097333333333,518.3097333333333,0.0,0.0,0.0,0.0,0.0,0.0,8428.291708583261,0.0,00:00
03:50,509.13346666666666,509.13346666666666,509.13346666666666,509.13346666666666,0.0,0.0,0.0,0.0,0.0,0.0,8428.291708583261,0.0,00:00
04:00,483.6166666666666,483.6166666666666,483.6166666666666,483.6166666666666,0.0,0.0,0.0,0.0,0.0,0.0,8428.291708583261,0.0,00:00
04:10,491.1868,491.1868,491.1868,491.1868,0.0,0.0,0.0,0.0,0.0,0.0,8428.291708583261,0.0,00:00
04:20,504.64528333333334,504.64528333333334,504.64528333333334,504.64528333333334,0.0,0.0,0.0,0.0,0.0,0.0,8428.291708583261,0.0,00:00
04:30,505.57833333333326,505.57833333333326,505.57833333333326,505.57833333333326,0.0,0.0,0.0,0.0,0.0,0.0,8428.291708583261,0.0,00:00
04:40,503.23096666666663,503.23096666666663,503.23096666666663,503.23096666666663,0.0,0.0,0.0,0.0,0.0,0.0,8428.291708583261,0.0,00:00
04:50,446.54293263005025,446.54293263005025,446.54293263005025,502.84698333333336,0.00023333333333333333,0.0,0.0,56.3038173699498,0.0,0.0,8368.942273966197,0.0,00:00
05:00,499.64166666666665,499.64166666666665,499.64166666666665,499.64166666666665,0.0,0.0,0.0,0.0,0.0,0.0,8368.942273966197,0.0,00:00
05:10,488.78358333333335,488.78358333333335,488.78358333333335,488.78358333333335,0.0,0.0,0.0,0.0,0.0,0.0,8368.942273966197,0.0,00:00
05:20,0.0,0.0,0.0,498.51875,0.0033166666666666665,0.0,0.0,498.51543333333336,0.0,0.0,7843.460867939811,0.0,00:00
05:30,529.2233333333334,529.2233333333334,529.2233333333334,529.2233333333334,0.0,0.0,0.0,0.0,0.0,0.0,7843.460867939811,0.0,00:00
05:40,1380.74365,1380.74365,1380.7397055555548,547.4103166666666,0.0,0.0,833.3293888888883,0.0,0.0,0.0,8634.02654095334,-1.1368683772161603e-13,00:00
05:50,0.0,0.0,0.0,531.2274,0.04623333333333333,0.0,0.0,531.1811666666666,0.0,0.0,8074.112428669281,0.0,00:00
06:00,0.0,0.0,0.0,510.98333333333335,0.0,0.0,0.0,510.98333333333335,0.0,0.0,7535.488702096491,0.0,00:00
06:10,0.0,0.0,0.0,535.1871833333332,0.0,9.637405555555555,0.0,535.1871833333332,0.0,0.0,6971.351877475345,0.0,06:00
06:20,0.0,0.0,0.0,533.9993499999999,0.6440166666666667,19.27481111111111,0.0,533.3553333333333,0.0,0.0,6409.145992298125,0.0,06:00
06:30,0.0,0.0,0.0,504.52,0.0,28.912216666666666,0.0,504.52,0.0,0.0,5877.335217262074,0.0,06:00
06:40,0.0,0.0,0.0,519.5536833333333,0.0,38.54962222222222,0.0,519.5536833333333,0.0,0.0,5329.677548574342,0.0,06:00
06:50,0.0,0.0,0.0,566.415,14.934916666666666,48.18702777777777,0.0,551.4800833333333,0.0,0.0,4748.366499390077,0.0,06:00
07:00,0.0,0.0,0.0,608.7916666666666,56.75,57.82443333333333,0.0,552.0416666666666,0.0,0.0,4166.4634893960365,0.0,06:00
07:10,0.0,0.0,0.0,617.2140499999999,102.656,105.69026111111111,0.0,514.5580499999999,0.0,0.0,3624.071680604435,-1.1368683772161603e-13,06:00
07:20,0.0,0.0,0.0,595.3964666666666,147.48791666666665,153.55608888888887,0.0,447.90854999999993,0.0,0.0,3151.9346134499647,0.0,06:00
07:30,0.0,0.0,0.0,579.5366666666666,190.11249999999998,201.42191666666668,0.0,389.4241666666667,0.0,0.0,2741.4454992567353,0.0,06:00
07:40,0.0,0.0,0.0,609.0003666666667,231.34661666666665,249.2877444444444,0.0,259.7867361111118,0.0,117.86701388888821,2467.6062352526596,0.0,06:00
07:50,0.0,0.0,0.0,640.2366833333333,279.07533333333333,297.1535722222222,0.0,343.08311111111107,0.0,18.078238888888905,2105.964882636749,0.0,06:00
08:00,0.0,0.0,0.0,633.9416666666666,334.01874999999995,345.01939999999996,0.0,299.92291666666665,0.0,0.0,1789.818369587568,0.0,06:00
08:10,0.0,0.0,0.0,590.91065,388.6844166666666,395.7004833333333,0.0,202.22623333333343,0.0,0.0,1576.653202930902,0.0,06:00
08:20,0.0,0.0,0.0,568.5581666666667,438.7655666666667,446.3815666666667,0.0,129.7926,0.0,0.0,1439.8397897858451,0.0,06:00
08:30,0.0,0.0,0.0,574.2283333333332,487.94374999999997,497.06264999999996,0.0,86.28458333333327,0.0,0.0,1348.8878530218662,0.0,06:00
08:40,0.0,0.0,0.0,577.8523166666666,541.8831666666666,547.7437333333334,0.0,35.96915000000001,0.0,0.0,1310.9730398551178,0.0,06:00
08:50,0.0,0.0,0.0,649.0800333333333,586.6261,598.4248166666666,0.0,62.45393333333334,0.0,0.0,1245.1408137985693,0.0,06:00
09:00,0.0,0.0,0.0,737.1266666666667,621.9499999999999,649.1059,0.0,42.82433611111086,0.0,72.35233055555588,1200.0,0.0,06:00
09:10,0.0,0.0,0.0,711.2534166666666,665.4293,704.0389472222223,0.0,0.0,0.0,45.824116666666555,1200.0,0.0,06:00
09:20,0.0,0.0,0.0,698.3616999999999,729.7221999999999,758.9719944444444,0.0,0.0,31.360500000000002,0.0,1200.0,0.0,06:00
09:30,0.0,0.0,0.0,736.3866666666665,798.0874999999999,813.9050416666665,0.0,0.0,61.70083333333332,0.0,1200.0,0.0,06:00
09:40,0.0,0.0,0.0,733.2125666666667,838.3206833333334,868.8380888888888,0.0,0.0,105.10811666666666,0.0,1200.0,0.0,06:00
09:50,0.0,0.0,0.0,697.1223666666666,867.3196166666667,923.7711361111111,0.0,0.0,170.19725000000005,0.0,1200.0,0.0,06:00
10:00,0.0,0.0,0.0,678.5883333333334,894.01875,978.7041833333333,0.0,0.0,215.4304166666666,0.0,1200.0,0.0,06:00
10:10,0.0,0.0,0.0,711.4322,911.8498333333333,1004.4215777777778,0.0,0.0,200.41763333333336,0.0,1200.0,0.0,06:00
10:20,0.0,0.0,0.0,706.70705,933.6272333333333,1030.138972222222,0.0,0.0,226.92018333333328,0.0,1200.0,0.0,06:00
10:30,0.0,0.0,0.0,666.9933333333333,959.21875,1055.8563666666664,0.0,0.0,292.22541666666666,0.0,1200.0,0.0,06:00
10:40,0.0,0.0,0.0,678.7204333333333,979.8081666666667,1081.573761111111,0.0,0.0,301.0877333333334,0.0,1200.0,0.0,06:00
10:50,0.0,0.0,0.0,678.1305,1021.3479,1107.2911555555556,24.81137063795083,0.0,318.40602936204914,0.0,1223.5381329259649,2.842170943040401e-14,06:00
11:00,0.0,0.0,0.0,652.925,1060.2749999999999,1133.00855,407.3499999999999,0.0,0.0,0.0,1609.9842743868417,0.0,06:00
11:10,0.0,0.0,0.0,657.69435,1046.1778166666666,1137.9184666666665,388.4834666666666,0.0,0.0,0.0,1978.5320507822717,0.0,06:00
11:20,0.0,0.0,0.0,656.1017166666666,1051.3417833333333,1142.8283833333332,395.24006666666673,0.0,0.0,0.0,2353.48970074931,0.0,06:00
11:30,0.0,0.0,0.0,654.535,1099.0625,1147.7383,444.52750000000003,0.0,0.0,0.0,2775.20551552346,0.0,06:00
11:40,0.0,0.0,0.0,692.20855,1136.31565,1152.6482166666665,444.10710000000006,0.0,0.0,0.0,3196.522503839109,0.0,06:00
11:50,0.0,0.0,0.0,680.1494833333334,1128.4168166666666,1157.5581333333332,448.2673333333332,0.0,0.0,0.0,3621.7862360340846,0.0,06:00
12:00,0.0,0.0,0.0,640.0333333333333,1100.65625,1162.46805,460.6229166666667,0.0,0.0,0.0,4058.771503775065,0.0,06:00
12:10,0.0,418.1746861111111,404.69151666666664,676.8413833333333,1105.4832,1092.0000305555554,833.3333333333333,0.0,0.0,0.0,4849.34091881716,-1.1368683772161603e-13,12:00
12:20,0.0,0.0,0.0,663.0938,1089.4810666666667,1083.343811111111,426.3872664313125,0.0,2.353542072341952e-07,0.0,5253.847396981961,-5.684341886080802e-14,12:00
12:30,0.0,138.16440609839844,138.16440609839844,594.0216666666666,1052.4125,1074.6875916666668,612.6930757781968,0.0,0.0,16.137836346465065,5835.099084803934,1.1368683772161603e-13,12:00
