time,planned_g0_kwh,final_g_kwh,normal_x_kwh,load_kwh,forecast_load_kwh,actual_pv_kwh,forecast_pv_kwh,charge_kwh,discharge_kwh,curtailment_kwh,emergency_kwh,soc_kwh,balance_residual_kwh,last_update_time
00:10,479.4630291666667,479.4630291666667,479.4630291666667,514.6639666666666,479.4630291666667,0.0,0.0,0.0,0.0,0.0,35.20093749999995,6000.0,0.0,00:00
00:20,476.248725,476.248725,476.248725,533.3486499999999,476.248725,0.0,0.0,0.0,0.0,0.0,57.09992499999993,6000.0,0.0,00:00
00:30,462.0445833333333,462.0445833333333,462.0445833333333,566.91,462.0445833333333,0.0,0.0,0.0,0.0,0.0,104.86541666666665,6000.0,0.0,00:00
00:40,477.82737083333336,477.82737083333336,477.82737083333336,510.5876833333333,477.82737083333336,0.0,0.0,0.0,0.0,0.0,32.76031249999994,6000.0,0.0,00:00
00:50,487.92443333333335,487.92443333333335,470.04286666666667,470.04286666666667,487.92443333333335,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,00:00
01:00,478.99041666666665,478.99041666666665,478.99041666666665,480.56333333333333,478.99041666666665,0.0,0.0,0.0,0.0,0.0,1.5729166666666856,6000.0,0.0,00:00
01:10,472.1667458333333,472.1667458333333,472.1667458333333,478.3299333333333,472.1667458333333,0.0,0.0,0.0,0.0,0.0,6.163187499999992,6000.0,0.0,00:00
01:20,459.4691541666666,459.4691541666666,459.4691541666666,497.63811666666663,459.4691541666666,0.0,0.0,0.0,0.0,0.0,38.16896250000002,6000.0,0.0,00:00
01:30,450.6312499999999,450.6312499999999,450.6312499999999,527.3633333333332,450.6312499999999,0.0,0.0,0.0,0.0,0.0,76.73208333333332,6000.0,0.0,00:00
01:40,466.4358208333333,466.4358208333333,466.4358208333333,510.8076166666666,466.4358208333333,0.0,0.0,0.0,0.0,0.0,44.371795833333294,6000.0,0.0,00:00
01:50,471.9931708333333,471.9931708333333,471.9931708333333,492.3409833333333,471.9931708333333,0.0,0.0,0.0,0.0,0.0,20.347812500000032,6000.0,0.0,00:00
02:00,463.17625,463.17625,463.17625,499.1033333333333,463.17625,0.0,0.0,0.0,0.0,0.0,35.927083333333314,6000.0,0.0,00:00
02:10,467.3242458333333,467.3242458333333,467.3242458333333,512.0669,467.3242458333333,0.0,0.0,0.0,0.0,0.0,44.74265416666674,6000.0,0.0,00:00
