time,planned_g0_kwh,final_g_kwh,normal_x_kwh,load_kwh,forecast_load_kwh,actual_pv_kwh,forecast_pv_kwh,charge_kwh,discharge_kwh,curtailment_kwh,emergency_kwh,soc_kwh,balance_residual_kwh,last_update_time
00:10,422.0303666666667,422.0303666666667,422.0303666666667,422.0303666666667,422.0303666666667,0.0,0.0,0.0,0.0,0.0,0.0,8687.551655739135,0.0,00:00
00:20,415.4073166666667,415.4073166666667,415.4073166666667,415.4073166666667,415.4073166666667,0.0,0.0,0.0,0.0,0.0,0.0,8687.551655739135,0.0,00:00
00:30,410.7166666666667,410.7166666666667,410.7166666666667,410.7166666666667,410.7166666666667,0.0,0.0,0.0,0.0,0.0,0.0,8687.551655739135,0.0,00:00
00:40,430.29479999999995,430.29479999999995,430.29479999999995,430.29479999999995,430.29479999999995,0.0,0.0,0.0,0.0,0.0,0.0,8687.551655739135,0.0,00:00
00:50,424.4105833333333,424.4105833333333,424.4105833333333,424.4105833333333,424.4105833333333,0.0,0.0,0.0,0.0,0.0,0.0,8687.551655739135,0.0,00:00
01:00,406.0516666666666,406.0516666666666,406.0516666666666,406.0516666666666,406.0516666666666,0.0,0.0,0.0,0.0,0.0,0.0,8687.551655739135,0.0,00:00
01:10,436.7501833333333,436.7501833333333,436.7501833333333,436.7501833333333,436.7501833333333,0.0,0.0,0.0,0.0,0.0,0.0,8687.551655739135,0.0,00:00
01:20,451.7976833333333,451.7976833333333,451.7976833333333,451.7976833333333,451.7976833333333,0.0,0.0,0.0,0.0,0.0,0.0,8687.551655739135,0.0,00:00
01:30,446.08,446.08,446.08,446.08,446.08,0.0,0.0,0.0,0.0,0.0,0.0,8687.551655739135,0.0,00:00
01:40,471.7663333333333,471.7663333333333,471.7663333333333,471.7663333333333,471.7663333333333,0.0,0.0,0.0,0.0,0.0,0.0,8687.551655739135,0.0,00:00
01:50,448.02596666666665,448.02596666666665,448.02596666666665,448.02596666666665,448.02596666666665,0.0,0.0,0.0,0.0,0.0,0.0,8687.551655739135,0.0,00:00
02:00,397.4033333333333,397.4033333333333,397.4033333333333,397.4033333333333,397.4033333333333,0.0,0.0,0.0,0.0,0.0,0.0,8687.551655739135,0.0,00:00
02:10,434.0906333333333,434.0906333333333,434.0906333333333,434.0906333333333,434.0906333333333,0.0,0.0,0.0,0.0,0.0,0.0,8687.551655739135,0.0,00:00
02:20,490.5609166666666,490.5609166666666,490.5609166666666,490.5609166666666,490.5609166666666,0.0,0.0,0.0,0.0,0.0,0.0,8687.551655739135,0.0,00:00
02:30,503.22,503.22,503.22,503.22,503.22,0.0,0.0,0.0,0.0,0.0,0.0,8687.551655739135,0.0,00:00
02:40,474.07281666666665,474.07281666666665,474.07281666666665,474.07281666666665,474.07281666666665,0.0,0.0,0.0,0.0,0.0,0.0,8687.551655739135,0.0,00:00
02:50,461.38439999999997,461.38439999999997,461.38439999999997,461.38439999999997,461.38439999999997,0.0,0.0,0.0,0.0,0.0,0.0,8687.551655739135,0.0,00:00
03:00,476.94166666666666,476.94166666666666,476.94166666666666,476.94166666666666,476.94166666666666,0.0,0.0,0.0,0.0,0.0,0.0,8687.551655739135,0.0,00:00
03:10,483.39955,483.39955,483.39955,483.39955,483.39955,0.0,0.0,0.0,0.0,0.0,0.0,8687.551655739135,0.0,00:00
03:20,486.6019166666666,486.6019166666666,486.6019166666666,486.6019166666666,486.6019166666666,0.0,0.0,0.0,0.0,0.0,0.0,8687.551655739135,0.0,00:00
03:30,498.84833333333336,498.84833333333336,498.84833333333336,498.84833333333336,498.84833333333336,0.0,0.0,0.0,0.0,0.0,0.0,8687.551655739135,0.0,00:00
03:40,518.3097333333333,518.3097333333333,518.3097333333333,518.3097333333333,518.3097333333333,0.0,0.0,0.0,0.0,0.0,0.0,8687.551655739135,0.0,00:00
03:50,509.13346666666666,509.13346666666666,509.13346666666666,509.13346666666666,509.13346666666666,0.0,0.0,0.0,0.0,0.0,0.0,8687.551655739135,0.0,00:00
04:00,483.6166666666666,483.6166666666666,483.6166666666666,483.6166666666666,483.6166666666666,0.0,0.0,0.0,0.0,0.0,0.0,8687.551655739135,0.0,00:00
04:10,491.1868,491.1868,491.1868,491.1868,491.1868,0.0,0.0,0.0,0.0,0.0,0.0,8687.551655739135,0.0,00:00
04:20,504.64528333333334,504.64528333333334,504.64528333333334,504.64528333333334,504.64528333333334,0.0,0.0,0.0,0.0,0.0,0.0,8687.551655739135,0.0,00:00
04:30,505.57833333333326,505.57833333333326,505.57833333333326,505.57833333333326,505.57833333333326,0.0,0.0,0.0,0.0,0.0,0.0,8687.551655739135,0.0,00:00
04:40,503.23096666666663,503.23096666666663,503.23096666666663,503.23096666666663,503.23096666666663,0.0,0.0,0.0,0.0,0.0,0.0,8687.551655739135,0.0,00:00
04:50,200.58735090981446,200.58735090981446,200.58735090981446,502.84698333333336,502.84698333333336,0.00023333333333333333,0.0,0.0,302.2593990901856,0.0,0.0,8368.942273966197,0.0,00:00
05:00,499.64166666666665,499.64166666666665,499.64166666666665,499.64166666666665,499.64166666666665,0.0,0.0,0.0,0.0,0.0,0.0,8368.942273966197,0.0,00:00
05:10,488.78358333333335,488.78358333333335,488.78358333333335,488.78358333333335,488.78358333333335,0.0,0.0,0.0,0.0,0.0,0.0,8368.942273966197,0.0,00:00
05:20,0.0,0.0,0.0,498.51875,498.51875,0.0033166666666666665,0.0,0.0,498.51543333333336,0.0,0.0,7843.460867939811,0.0,00:00
05:30,529.2233333333334,529.2233333333334,529.2233333333334,529.2233333333334,529.2233333333334,0.0,0.0,0.0,0.0,0.0,0.0,7843.460867939811,0.0,00:00
05:40,1380.74365,1380.74365,1380.7397055555548,547.4103166666666,547.4103166666666,0.0,0.0,833.3293888888883,0.0,0.0,0.0,8634.02654095334,-1.1368683772161603e-13,00:00
05:50,0.0,0.0,0.0,531.2274,531.2274,0.04623333333333333,0.0,0.0,531.1811666666666,0.0,0.0,8074.112428669281,0.0,00:00
06:00,0.0,0.0,0.0,510.98333333333335,510.98333333333335,0.0,0.0,0.0,510.98333333333335,0.0,0.0,7535.488702096491,0.0,00:00
06:10,0.0,0.0,0.0,535.1871833333332,535.1871833333332,0.0,9.772738888888888,0.0,535.1871833333332,0.0,0.0,6971.351877475345,0.0,00:00
06:20,0.0,0.0,0.0,533.9993499999999,533.9993499999999,0.6440166666666667,19.545477777777776,0.0,533.3553333333333,0.0,0.0,6409.145992298125,0.0,00:00
06:30,0.0,0.0,0.0,504.52,504.52,0.0,29.318216666666665,0.0,504.52,0.0,0.0,5877.335217262074,0.0,00:00
06:40,0.0,0.0,0.0,519.5536833333333,519.5536833333333,0.0,39.09095555555555,0.0,519.5536833333333,0.0,0.0,5329.677548574342,0.0,00:00
06:50,0.0,0.0,0.0,566.415,566.415,14.934916666666666,48.86369444444444,0.0,551.4800833333333,0.0,0.0,4748.366499390077,0.0,00:00
07:00,0.0,0.0,0.0,608.7916666666666,608.7916666666666,56.75,58.63643333333333,0.0,552.0416666666666,0.0,0.0,4166.4634893960365,0.0,00:00
07:10,0.0,0.0,0.0,617.2140499999999,617.2140499999999,102.656,105.9495861111111,0.0,514.5580499999999,0.0,0.0,3624.071680604435,-1.1368683772161603e-13,00:00
07:20,0.0,0.0,0.0,595.3964666666666,595.3964666666666,147.48791666666665,153.2627388888889,0.0,447.90854999999993,0.0,0.0,3151.9346134499647,0.0,00:00
07:30,0.0,0.0,0.0,579.5366666666666,579.5366666666666,190.11249999999998,200.57589166666665,0.0,389.4241666666667,0.0,0.0,2741.4454992567353,0.0,00:00
07:40,0.0,0.0,0.0,609.0003666666667,609.0003666666667,231.34661666666665,247.88904444444444,0.0,208.72717222222212,0.0,168.92657777777788,2521.4277413272516,0.0,00:00
07:50,0.0,0.0,0.0,640.2366833333333,640.2366833333333,279.07533333333333,295.2021972222222,0.0,345.0344861111112,0.0,16.12686388888875,2157.7294588549703,0.0,00:00
08:00,0.0,0.0,0.0,633.9416666666666,633.9416666666666,334.01874999999995,342.51534999999996,0.0,299.92291666666665,0.0,0.0,1841.5829458057894,0.0,00:00
08:10,0.0,0.0,0.0,590.91065,590.91065,388.6844166666666,392.12019166666664,0.0,202.22623333333343,0.0,0.0,1628.4177791491234,0.0,00:00
08:20,0.0,0.0,0.0,568.5581666666667,568.5581666666667,438.7655666666667,441.7250333333333,0.0,129.7926,0.0,0.0,1491.6043660040666,0.0,00:00
08:30,0.0,0.0,0.0,574.2283333333332,574.2283333333332,487.94374999999997,491.32987499999996,0.0,86.28458333333327,0.0,0.0,1400.6524292400877,0.0,00:00
08:40,0.0,0.0,0.0,577.8523166666666,577.8523166666666,541.8831666666666,540.9347166666666,0.0,35.96915000000001,0.0,0.0,1362.7376160733393,0.0,00:00
08:50,0.0,0.0,0.0,649.0800333333333,649.0800333333333,586.6261,590.5395583333333,0.0,62.45393333333334,0.0,0.0,1296.9053900167908,0.0,00:00
09:00,0.0,0.0,0.0,737.1266666666667,737.1266666666667,621.9499999999999,640.1443999999999,0.0,91.93252500000038,0.0,23.244141666666337,1200.0,0.0,00:00
09:10,0.0,0.0,0.0,711.2534166666666,711.2534166666666,665.4293,695.0601833333333,0.0,0.0,0.0,45.824116666666555,1200.0,0.0,00:00
09:20,0.0,0.0,0.0,698.3616999999999,698.3616999999999,729.7221999999999,749.9759666666666,0.0,0.0,31.360500000000002,0.0,1200.0,0.0,00:00
09:30,0.0,0.0,0.0,736.3866666666665,736.3866666666665,798.0874999999999,804.89175,0.0,0.0,61.70083333333332,0.0,1200.0,0.0,00:00
09:40,0.0,0.0,0.0,733.2125666666667,733.2125666666667,838.3206833333334,859.8075333333333,0.0,0.0,105.10811666666666,0.0,1200.0,0.0,00:00
09:50,0.0,0.0,0.0,697.1223666666666,697.1223666666666,867.3196166666667,914.7233166666666,0.0,0.0,170.19725000000005,0.0,1200.0,0.0,00:00
10:00,0.0,0.0,0.0,678.5883333333334,678.5883333333334,894.01875,969.6391,34.27377920548287,0.0,181.15663746118372,0.0,1232.5149618933126,5.684341886080802e-14,00:00
10:10,0.0,0.0,0.0,711.4322,711.4322,911.8498333333333,1003.7716,200.41763333333336,0.0,0.0,0.0,1422.6478232714578,0.0,00:00
10:20,0.0,0.0,0.0,706.70705,706.70705,933.6272333333333,1037.9041,226.92018333333328,0.0,0.0,0.0,1637.9232111903516,0.0,00:00
10:30,0.0,0.0,0.0,666.9933333333333,666.9933333333333,959.21875,1072.0366,292.22541666666666,0.0,0.0,0.0,1915.1525832478706,0.0,00:00
10:40,0.0,0.0,0.0,678.7204333333333,678.7204333333333,979.8081666666667,1106.1690999999998,301.0877333333334,0.0,0.0,0.0,2200.7894871090907,0.0,00:00
10:50,0.0,0.0,0.0,678.1305,678.1305,1021.3479,1140.3015999999998,343.2174,0.0,0.0,0.0,2526.394102089413,0.0,00:00
11:00,0.0,0.0,0.0,652.925,652.925,1060.2749999999999,1174.4341,407.3499999999999,0.0,0.0,0.0,2912.84024355029,0.0,00:00
11:10,0.0,0.0,0.0,657.69435,657.69435,1046.1778166666666,1165.6361805555555,388.4834666666666,0.0,0.0,0.0,3281.38801994572,0.0,00:00
11:20,0.0,0.0,0.0,656.1017166666666,656.1017166666666,1051.3417833333333,1156.838261111111,395.24006666666673,0.0,0.0,0.0,3656.3456699127582,0.0,00:00
11:30,0.0,0.0,0.0,654.535,654.535,1099.0625,1148.0403416666666,444.52750000000003,0.0,0.0,0.0,4078.061484686908,0.0,00:00
11:40,0.0,0.0,0.0,692.20855,692.20855,1136.31565,1139.242422222222,444.10710000000006,0.0,0.0,0.0,4499.378473002557,0.0,00:00
11:50,0.0,0.0,0.0,680.1494833333334,680.1494833333334,1128.4168166666666,1130.4445027777776,448.2673333333332,0.0,0.0,0.0,4924.642205197533,0.0,00:00
12:00,0.0,0.0,0.0,640.0333333333333,640.0333333333333,1100.65625,1121.6465833333332,632.0899333333317,0.0,0.0,171.46701666666502,5524.295367816728,1.1368683772161603e-13,00:00
12:10,0.0,0.0,0.0,676.8413833333333,676.8413833333333,1105.4832,1102.5322583333332,833.3333333333335,0.0,0.0,404.69151666666687,6314.864782858823,1.1368683772161603e-13,00:00
12:20,0.0,0.0,0.0,663.0938,663.0938,1089.4810666666667,1083.4179333333332,426.38726666666673,0.0,0.0,0.0,6719.3712612469,0.0,00:00
12:30,0.0,0.0,0.0,594.0216666666666,594.0216666666666,1052.4125,1064.3036083333332,464.2188083333331,0.0,0.0,5.82797499999981,7159.767891353646,-1.1368683772161603e-13,00:00
