date,update_time,period,time,forecast_kwh,actual_pv_kwh,left_node_minute,right_node_minute,left_weight,right_weight,is_executed_actual,source
2025-06-21,12:00,42,07:10,479.10384999999997,479.10384999999997,720.0,720.0,1.0,0.0,True,actual_executed
2025-06-21,12:00,43,07:20,501.0047833333333,501.0047833333333,720.0,720.0,1.0,0.0,True,actual_executed
2025-06-21,12:00,44,07:30,537.4812499999999,537.4812499999999,720.0,720.0,1.0,0.0,True,actual_executed
2025-06-21,12:00,45,07:40,589.5878333333333,589.5878333333333,720.0,720.0,1.0,0.0,True,actual_executed
2025-06-21,12:00,46,07:50,630.8997666666667,630.8997666666667,720.0,720.0,1.0,0.0,True,actual_executed
2025-06-21,12:00,47,08:00,667.2375,667.2375,720.0,720.0,1.0,0.0,True,actual_executed
2025-06-21,12:00,48,08:10,722.4553999999999,722.4553999999999,720.0,720.0,1.0,0.0,True,actual_executed
2025-06-21,12:00,49,08:20,740.3005833333333,740.3005833333333,720.0,720.0,1.0,0.0,True,actual_executed
2025-06-21,12:00,50,08:30,726.4499999999999,726.4499999999999,720.0,720.0,1.0,0.0,True,actual_executed
2025-06-21,12:00,51,08:40,746.6491666666667,746.6491666666667,720.0,720.0,1.0,0.0,True,actual_executed
2025-06-21,12:00,52,08:50,778.0861,778.0861,720.0,720.0,1.0,0.0,True,actual_executed
2025-06-21,12:00,53,09:00,791.0124999999999,791.0124999999999,720.0,720.0,1.0,0.0,True,actual_executed
2025-06-21,12:00,54,09:10,791.1589,791.1589,720.0,720.0,1.0,0.0,True,actual_executed
2025-06-21,12:00,55,09:20,856.5730166666667,856.5730166666667,720.0,720.0,1.0,0.0,True,actual_executed
2025-06-21,12:00,56,09:30,965.71875,965.71875,720.0,720.0,1.0,0.0,True,actual_executed
2025-06-21,12:00,57,09:40,1018.178,1018.178,720.0,720.0,1.0,0.0,True,actual_executed
2025-06-21,12:00,58,09:50,1064.1836333333333,1064.1836333333333,720.0,720.0,1.0,0.0,True,actual_executed
2025-06-21,12:00,59,10:00,1107.25625,1107.25625,720.0,720.0,1.0,0.0,True,actual_executed
2025-06-21,12:00,60,10:10,1098.3148833333332,1098.3148833333332,720.0,720.0,1.0,0.0,True,actual_executed
2025-06-21,12:00,61,10:20,1115.9334,1115.9334,720.0,720.0,1.0,0.0,True,actual_executed
2025-06-21,12:00,62,10:30,1166.83125,1166.83125,720.0,720.0,1.0,0.0,True,actual_executed
2025-06-21,12:00,63,10:40,1182.3068166666667,1182.3068166666667,720.0,720.0,1.0,0.0,True,actual_executed
2025-06-21,12:00,64,10:50,1207.1864666666665,1207.1864666666665,720.0,720.0,1.0,0.0,True,actual_executed
2025-06-21,12:00,65,11:00,1233.35,1233.35,720.0,720.0,1.0,0.0,True,actual_executed
2025-06-21,12:00,66,11:10,1217.7636,1217.7636,720.0,720.0,1.0,0.0,True,actual_executed
2025-06-21,12:00,67,11:20,1297.1492333333333,1297.1492333333333,720.0,720.0,1.0,0.0,True,actual_executed
2025-06-21,12:00,68,11:30,1415.0375,1415.0375,720.0,720.0,1.0,0.0,True,actual_executed
2025-06-21,12:00,69,11:40,1363.4527333333333,1363.4527333333333,720.0,720.0,1.0,0.0,True,actual_executed
2025-06-21,12:00,70,11:50,1279.6117666666667,1279.6117666666667,720.0,720.0,1.0,0.0,True,actual_executed
2025-06-21,12:00,71,12:00,1277.51875,1277.51875,720.0,720.0,1.0,0.0,True,actual_executed
2025-06-21,12:00,72,12:10,1283.2705999999998,1340.7105166666665,720.0,780.0,0.8333333333333334,0.16666666666666666,False,causal_hourly_interpolation
2025-06-21,12:00,73,12:20,1289.02245,1383.4959166666667,720.0,780.0,0.6666666666666667,0.3333333333333333,False,causal_hourly_interpolation
2025-06-21,12:00,74,12:30,1294.7743,1397.16875,720.0,780.0,0.5,0.5,False,causal_hourly_interpolation
2025-06-21,12:00,75,12:40,1300.52615,1434.2979500000001,720.0,780.0,0.33333333333333337,0.6666666666666666,False,causal_hourly_interpolation
2025-06-21,12:00,76,12:50,1306.278,1423.7868166666667,720.0,780.0,0.16666666666666663,0.8333333333333334,False,causal_hourly_interpolation
