time,planned_g0_kwh,final_g_kwh,normal_x_kwh,load_kwh,forecast_load_kwh,actual_pv_kwh,forecast_pv_kwh,charge_kwh,discharge_kwh,curtailment_kwh,emergency_kwh,soc_kwh,balance_residual_kwh,last_update_time
00:10,447.28122499999995,447.28122499999995,422.0303666666667,422.0303666666667,447.28122499999995,0.0,0.0,0.0,0.0,0.0,0.0,8687.551655739135,0.0,00:00
00:20,681.4372172534233,681.4372172534233,643.5743797534234,415.4073166666667,453.27015416666666,0.0,0.0,228.16706308675668,0.0,0.0,0.0,8904.009937654779,0.0,00:00
00:30,460.36041666666665,460.36041666666665,410.7166666666667,410.7166666666667,460.36041666666665,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00
00:40,456.77064999999993,456.77064999999993,430.29479999999995,430.29479999999995,456.77064999999993,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00
00:50,460.46558749999997,460.46558749999997,424.4105833333333,424.4105833333333,460.46558749999997,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00
01:00,475.88999999999993,475.88999999999993,406.0516666666666,406.0516666666666,475.88999999999993,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00
01:10,486.27471249999996,486.27471249999996,436.7501833333333,436.7501833333333,486.27471249999996,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00
01:20,475.97909583333325,475.97909583333325,451.7976833333333,451.7976833333333,475.97909583333325,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00
01:30,462.72,462.72,446.08,446.08,462.72,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00
01:40,480.70310833333326,480.70310833333326,471.7663333333333,471.7663333333333,480.70310833333326,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00
01:50,499.92819999999995,499.92819999999995,448.02596666666665,448.02596666666665,499.92819999999995,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00
02:00,501.53374999999994,501.53374999999994,397.4033333333333,397.4033333333333,501.53374999999994,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00
02:10,495.9134416666667,495.9134416666667,434.0906333333333,434.0906333333333,495.9134416666667,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00
02:20,499.3593708333333,499.3593708333333,490.5609166666666,490.5609166666666,499.3593708333333,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00
02:30,508.45083333333326,508.45083333333326,503.22,503.22,508.45083333333326,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00
02:40,507.1182,507.1182,474.07281666666665,474.07281666666665,507.1182,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00
02:50,511.18375416666663,511.18375416666663,461.38439999999997,461.38439999999997,511.18375416666663,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00
03:00,520.7624999999999,520.7624999999999,476.94166666666666,476.94166666666666,520.7624999999999,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00
03:10,519.826875,519.826875,483.39955,483.39955,519.826875,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00
03:20,522.3059458333333,522.3059458333333,486.6019166666666,486.6019166666666,522.3059458333333,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00
03:30,524.5866666666666,524.5866666666666,498.84833333333336,498.84833333333336,524.5866666666666,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00
03:40,511.5722083333333,511.5722083333333,511.5722083333333,518.3097333333333,511.5722083333333,0.0,0.0,0.0,0.0,0.0,6.737524999999948,8904.009937654779,0.0,00:00
03:50,520.7508458333333,520.7508458333333,509.13346666666666,509.13346666666666,520.7508458333333,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00
04:00,542.6191666666666,542.6191666666666,483.6166666666666,483.6166666666666,542.6191666666666,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00
04:10,529.3050333333333,529.3050333333333,491.1868,491.1868,529.3050333333333,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00
04:20,519.2568208333332,519.2568208333332,504.64528333333334,504.64528333333334,519.2568208333332,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00
04:30,530.655,530.655,505.57833333333326,505.57833333333326,530.655,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00
04:40,542.9711791666666,542.9711791666666,503.23096666666663,503.23096666666663,542.9711791666666,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00
04:50,550.9038875,550.9038875,502.84675000000004,502.84698333333336,550.9038875,0.00023333333333333333,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00
05:00,553.7533333333333,553.7533333333333,499.64166666666665,499.64166666666665,553.7533333333333,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00
05:10,552.5619666666666,552.5619666666666,488.78358333333335,488.78358333333335,552.5619666666666,0.0,0.0,0.0,0.0,0.0,0.0,8904.009937654779,0.0,00:00
05:20,553.7675875,553.7675875,553.7675875,498.51875,553.7675875,0.0033166666666666665,0.0,55.25215416666663,0.0,0.0,0.0,8956.426733494007,5.684341886080802e-14,00:00
05:30,559.1795833333333,559.1795833333333,559.1795833333333,529.2233333333334,559.1795833333333,0.0,0.0,29.956249999999955,0.0,0.0,0.0,8984.845727541233,0.0,00:00
05:40,1396.694470833333,1396.694470833333,1295.5352458333336,547.4103166666666,563.3611374999999,0.0,0.0,748.1249291666671,0.0,0.0,0.0,9694.579352696874,-1.1368683772161603e-13,00:00
05:50,0.0,0.0,0.0,531.2274,556.6571666666666,0.04623333333333333,0.0,0.0,531.1811666666666,0.0,0.0,9134.665240412814,0.0,00:00
06:00,0.0,0.0,0.0,510.98333333333335,548.2591666666667,0.0,0.0,0.0,510.98333333333335,0.0,0.0,8596.041513840024,0.0,00:00
06:10,0.0,0.0,0.0,535.1871833333332,556.5887666666666,0.0,9.772738888888888,0.0,535.1871833333332,0.0,0.0,8031.904689218878,0.0,00:00
06:20,0.0,0.0,0.0,533.9993499999999,558.9440583333333,0.6440166666666667,19.545477777777776,0.0,533.3553333333333,0.0,0.0,7469.698804041658,0.0,00:00
06:30,0.0,0.0,0.0,504.52,551.6529166666667,0.0,29.318216666666665,0.0,504.52,0.0,0.0,6937.888029005608,0.0,00:00
06:40,0.0,0.0,0.0,519.5536833333333,558.5394708333333,0.0,39.09095555555555,0.0,519.5536833333333,0.0,0.0,6390.230360317875,0.0,00:00
06:50,0.0,0.0,0.0,566.415,593.8879541666666,14.934916666666666,48.86369444444444,0.0,551.4800833333333,0.0,0.0,5808.91931113361,0.0,00:00
07:00,0.0,0.0,0.0,608.7916666666666,637.1875,56.75,58.63643333333333,0.0,552.0416666666666,0.0,0.0,5227.01630113957,0.0,00:00
07:10,0.0,0.0,0.0,617.2140499999999,649.5454916666666,102.656,105.9495861111111,0.0,514.5580499999999,0.0,0.0,4684.624492347969,-1.1368683772161603e-13,00:00
07:20,0.0,0.0,0.0,595.3964666666666,646.2371125,147.48791666666665,153.2627388888889,0.0,447.90854999999993,0.0,0.0,4212.487425193499,0.0,00:00
07:30,0.0,0.0,0.0,579.5366666666666,641.69875,190.11249999999998,200.57589166666665,0.0,389.4241666666667,0.0,0.0,3801.9983110002695,0.0,00:00
07:40,0.0,0.0,0.0,609.0003666666667,636.5728708333332,231.34661666666665,247.88904444444444,0.0,377.65375,0.0,0.0,3403.916305365665,0.0,00:00
07:50,0.0,0.0,0.0,640.2366833333333,634.9578708333333,279.07533333333333,295.2021972222222,0.0,361.16134999999997,0.0,0.0,3023.2188157585806,0.0,00:00
08:00,0.0,0.0,0.0,633.9416666666666,635.1125,334.01874999999995,342.51534999999996,0.0,299.92291666666665,0.0,0.0,2707.0723027094,0.0,00:00
08:10,0.0,0.0,0.0,590.91065,632.3001999999999,388.6844166666666,392.12019166666664,0.0,202.22623333333343,0.0,0.0,2493.9071360527337,0.0,00:00
08:20,0.0,0.0,0.0,568.5581666666667,636.4029499999999,438.7655666666667,441.7250333333333,0.0,129.7926,0.0,0.0,2357.0937229076767,0.0,00:00
08:30,0.0,0.0,0.0,574.2283333333332,641.4108333333332,487.94374999999997,491.32987499999996,0.0,86.28458333333327,0.0,0.0,2266.1417861436976,0.0,00:00
08:40,0.0,0.0,0.0,577.8523166666666,636.7007791666667,541.8831666666666,540.9347166666666,0.0,35.96915000000001,0.0,0.0,2228.226972976949,0.0,00:00
08:50,0.0,0.0,0.0,649.0800333333333,668.6288625,586.6261,590.5395583333333,0.0,62.45393333333334,0.0,0.0,2162.394746920401,0.0,00:00
09:00,0.0,0.0,0.0,737.1266666666667,728.4895833333333,621.9499999999999,640.1443999999999,0.0,115.17666666666673,0.0,0.0,2040.9878802628475,0.0,00:00
09:10,0.0,0.0,0.0,711.2534166666666,753.615375,665.4293,695.0601833333333,0.0,45.824116666666555,0.0,0.0,1992.6850201188645,0.0,00:00
09:20,0.0,0.0,0.0,698.3616999999999,744.1545083333333,729.7221999999999,749.9759666666666,0.0,0.0,31.360500000000002,0.0,1992.6850201188645,0.0,00:00
09:30,0.0,0.0,0.0,736.3866666666665,729.8283333333334,798.0874999999999,804.89175,0.0,0.0,61.70083333333332,0.0,1992.6850201188645,0.0,00:00
09:40,0.0,0.0,0.0,733.2125666666667,739.0130416666666,838.3206833333334,859.8075333333333,0.0,0.0,105.10811666666666,0.0,1992.6850201188645,0.0,00:00
09:50,0.0,0.0,0.0,697.1223666666666,743.6516041666666,867.3196166666667,914.7233166666666,0.0,0.0,170.19725000000005,0.0,1992.6850201188645,0.0,00:00
10:00,0.0,0.0,0.0,678.5883333333334,732.5604166666667,894.01875,969.6391,105.10156342592478,0.0,110.32885324074181,0.0,2092.393117940036,-5.684341886080802e-14,00:00
10:10,0.0,0.0,0.0,711.4322,723.4847541666666,911.8498333333333,1003.7716,200.41763333333336,0.0,0.0,0.0,2282.5259793181813,0.0,00:00
10:20,0.0,0.0,0.0,706.70705,724.8514749999999,933.6272333333333,1037.9041,226.92018333333328,0.0,0.0,0.0,2497.8013672370753,0.0,00:00
10:30,0.0,0.0,0.0,666.9933333333333,730.3295833333332,959.21875,1072.0366,292.22541666666666,0.0,0.0,0.0,2775.0307392945942,0.0,00:00
10:40,0.0,0.0,0.0,678.7204333333333,725.7677833333332,979.8081666666667,1106.1690999999998,301.0877333333334,0.0,0.0,0.0,3060.6676431558144,0.0,00:00
10:50,0.0,0.0,0.0,678.1305,714.3607249999999,1021.3479,1140.3015999999998,343.2174,0.0,0.0,0.0,3386.2722581361368,0.0,00:00
11:00,0.0,0.0,0.0,652.925,710.19625,1060.2749999999999,1174.4341,407.3499999999999,0.0,0.0,0.0,3772.7183995970136,0.0,00:00
11:10,0.0,0.0,0.0,657.69435,722.2226708333333,1046.1778166666666,1165.6361805555555,388.4834666666666,0.0,0.0,0.0,4141.266175992444,0.0,00:00
11:20,0.0,0.0,0.0,656.1017166666666,715.6271458333333,1051.3417833333333,1156.838261111111,395.24006666666673,0.0,0.0,0.0,4516.223825959482,0.0,00:00
11:30,0.0,0.0,0.0,654.535,701.2904166666666,1099.0625,1148.0403416666666,444.52750000000003,0.0,0.0,0.0,4937.939640733633,0.0,00:00
11:40,0.0,0.0,0.0,692.20855,722.6393833333332,1136.31565,1139.242422222222,444.10710000000006,0.0,0.0,0.0,5359.256629049282,0.0,00:00
11:50,0.0,0.0,0.0,680.1494833333334,729.0613333333333,1128.4168166666666,1130.4445027777776,448.2673333333332,0.0,0.0,0.0,5784.520361244258,0.0,00:00
12:00,0.0,0.0,0.0,640.0333333333333,704.81125,1100.65625,1121.6465833333332,462.2377124999977,0.0,0.0,1.6147958333310157,6223.037558822081,5.684341886080802e-14,00:00
12:10,0.0,0.0,0.0,676.8413833333333,686.94,1105.4832,1102.5322583333332,833.3333333333335,0.0,0.0,404.69151666666687,7013.606973864176,1.1368683772161603e-13,00:00
12:20,0.0,0.0,0.0,663.0938,687.0372124999999,1089.4810666666667,1083.4179333333332,426.38726666666673,0.0,0.0,0.0,7418.113452252253,0.0,00:00
12:30,0.0,0.0,0.0,594.0216666666666,695.0779166666666,1052.4125,1064.3036083333332,458.39083333333326,0.0,0.0,0.0,7852.981179815043,0.0,00:00
12:40,480.5288916666667,480.5288916666667,263.1780458333337,601.1141666666666,692.3848416666666,1052.0977666666665,1045.1892833333332,714.1616458333336,0.0,0.0,0.0,8530.494405325393,0.0,00:00
12:50,0.0,0.0,0.0,633.3353666666667,683.9549833333333,1058.98975,1026.0749583333331,425.65438333333327,0.0,0.0,0.0,8934.305609535717,0.0,00:00
13:00,0.0,0.0,0.0,638.6816666666666,678.1316666666667,1052.225,1006.9606333333332,413.5433333333333,0.0,0.0,0.0,9326.627262889186,0.0,00:00
13:10,0.0,0.0,0.0,619.3742333333332,678.3876291666667,1041.0229166666666,978.5977527777777,131.96134861111182,0.0,289.6873347222215,0.0,9451.816790304769,0.0,00:00
13:20,0.0,0.0,0.0,606.5044,679.7456833333333,1029.2288333333331,950.2348722222221,270.4891888888683,0.0,152.2352444444648,0.0,9708.425366106869,0.0,00:00
13:30,0.0,0.0,0.0,607.0133333333333,677.4545833333334,1017.28125,921.8719916666666,410.2679166666667,0.0,0.0,0.0,10097.639686374516,0.0,00:00
13:40,0.0,0.0,0.0,606.3183333333333,670.7934833333334,998.79405,893.5091111111111,56.86511944446505,0.0,335.61059722220165,0.0,10151.586675433127,-5.684341886080802e-14,00:00
13:50,0.0,0.0,0.0,624.9272166666666,665.6725958333333,948.6343499999999,865.1462305555556,199.47363472222293,0.0,124.2334986111104,0.0,10340.82398109553,5.684341886080802e-14,00:00
14:00,0.0,0.0,0.0,641.645,663.7862499999999,875.1875,836.7833499999999,172.99709999999968,0.0,60.54540000000034,0.0,10504.943440476703,2.842170943040401e-14,00:00
14:10,0.0,0.0,0.0,612.7233833333332,658.9274458333332,815.6234166666666,788.2188305555555,202.90003333333334,0.0,0.0,0.0,10697.43131327393,0.0,00:00
14:20,0.0,0.0,0.0,603.26775,638.1165583333333,769.5365666666667,739.654311111111,27.929104166664928,0.0,138.33971250000175,0.0,10723.927187926358,2.842170943040401e-14,00:00
14:30,0.0,0.0,0.0,610.8116666666666,619.4958333333334,727.3999999999999,691.0897916666665,71.59395833333306,0.0,44.99437500000019,0.0,10791.847180438515,-2.842170943040401e-14,00:00
14:40,0.0,0.0,0.0,571.6230833333333,633.9314458333333,684.0674,642.5252722222222,8.593826388888889,0.0,103.85049027777785,0.0,10800.0,5.3290705182007514e-14,00:00
14:50,0.0,0.0,0.0,554.5942,634.9304583333333,648.3614333333333,593.9607527777778,0.0,0.0,93.76723333333325,0.0,10800.0,0.0,00:00
15:00,73.42751666666663,73.42751666666663,0.0,578.9233333333333,618.8237499999999,614.7249999999999,545.3962333333333,0.0,0.0,35.80166666666662,0.0,10800.0,0.0,00:00
15:10,181.64049228394973,181.64049228394973,28.429149999999936,593.8219999999999,627.0006583333333,565.39285,490.88206111111106,0.0,0.0,0.0,0.0,10800.0,0.0,00:00
15:20,196.15846527777785,196.15846527777785,97.9340666666667,603.3700333333334,632.5263541666667,505.4359666666667,436.36788888888884,0.0,0.0,0.0,0.0,10800.0,0.0,00:00
15:30,243.78253333333328,243.78253333333328,158.01750000000004,608.655,625.6362499999999,450.63749999999993,381.8537166666666,0.0,0.0,0.0,0.0,10800.0,0.0,00:00
15:40,298.5224180555555,298.5224180555555,183.16035,596.78865,625.8619624999999,413.62829999999997,327.3395444444444,0.0,0.0,0.0,0.0,10800.0,0.0,00:00
15:50,357.05944444444447,357.05944444444447,194.13805000000002,570.11095,629.8848166666667,375.9729,272.8253722222222,0.0,0.0,0.0,0.0,10800.0,0.0,00:00
16:00,403.56921666666665,403.56921666666665,219.81875000000002,548.75,621.8804166666666,328.93125,218.31119999999999,0.0,0.0,0.0,0.0,10800.0,0.0,00:00
16:10,403.89550138888893,403.89550138888893,272.90835000000004,554.0824,593.4667041666667,281.17404999999997,189.57120277777773,0.0,0.0,0.0,0.0,10800.0,0.0,00:00
