time,planned_g0_kwh,final_g_kwh,normal_x_kwh,load_kwh,forecast_load_kwh,actual_pv_kwh,forecast_pv_kwh,charge_kwh,discharge_kwh,curtailment_kwh,emergency_kwh,soc_kwh,balance_residual_kwh,last_update_time
00:10,514.6639666666666,514.6639666666666,514.6639666666666,514.6639666666666,514.6639666666666,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,00:00
00:20,533.3486499999999,533.3486499999999,533.3486499999999,533.3486499999999,533.3486499999999,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,00:00
00:30,566.91,566.91,566.91,566.91,566.91,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,00:00
00:40,510.5876833333333,510.5876833333333,510.5876833333333,510.5876833333333,510.5876833333333,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,00:00
00:50,470.04286666666667,470.04286666666667,470.04286666666667,470.04286666666667,470.04286666666667,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,00:00
01:00,480.56333333333333,480.56333333333333,480.56333333333333,480.56333333333333,480.56333333333333,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,00:00
01:10,478.3299333333333,478.3299333333333,478.3299333333333,478.3299333333333,478.3299333333333,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,00:00
01:20,497.63811666666663,497.63811666666663,497.63811666666663,497.63811666666663,497.63811666666663,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,00:00
01:30,527.3633333333332,527.3633333333332,527.3633333333332,527.3633333333332,527.3633333333332,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,00:00
01:40,510.8076166666666,510.8076166666666,510.8076166666666,510.8076166666666,510.8076166666666,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,00:00
01:50,492.3409833333333,492.3409833333333,492.3409833333333,492.3409833333333,492.3409833333333,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,00:00
02:00,499.1033333333333,499.1033333333333,499.1033333333333,499.1033333333333,499.1033333333333,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,00:00
02:10,512.0669,512.0669,512.0669,512.0669,512.0669,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,00:00
02:20,502.18358333333333,502.18358333333333,502.18358333333333,502.18358333333333,502.18358333333333,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,00:00
02:30,473.125,473.125,473.125,473.125,473.125,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,00:00
02:40,458.3199833333333,458.3199833333333,458.3199833333333,458.3199833333333,458.3199833333333,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,00:00
02:50,470.09745,470.09745,470.09745,470.09745,470.09745,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,00:00
03:00,489.3733333333333,489.3733333333333,489.3733333333333,489.3733333333333,489.3733333333333,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,00:00
03:10,140.87839713531196,140.87839713531196,140.87839713531196,486.69823333333335,486.69823333333335,0.00019999999999999998,0.0,0.0,345.8196361980214,0.0,0.0,5635.474096667814,0.0,00:00
03:20,491.8388,491.8388,491.8388,491.8388,491.8388,0.0,0.0,0.0,0.0,0.0,0.0,5635.474096667814,0.0,00:00
03:30,496.25166666666667,496.25166666666667,496.25166666666667,496.25166666666667,496.25166666666667,0.0,0.0,0.0,0.0,0.0,0.0,5635.474096667814,0.0,00:00
03:40,463.3829999999999,463.3829999999999,463.3802999999999,463.3829999999999,463.3829999999999,0.0026999999999999997,0.0,0.0,0.0,0.0,0.0,5635.474096667814,0.0,00:00
03:50,454.71764999999994,454.71764999999994,454.71764999999994,454.71764999999994,454.71764999999994,0.0,0.0,0.0,0.0,0.0,0.0,5635.474096667814,0.0,00:00
04:00,0.0,0.0,0.0,477.03166666666664,477.03166666666664,0.0,0.0,0.0,477.03166666666664,0.0,0.0,5132.6385691035175,0.0,00:00
04:10,0.0,0.0,0.0,474.3197,474.3197,0.03771666666666666,0.19348611111111108,0.0,474.28198333333336,0.0,0.0,4632.701462265067,0.0,00:00
04:20,0.0,0.0,0.0,458.1585,458.1585,0.0,0.38697222222222216,0.0,457.6159583333336,0.0,0.5425416666664091,4150.3318882737185,0.0,00:00
04:30,445.63787499999995,445.63787499999995,445.63787499999995,446.2183333333333,446.2183333333333,0.0,0.5804583333333333,0.0,0.0,0.0,0.580458333333354,4150.3318882737185,0.0,00:00
04:40,0.0,0.0,0.0,443.4785499999999,443.4785499999999,0.5252666666666667,0.7739444444444443,0.0,442.7046055555554,0.0,0.24867777777785705,3683.6802602063894,0.0,00:00
04:50,0.0,0.0,0.0,450.38674999999995,450.38674999999995,0.0,0.9674305555555556,0.0,450.38674999999995,0.0,0.0,3208.930940886109,0.0,00:00
05:00,0.0,0.0,0.0,455.38666666666666,455.38666666666666,1.2125,1.1609166666666666,0.0,453.2583194444446,0.0,0.9158472222220553,2731.154721597899,0.0,00:00
05:10,419.2788194444444,419.2788194444444,419.2788194444444,444.1196333333333,444.1196333333333,19.460916666666666,24.84081388888889,0.0,0.0,0.0,5.379897222222212,2731.154721597899,0.0,00:00
05:20,0.0,0.0,0.0,434.4785,434.4785,43.99505,48.52071111111111,0.0,385.957788888889,0.0,4.525661111110992,2324.31949040746,0.0,00:00
05:30,368.157725,368.157725,368.157725,440.35833333333335,440.35833333333335,69.51249999999999,72.20060833333332,0.0,0.0,0.0,2.688108333333332,2324.31949040746,0.0,00:00
05:40,1194.963511111111,1194.963511111111,1192.9113333333335,457.5106833333333,457.5106833333333,97.93268333333333,95.88050555555556,833.3333333333335,0.0,0.0,0.0,3114.888905449555,1.1368683772161603e-13,00:00
05:50,0.0,0.0,0.0,459.67366666666663,459.67366666666663,122.63874999999999,119.56040277777778,0.0,337.0349166666666,0.0,0.0,2759.6229095589842,-5.684341886080802e-14,00:00
06:00,0.0,0.0,0.0,456.93999999999994,456.93999999999994,148.45,143.2403,0.0,308.48999999999995,0.0,0.0,2434.4458977638697,0.0,00:00
06:10,0.0,0.0,0.0,481.45506666666665,481.45506666666665,189.49256666666668,189.71903055555555,0.0,291.9625,0.0,0.0,2126.6904006448995,0.0,00:00
06:20,0.0,0.0,0.0,488.7051666666667,488.7051666666667,242.2338,236.1977611111111,0.0,246.47136666666668,0.0,0.0,1866.886768417843,0.0,00:00
06:30,0.0,0.0,0.0,460.66999999999996,460.66999999999996,294.31874999999997,282.67649166666666,0.0,166.35125,0.0,0.0,1691.5371545458147,0.0,00:00
06:40,0.0,0.0,0.0,434.43561666666665,434.43561666666665,337.05043333333333,329.1552222222222,0.0,97.38518333333332,0.0,0.0,1588.8841579836808,0.0,00:00
06:50,0.0,0.0,0.0,477.9608166666667,477.9608166666667,391.7487166666666,375.6339527777778,0.0,86.21210000000008,0.0,0.0,1498.0086253616132,0.0,00:00
