date,period,time,planned_q_kwh,actual_x_kwh,load_kwh,pv_kwh,charge_kwh,discharge_kwh,curtailment_kwh,emergency_kwh,soc_kwh,posterior_entropy,posterior_bandwidth,solve_seconds,virtual_next_day_value_yuan,balance_residual_kwh
2025-02-01,0,00:10,1280.6145583333332,1255.3636999999999,422.0303666666667,0.0,833.3333333333333,0.0,0.0,0.0,6790.569415042095,1.729808830162177,1.77747615343933,0.016479209007229656,51484.56283006843,0.0
2025-02-01,1,00:20,1286.6034875,1248.74065,415.4073166666667,0.0,833.3333333333333,0.0,0.0,0.0,7581.13883008419,1.7328148880402818,1.8614756341348504,0.016488041961565614,51472.01502783864,0.0
2025-02-01,2,00:30,1293.69375,1227.5857152551432,410.7166666666667,0.0,816.8690485884765,0.0,0.0,0.0,8356.088853174491,1.7086037303482158,1.717882506172418,0.016399624990299344,51467.1399225729,0.0
2025-02-01,3,00:40,1270.2529630815768,1263.6281333333332,430.29479999999995,0.0,833.3333333333333,0.0,0.0,0.0,9146.658268216586,1.6711220774712108,1.564828463855152,0.015807207964826375,51486.22345177418,0.0
2025-02-01,4,00:50,1293.7989208333333,507.7295926315837,424.4105833333333,0.0,83.31900929825039,0.0,0.0,0.0,9225.701620747952,1.678306300256465,1.5651460854647745,0.015373707981780171,51487.38417403972,2.842170943040401e-14
2025-02-01,5,01:00,475.88999999999993,406.0516666666666,406.0516666666666,0.0,0.0,0.0,0.0,0.0,9225.701620747952,1.670442032637219,1.456131499750479,0.015166374971158803,51463.734771220225,0.0
2025-02-01,6,01:10,486.27471249999996,436.7501833333333,436.7501833333333,0.0,0.0,0.0,0.0,0.0,9225.701620747952,1.6672210764578077,1.4448558431860115,0.015112666005734354,51447.49201487323,0.0
2025-02-01,7,01:20,475.97909583333325,451.7976833333333,451.7976833333333,0.0,0.0,0.0,0.0,0.0,9225.701620747952,1.7160405668267331,1.6560805652174837,0.015910167014226317,51438.96254303675,0.0
2025-02-01,8,01:30,462.72,446.08,446.08,0.0,0.0,0.0,0.0,0.0,9225.701620747952,1.750615479798173,1.8748256678907806,0.015434500004630536,51443.582726427594,0.0
2025-02-01,9,01:40,480.70310833333326,471.7663333333333,471.7663333333333,0.0,0.0,0.0,0.0,0.0,9225.701620747952,1.7485641160490362,1.8216419836692446,0.015798166976310313,51449.67458859563,0.0
2025-02-01,10,01:50,499.92819999999995,448.02596666666665,448.02596666666665,0.0,0.0,0.0,0.0,0.0,9225.701620747952,1.7501242289930878,1.8026175613169408,0.015196666994597763,51444.86369093562,0.0
2025-02-01,11,02:00,501.53374999999994,397.4033333333333,397.4033333333333,0.0,0.0,0.0,0.0,0.0,9225.701620747952,1.7380519788223419,1.7909218136209908,0.014937083004042506,51425.0725657196,0.0
2025-02-01,12,02:10,495.9134416666667,434.0906333333333,434.0906333333333,0.0,0.0,0.0,0.0,0.0,9225.701620747952,1.7285899612503766,1.826411448556716,0.015091917011886835,51417.36159598278,0.0
2025-02-01,13,02:20,499.3593708333333,490.5609166666666,490.5609166666666,0.0,0.0,0.0,0.0,0.0,9225.701620747952,1.7384327104334956,1.909092364146681,0.014960000000428408,51418.465778574966,0.0
2025-02-01,14,02:30,508.45083333333326,503.22,503.22,0.0,0.0,0.0,0.0,0.0,9225.701620747952,1.7506882363373224,2.0123305869627073,0.03419470798689872,51421.00920077173,0.0
2025-02-01,15,02:40,507.1182,474.07281666666665,474.07281666666665,0.0,0.0,0.0,0.0,0.0,9225.701620747952,1.7769254901522502,2.312189874344516,0.0368590839789249,51418.36004786749,0.0
2025-02-01,16,02:50,511.18375416666663,461.38439999999997,461.38439999999997,0.0,0.0,0.0,0.0,0.0,9225.701620747952,1.783278878854683,2.4567565986519533,0.01647645904449746,51415.285559676,0.0
2025-02-01,17,03:00,520.7624999999999,476.94166666666666,476.94166666666666,0.0,0.0,0.0,0.0,0.0,9225.701620747952,1.775900181203105,2.40727707836394,0.01605254103196785,51413.47670061804,0.0
2025-02-01,18,03:10,519.826875,483.39955,483.39955,0.0,0.0,0.0,0.0,0.0,9225.701620747952,1.7747206866585492,2.3956390501418303,0.01717208296759054,51412.63199367381,0.0
2025-02-01,19,03:20,522.3059458333333,486.6019166666666,486.6019166666666,0.0,0.0,0.0,0.0,0.0,9225.701620747952,1.77785709303264,2.4367735458439617,0.015679542033467442,51411.95730744026,0.0
2025-02-01,20,03:30,524.5866666666666,498.84833333333336,498.84833333333336,0.0,0.0,0.0,0.0,0.0,9225.701620747952,1.7794232547561473,2.453243285264005,0.014966291026212275,51411.095953576194,0.0
2025-02-01,21,03:40,511.5722083333333,511.5722083333333,518.3097333333333,0.0,0.0,6.737524999999948,0.0,0.0,9218.599645817176,1.7835486204772912,2.4807904705529067,0.015236500010360032,51412.89529074341,0.0
2025-02-01,22,03:50,520.7508458333333,509.13346666666666,509.13346666666666,0.0,0.0,0.0,0.0,0.0,9218.599645817176,1.7868957443837026,2.5215963097126255,0.014967333001550287,51413.06430401713,0.0
2025-02-01,23,04:00,542.6191666666666,483.6166666666666,483.6166666666666,0.0,0.0,0.0,0.0,0.0,9218.599645817176,1.786368875486634,2.5413652629852783,0.014634041988756508,51409.6342352805,0.0
2025-02-01,24,04:10,529.3050333333333,491.1868,491.1868,0.0,0.0,0.0,0.0,0.0,9218.599645817176,1.7862271383626218,2.577414034004328,0.01476983295287937,51408.444522879276,0.0
2025-02-01,25,04:20,519.2568208333332,504.64528333333334,504.64528333333334,0.0,0.0,0.0,0.0,0.0,9218.599645817176,1.7884356619044866,2.6189706959572736,0.016806415980681777,51409.82710535729,0.0
2025-02-01,26,04:30,530.655,505.57833333333326,505.57833333333326,0.0,0.0,0.0,0.0,0.0,9218.599645817176,1.7899485527321597,2.620779450420226,0.01628087501740083,51409.301523603244,0.0
2025-02-01,27,04:40,542.9711791666666,503.23096666666663,503.23096666666663,0.0,0.0,0.0,0.0,0.0,9218.599645817176,1.7898670252991682,2.6278699676274884,0.014705709007102996,51407.45349638429,0.0
2025-02-01,28,04:50,550.903656547619,502.84675000000004,502.84698333333336,0.00023333333333333333,0.0,0.0,0.0,0.0,9218.599645817176,1.78782862102063,2.673577941975127,0.014640250010415912,51405.44752889163,0.0
2025-02-01,29,05:00,553.7533333333333,499.64166666666665,499.64166666666665,0.0,0.0,0.0,0.0,0.0,9218.599645817176,1.7863151051600745,2.748691720898735,0.014555040979757905,51404.48501880787,0.0
2025-02-01,30,05:10,552.5619666666666,488.78358333333335,488.78358333333335,0.0,0.0,0.0,0.0,0.0,9218.599645817176,1.7849498847061052,2.7592129785070574,0.014425916015170515,51402.79863851591,0.0
2025-02-01,31,05:20,553.7643232142857,498.51543333333336,498.51875,0.0033166666666666665,0.0,0.0,0.0,0.0,9218.599645817176,1.7872036989039792,2.772018327341191,0.014359250024426728,51400.967116499254,0.0
2025-02-01,32,05:30,559.1795833333333,559.1795833333333,529.2233333333334,0.0,29.956249999999955,0.0,0.0,0.0,9247.018639864402,1.7877605072725091,2.771291594523495,0.014720999985001981,51400.54397454488,0.0
2025-02-01,33,05:40,1396.694470833333,891.0117357957862,547.4103166666666,0.0,343.60141912911956,0.0,0.0,0.0,9572.987567378652,1.7895237775233246,2.803078628057934,0.014639750006608665,51400.666437584325,0.0
2025-02-01,34,05:50,10.338803571428457,10.338803571428457,531.2274,0.04623333333333333,0.0,520.8423630952382,0.0,0.0,9023.971510950192,1.787204106892238,2.815345904172878,0.014300334034487605,51400.315812065375,0.0
2025-02-01,35,06:00,9.362499999999955,9.362499999999955,510.98333333333335,0.0,0.0,501.6208333333334,0.0,0.0,8495.21672590851,1.7887559177914634,2.9707336353548,0.014298041991423815,51404.04509166074,0.0
2025-02-01,36,06:10,0.0,0.0,535.1871833333332,0.0,0.0,535.1871833333332,0.0,0.0,7931.079901287365,1.7889713229397755,3.0800359419231516,0.014503624988719821,51408.46335257925,0.0
2025-02-01,37,06:20,1.5806964285714002,1.5806964285714002,533.9993499999999,0.6440166666666667,0.0,531.7746369047619,0.0,0.0,7370.540216444671,1.7900758687009195,3.180164387625748,0.01555716700386256,51410.74451106149,0.0
2025-02-01,38,06:30,0.0,0.0,504.52,0.0,0.0,504.52,0.0,0.0,6838.729441408621,1.7888868144863608,3.2475576122997634,0.014160040998831391,51410.9458717186,0.0
2025-02-01,39,06:40,17.76985833333333,17.76985833333333,519.5536833333333,0.0,0.0,501.783825,0.0,0.0,6309.802848064841,1.787954624678885,3.3198425185496947,0.013945541984867305,51412.174843499,0.0
2025-02-01,40,06:50,24.735782142857147,24.735782142857147,566.415,14.934916666666666,0.0,526.7443011904761,0.0,0.0,5754.5656026396255,1.7881519842402507,3.3755414755328106,0.013900624995585531,51413.60904929688,0.0
2025-02-01,41,07:00,7.409107142857124,7.409107142857124,608.7916666666666,56.75,0.0,544.6325595238095,0.0,0.0,5180.472477312136,1.7883271753165135,3.3955275588161395,0.013860542036127299,51413.75179323297,0.0
