date,normal_purchase_cost_yuan,emergency_cost_yuan,total_cost_yuan,normal_purchase_kwh,emergency_kwh,curtailment_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,max_balance_residual_kwh,max_simultaneous_cd_kwh2,solve_seconds,pass
2025-03-02,45335.080984209155,0.0,45335.080984209155,74814.60523213739,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.004769166000187397,True
2025-03-03,45370.61256148332,0.0,45370.61256148332,74389.46023643906,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004578874999424443,True
2025-03-04,43090.94188806403,0.0,43090.94188806403,71454.10080713738,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.0047022500075399876,True
2025-03-05,41102.42247219733,0.0,41102.42247219733,68402.24054880405,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004738292016554624,True
2025-03-06,41009.10509882692,0.0,41009.10509882692,68207.67213398924,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004861249995883554,True
2025-03-07,15072.297620013762,0.0,15072.297620013762,29538.229327603953,0.0,7100.649954127852,1200.0,1200.0,1200.0,10800.0,5.684341886080802e-14,0.0,0.004559666995191947,True
2025-03-08,15153.699596842464,0.0,15153.699596842464,29877.67309612247,0.0,9293.48563746118,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004513458989094943,True
2025-03-09,39426.654262333956,0.0,39426.654262333956,65556.71486732257,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004831083002500236,True
2025-03-10,41978.90145679387,0.0,41978.90145679387,70255.51486176702,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004880332999164239,True
2025-03-11,39627.30273101366,0.0,39627.30273101366,66135.38348643907,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.004655666009057313,True
2025-03-12,38812.62213231795,0.0,38812.62213231795,64588.36688458721,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004691084002843127,True
2025-03-13,41770.71527942414,0.0,41770.71527942414,69771.59309880405,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004746166989207268,True
2025-03-14,14591.424345970983,0.0,14591.424345970983,28777.410916492838,0.0,11275.921620794514,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004670124995755032,True
2025-03-15,14987.891263792124,0.0,14987.891263792124,29579.102777603955,0.0,7164.221804127854,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.0045230420073494315,True
2025-03-16,39064.3372510819,0.0,39064.3372510819,65533.513991994616,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.0047440420021303,True
2025-03-17,35955.37170375312,0.0,35955.37170375312,59945.418608063315,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004644917004043236,True
2025-03-18,37822.81679171712,0.0,37822.81679171712,63326.834874729975,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.0047521670057903975,True
2025-03-19,36856.67059446984,0.0,36856.67059446984,61632.60845680943,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.0046855409746058285,True
2025-03-20,38513.86507476756,0.0,38513.86507476756,64332.30013643907,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.004570750024868175,True
2025-03-21,14147.422575691753,0.0,14147.422575691753,28298.564401678028,0.0,14816.196920794515,1200.0,1200.0,1200.0,10800.0,5.684341886080802e-14,0.0,0.004540708003332838,True
2025-03-22,14007.915192768392,0.0,14007.915192768392,28049.37278871507,0.0,10744.64285412785,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004397707991302013,True
2025-03-23,36207.15604833132,0.0,36207.15604833132,60858.02425310573,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.0047104999830480665,True
2025-03-24,35920.22822113635,0.0,35920.22822113635,60118.64451176702,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004796583001734689,True
2025-03-25,37597.432447080355,0.0,37597.432447080355,63094.227795698316,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.4210854715202004e-13,0.0,0.004804916010471061,True
2025-03-26,34478.36984817253,0.0,34478.36984817253,57682.940296952205,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004618665989255533,True
2025-03-27,36213.216297785926,0.0,36213.216297785926,60806.939361767014,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004862750007305294,True
2025-03-28,13611.619999641542,0.0,13611.619999641542,27525.338364640993,0.0,15276.051637461183,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004454583016922697,True
