date,period,time,planned_q_kwh,actual_x_kwh,load_kwh,pv_kwh,charge_kwh,discharge_kwh,curtailment_kwh,emergency_kwh,soc_kwh,posterior_entropy,posterior_bandwidth,solve_seconds,virtual_next_day_value_yuan,balance_residual_kwh
2025-02-01,0,00:10,1287.5715249999998,1255.3636999999999,422.0303666666667,0.0,833.3333333333333,0.0,0.0,0.0,3655.610127973615,0.9160596006929986,3.1235362251332,0.039032415981637314,59849.964185727615,0.0
2025-02-01,1,00:20,1275.4011208333334,1248.74065,415.4073166666667,0.0,833.3333333333333,0.0,0.0,0.0,4446.17954301571,0.9042407877884502,2.897559330961496,0.016376958024920896,59847.06167619799,0.0
2025-02-01,2,00:30,1261.86125,1244.05,410.7166666666667,0.0,833.3333333333333,0.0,0.0,0.0,5236.748958057805,0.8911048749121732,2.6914725083726907,0.01577812500181608,59844.08071507011,0.0
2025-02-01,3,00:40,1289.3787166666666,1263.6281333333332,430.29479999999995,0.0,833.3333333333333,0.0,0.0,0.0,6027.3183730999,0.891262428006619,2.819869850591973,0.01608295799815096,59847.05711848485,0.0
2025-02-01,4,00:50,1342.9637208333334,1257.7439166666666,424.4105833333333,0.0,833.3333333333333,0.0,0.0,0.0,6817.887788141995,0.9274522504589564,3.3113951251263685,0.01643241598503664,59843.92468962285,0.0
2025-02-01,5,01:00,1371.0999833333333,1239.3849999999998,406.0516666666666,0.0,833.3333333333333,0.0,0.0,0.0,7608.45720318409,0.958306951186474,3.2594088019330325,0.015834666992304847,59836.64226328225,-1.1368683772161603e-13
2025-02-01,6,01:10,460.6040458333333,460.6040456005561,436.7501833333333,0.0,23.853862267222794,0.0,0.0,0.0,7631.0869639110015,0.9480470038298137,3.131636535797087,0.015580957988277078,59809.271267864744,-1.4210854715202004e-14
2025-02-01,7,01:20,410.1892624999999,410.1892624999999,451.7976833333333,0.0,0.0,41.608420833333355,0.0,0.0,7587.2278373522895,0.9460009618677228,3.2275867546029953,0.015527542011113837,59809.3243471807,0.0
2025-02-01,8,01:30,1262.5558333333333,1262.5558333333333,446.08,0.0,816.4758333333334,0.0,0.0,0.0,8361.804823697497,0.9367057518791405,3.3445806192805105,0.015460708003956825,59801.2579339463,0.0
2025-02-01,9,01:40,447.70121666666665,447.70121666666665,471.7663333333333,0.0,0.0,24.065116666666654,0.0,0.0,8336.437963422715,0.9330851796303261,3.285046021340659,0.01523250000900589,59811.55224547686,0.0
2025-02-01,10,01:50,496.0254249999999,496.02542476722726,448.02596666666665,0.0,47.9994581005606,0.0,0.0,0.0,8381.974247638193,0.9294790431434043,3.215777465010686,0.015370333014288917,59770.41245128607,1.4210854715202004e-14
2025-02-01,11,02:00,535.6245833333332,535.6245833333332,397.4033333333333,0.0,138.22124999999994,0.0,0.0,0.0,8513.102438948858,0.9372753625128081,3.2400938851114183,0.015204374998575076,59734.69250093359,0.0
2025-02-01,12,02:10,1318.4339,967.7299863196629,434.0906333333333,0.0,533.6393529863296,0.0,0.0,0.0,9019.357180309471,0.928933587731404,3.2267731072058856,0.01526629098225385,59727.372608939484,0.0
2025-02-01,13,02:20,467.35079583333334,467.35079583333334,490.5609166666666,0.0,0.0,23.210120833333292,0.0,0.0,8994.891564775784,0.9257496937046761,3.214087149282489,0.015110209002159536,59730.55487082747,0.0
2025-02-01,14,02:30,504.39333333333326,503.22,503.22,0.0,0.0,0.0,0.0,0.0,8994.891564775784,0.921932914283331,3.1998552647906533,0.014751957991393283,59730.78929006379,0.0
2025-02-01,15,02:40,499.785525,474.07281666666665,474.07281666666665,0.0,0.0,0.0,0.0,0.0,8994.891564775784,0.9183972399504485,3.1652914115740463,0.014661916997283697,59728.310706141056,0.0
2025-02-01,16,02:50,493.01599583333336,461.38439999999997,461.38439999999997,0.0,0.0,0.0,0.0,0.0,8994.891564775784,0.9153140032082423,3.1136987864188987,0.015625250001903623,59725.23748234541,0.0
2025-02-01,17,03:00,508.2591666666666,476.94166666666666,476.94166666666666,0.0,0.0,0.0,0.0,0.0,8994.891564775784,0.9130206965478005,3.065442136490556,0.015133250009967014,59723.06381294625,0.0
2025-02-01,18,03:10,517.1764916666666,483.39955,483.39955,0.0,0.0,0.0,0.0,0.0,8994.891564775784,0.9095024362170119,3.04700455776682,0.014892417006194592,59720.21052764137,0.0
2025-02-01,19,03:20,487.98980416666666,486.6019166666666,486.6019166666666,0.0,0.0,0.0,0.0,0.0,8994.891564775784,0.9050569229474518,3.0718489217883853,0.014862375013763085,59717.204469405166,0.0
2025-02-01,20,03:30,450.03583333333324,450.03583333333324,498.84833333333336,0.0,0.0,48.812500000000114,0.0,0.0,8943.43867201346,0.9068847598315662,3.1400001420161,0.015130750020034611,59715.92904488499,0.0
2025-02-01,21,03:40,472.67313333333334,472.67313333333334,518.3097333333333,0.0,0.0,45.63659999999993,0.0,0.0,8895.333471791448,0.9078403616839814,3.1478830519157444,0.01487637500395067,59717.71770930124,0.0
2025-02-01,22,03:50,538.6276958333333,509.13346666666666,509.13346666666666,0.0,0.0,0.0,0.0,0.0,8895.333471791448,0.9060757481610943,3.1294878387361345,0.015106125007150695,59716.687004932435,0.0
2025-02-01,23,04:00,584.1491666666666,483.6166666666666,483.6166666666666,0.0,0.0,0.0,0.0,0.0,8895.333471791448,0.9068077281143905,3.109780831825076,0.014890167018165812,59709.21429835047,0.0
2025-02-01,24,04:10,553.0044833333334,491.1868,491.1868,0.0,0.0,0.0,0.0,0.0,8895.333471791448,0.905463765518507,3.1110760126398986,0.015387583000119776,59706.40731687759,0.0
2025-02-01,25,04:20,513.7192541666665,504.64528333333334,504.64528333333334,0.0,0.0,0.0,0.0,0.0,8895.333471791448,0.9018036792666708,3.1022257473544377,0.015056667005410418,59706.80390382255,0.0
