calibration_date,medoid_date,cluster_size,probability,stress_test_date,medoid_is_stress_day,pool_start,pool_end
2025-02-01,2025-01-04,1,0.03571428571428571,2025-01-06,False,2025-01-04,2025-01-31
2025-02-01,2025-01-06,3,0.10714285714285714,2025-01-06,True,2025-01-04,2025-01-31
2025-02-01,2025-01-18,18,0.6428571428571429,2025-01-06,False,2025-01-04,2025-01-31
2025-02-01,2025-01-25,6,0.21428571428571427,2025-01-06,False,2025-01-04,2025-01-31
