date,day_index,soc_start_kwh,soc_end_kwh
2025-01-01,0,6000.0,8110.865510773811
2025-01-02,1,8110.865510773811,4604.460587832082
2025-01-03,2,4604.460587832082,9851.34344839337
2025-01-04,3,9851.34344839337,10239.104363400544
2025-01-05,4,10239.104363400544,1714.518974312743
2025-01-06,5,1714.518974312743,1374.019228333526
2025-01-07,6,1374.019228333526,2594.226437367969
2025-01-08,7,2594.226437367969,2322.630759268399
2025-01-09,8,2322.630759268399,2579.565283274223
2025-01-10,9,2579.565283274223,2445.339823801065
2025-01-11,10,2445.339823801065,6440.635435837187
2025-01-12,11,6440.635435837187,7359.015458286699
2025-01-13,12,7359.015458286699,3266.6245759696176
2025-01-14,13,3266.6245759696176,3568.1912366875945
2025-01-15,14,3568.1912366875945,3533.6694856066983
2025-01-16,15,3533.6694856066983,2544.910210138776
2025-01-17,16,2544.910210138776,4130.876102655302
2025-01-18,17,4130.876102655302,9298.624440896505
2025-01-19,18,9298.624440896505,4147.070078633674
2025-01-20,19,4147.070078633674,4745.340752081357
2025-01-21,20,4745.340752081357,5300.430265790338
2025-01-22,21,5300.430265790338,4366.235376445688
2025-01-23,22,4366.235376445688,2953.7213298808733
2025-01-24,23,2953.7213298808733,5126.974140713356
2025-01-25,24,5126.974140713356,9888.652726529104
2025-01-26,25,9888.652726529104,4790.241806641908
2025-01-27,26,4790.241806641908,5294.336664485763
2025-01-28,27,5294.336664485763,5567.584575172764
2025-01-29,28,5567.584575172764,7648.421234239666
2025-01-30,29,7648.421234239666,2856.897139443545
2025-01-31,30,2856.897139443545,5541.10107809877
2025-02-01,31,5541.10107809877,10780.819760999611
2025-02-02,32,10780.819760999611,8809.073216666658
2025-02-03,33,8809.073216666658,8667.37934154216
2025-02-04,34,8667.37934154216,8761.825315457974
2025-02-05,35,8761.825315457974,9854.45489708209
2025-02-06,36,9854.45489708209,2694.5054157260683
2025-02-07,37,2694.5054157260683,8678.905247015953
2025-02-08,38,8678.905247015953,10414.326136271124
2025-02-09,39,10414.326136271124,7707.378879721521
2025-02-10,40,7707.378879721521,8293.486218292075
2025-02-11,41,8293.486218292075,7159.817113463208
2025-02-12,42,7159.817113463208,8191.779003495339
2025-02-13,43,8191.779003495339,2680.4074229688194
2025-02-14,44,2680.4074229688194,7378.939574721154
2025-02-15,45,7378.939574721154,9791.520924619525
2025-02-16,46,9791.520924619525,7085.226727895957
2025-02-17,47,7085.226727895957,7047.505346508641
2025-02-18,48,7047.505346508641,5935.583054264484
2025-02-19,49,5935.583054264484,6658.53175621144
2025-02-20,50,6658.53175621144,2264.316198684326
2025-02-21,51,2264.316198684326,6589.057889411258
2025-02-22,52,6589.057889411258,10154.30516306487
2025-02-23,53,10154.30516306487,5208.095863655623
2025-02-24,54,5208.095863655623,5315.774932599275
2025-02-25,55,5315.774932599275,5135.139380242664
2025-02-26,56,5135.139380242664,8113.665737328914
2025-02-27,57,8113.665737328914,2128.1230960015373
2025-02-28,58,2128.1230960015373,6582.433029807403
2025-03-01,59,6582.433029807403,10336.831308693882
2025-03-02,60,10336.831308693882,7231.552555829508
2025-03-03,61,7231.552555829508,4399.095879144732
2025-03-04,62,4399.095879144732,7137.252326397221
2025-03-05,63,7137.252326397221,7386.400112817805
2025-03-06,64,7386.400112817805,1920.760554271697
2025-03-07,65,1920.760554271697,3537.651694048589
2025-03-08,66,3537.651694048589,10640.353170739929
2025-03-09,67,10640.353170739929,5939.754648408057
2025-03-10,68,5939.754648408057,4960.44764622996
2025-03-11,69,4960.44764622996,5859.66431411108
2025-03-12,70,5859.66431411108,6468.325169020757
2025-03-13,71,6468.325169020757,1959.6874016928052
2025-03-14,72,1959.6874016928052,5762.841824699753
2025-03-15,73,5762.841824699753,10165.425466049848
2025-03-16,74,10165.425466049848,7297.573087600093
2025-03-17,75,7297.573087600093,6225.800948655463
2025-03-18,76,6225.800948655463,5573.082276736373
2025-03-19,77,5573.082276736373,7125.188612962742
2025-03-20,78,7125.188612962742,2317.040993996761
2025-03-21,79,2317.040993996761,5763.915480599688
2025-03-22,80,5763.915480599688,9934.827849546096
2025-03-23,81,9934.827849546096,6073.591143988606
2025-03-24,82,6073.591143988606,5950.30197510797
2025-03-25,83,5950.30197510797,7256.396056761127
2025-03-26,84,7256.396056761127,5366.365728278319
2025-03-27,85,5366.365728278319,2274.8301387831443
2025-03-28,86,2274.8301387831443,5803.419438011815
2025-03-29,87,5803.419438011815,10094.094479929969
2025-03-30,88,10094.094479929969,5656.2451564450375
2025-03-31,89,5656.2451564450375,4270.904753371006
2025-04-01,90,4270.904753371006,3962.268255455528
2025-04-02,91,3962.268255455528,7655.467217758899
2025-04-03,92,7655.467217758899,2129.896763290778
2025-04-04,93,2129.896763290778,6522.385724992906
2025-04-05,94,6522.385724992906,10418.126618109629
2025-04-06,95,10418.126618109629,7908.923402961441
2025-04-07,96,7908.923402961441,5283.504532549637
2025-04-08,97,5283.504532549637,5225.403611142893
2025-04-09,98,5225.403611142893,8145.070126309398
2025-04-10,99,8145.070126309398,2254.739159956082
2025-04-11,100,2254.739159956082,6245.564209368535
2025-04-12,101,6245.564209368535,10673.59178293615
2025-04-13,102,10673.59178293615,8266.725545988002
