calibration_date,date,day_index,planned_fee_yuan,emergency_fee_yuan,total_cost_yuan,unused_quota_kwh,emergency_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,soc_end_path_kwh,has_value_cuts,n_value_cuts,value_cut_gap_yuan,value_cuts_used,no_future_info,used_full_day_actual_scheduler,k_effective,elapsed_seconds,policy_loop,risk_alpha,k_target,calibration_day_index,selected
2025-01-29,2025-01-15,14,84786.28649929186,112.55886975394202,84898.8453690458,15199.906292197522,17.62302388317255,3568.1912366875945,3628.1715173161388,1236.443255742967,10054.359678357861,3568.191237;3568.191237;3568.191237;3568.191237;3568.191237;3568.191237;3568.191237;3568.191237;3568.191237;3568.191237;3568.191237;3568.191237;3568.191237;3568.191237;3568.191237;3568.191237;3656.407067;3656.407067;3900.398399;4690.967814;4755.558971;4047.129753;3329.655033;2926.430575;2940.924047;3065.529282;3749.555768;4540.125183;5202.274585;4471.731612;3886.307093;3969.881340;4760.450755;5551.020170;5731.883431;5882.506242;6020.631716;6180.846963;6180.846963;5497.665923;4904.489266;4946.437309;5095.515869;5095.515869;5886.085284;6676.654699;6759.573211;6155.413818;5539.789460;4956.463702;4427.654350;3863.056455;3219.006740;2599.541437;1970.764893;2131.148018;2305.844499;2536.942075;2608.163571;2180.316376;1825.378654;1524.122278;1524.122278;1236.443256;1236.443256;1236.443256;1236.443256;1236.443256;1487.035944;2277.605359;3068.174773;3858.744188;4649.313603;5439.883018;6230.452433;7021.021848;7811.591263;7898.572946;7872.197597;7904.549005;8033.325230;8105.186816;7807.340158;7407.799489;6996.203016;6577.694285;6134.619970;5654.311771;5140.635335;5931.204750;6721.774165;7512.343581;8302.912996;9093.482411;9273.012018;9439.355220;9581.654127;9659.109411;9575.173134;9671.572055;9783.444343;9884.070716;10032.066192;10037.553772;9829.222086;9953.040825;10022.896491;9838.057733;9867.170301;9916.853165;9960.392606;10008.273743;10054.359678;9304.446613;8514.697071;7734.847742;6984.990895;6243.415281;5501.170756;4724.450360;3918.588504;3079.109213;2259.907130;1503.674587;1540.180600;1555.421877;1615.844314;1649.070492;1650.553807;1702.507547;1752.490673;2372.080178;2313.885986;2122.283591;2901.387173;3691.956588;3713.157833;3164.298868;3491.171242;4221.394375;4252.448558;4236.556681;4136.188790;3628.171517,True,17,0.9395493222109508,True,True,False,8,6.351145499997074,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,0.6,8,28,True
2025-01-29,2025-01-16,15,83609.56288414281,1900.853254132887,85510.4161382757,16379.330019566765,280.4744455836142,3628.1715173161388,2653.562507593581,1219.1110932044244,10579.927618428319,3628.171517;3628.171517;3628.171517;3628.171517;3628.171517;3628.171517;3628.171517;3628.171517;3628.171517;3628.171517;3628.171517;3628.171517;3628.171517;3628.171517;3628.171517;3628.171517;3675.538721;3752.463086;4348.131018;4348.131018;4425.863630;4499.247255;4549.372563;4628.231028;4628.231028;4664.152306;4764.551112;4851.124044;4970.248206;4970.248206;5096.564675;5184.225194;4537.027673;5327.597088;5442.525006;5605.517856;4947.212821;4947.212821;5084.286806;5261.891182;5355.949791;5473.701938;5588.775709;5731.401304;5852.799876;6643.369292;6738.384627;6138.078192;5479.952068;4785.556534;4148.195226;3569.766236;2942.063569;2519.941631;2441.873122;2635.552025;2774.986568;2947.904947;3063.860363;2598.033335;2196.519269;1858.003971;1535.929819;1219.111093;1219.111093;1219.111093;1219.111093;1219.111093;1398.706768;2187.804654;2977.109694;3767.679109;4558.248523;5348.817938;6139.387353;6929.956768;7720.526183;7836.300394;7716.663683;7906.804179;7966.810878;7970.078763;7817.384356;7575.494209;7298.621094;6973.783050;6606.112807;6237.359837;5847.248189;6637.817604;7428.387020;8218.956435;9009.525850;9009.525850;9152.877855;9943.447270;9958.600749;10053.281518;10120.084572;10215.143286;10306.668328;10417.575830;10556.091650;10579.927618;10457.900582;10567.478888;10571.579010;10467.875916;10501.209050;10517.568176;10501.810371;10534.552003;10567.356902;9840.252643;9066.507002;8266.766700;7485.020040;6761.655666;6041.702054;5249.077159;4444.475523;3662.544994;2924.604663;2188.299476;2181.434558;2245.606548;2845.755595;2902.430512;2949.165687;2363.064420;2427.057559;3116.609294;3774.914082;3774.919186;4408.882128;4426.156655;3812.994354;3844.277976;3887.676988;3920.706757;3861.973598;3204.391925;2635.932162;2653.562508,True,12,0.9494046762592916,True,True,False,8,5.133570771999075,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,0.6,8,28,True
2025-01-29,2025-01-17,16,31309.28729735972,106.23523651323259,31415.52253387295,14413.06110999857,50.13220385618122,2653.562507593581,4142.093658254856,1890.8317212266534,10799.999999732287,2653.562508;2653.562508;2653.562508;2653.562508;2653.562508;2653.562508;2653.562508;2653.562508;2653.562508;2653.562508;2653.562508;2653.562508;2653.562508;3444.131923;4171.037267;4185.189891;4248.766717;4248.766717;4248.766717;4273.708880;3735.687743;3777.719463;3851.278113;3935.247337;4003.660977;4063.071177;4087.938475;4878.507890;5026.646824;5099.142277;5238.716072;5363.102338;5448.549938;5591.117525;5722.605747;5892.003791;5401.522970;5590.024793;5590.024793;5764.531635;5183.490082;4525.523314;4525.523314;4613.499264;4108.835325;4108.835325;3734.552066;3361.396589;3069.118247;2844.228121;2644.489628;2494.587056;2331.113130;2126.427681;1966.908324;1891.255241;1890.831721;1890.831721;1890.831721;1890.831721;1890.831721;1890.831721;1890.831721;1890.831721;1890.831721;1890.831721;1890.831721;1890.831721;1890.831721;1890.831721;2229.803495;3020.372910;3810.942325;4601.511740;5392.081155;6182.650570;6510.129046;6787.671483;7043.434666;7280.797346;7506.903757;7738.840399;7984.556093;8138.041927;8248.312667;8320.594221;8411.096518;8440.485288;8433.657469;8582.889371;9184.037124;9291.244789;9416.528765;9544.855239;9673.181527;9811.409465;9963.284459;10001.639039;10072.304109;10123.764709;10271.234851;10454.410901;10618.030116;10741.114636;10676.170225;10787.280688;10800.000000;10326.661495;9848.631243;9364.218987;8896.526905;8436.174557;8004.442123;7517.080674;7010.287046;6497.584475;5973.714530;5511.735929;5058.002703;4553.607118;4077.291856;3619.814388;3161.196286;2687.506066;2182.171461;2177.315485;2190.265977;2197.836857;2265.909500;2254.194588;2243.613273;2541.367627;3284.044284;3289.072780;4079.642194;4106.532788;4078.879672;4064.507120;4042.286480;3982.370164;4702.107721;4705.502316;4594.014759;4142.093658,True,14,0.9089495615189662,True,True,False,8,5.510997514007613,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,0.6,8,28,True
2025-01-29,2025-01-18,17,32566.39172785415,2.0334416217338e-07,32566.391728057493,13350.08282928742,9.242563692168915e-08,4142.093658254856,9248.01723852532,1826.0984862857727,10143.332159979173,4142.093658;4142.093658;4142.093658;4142.093658;4142.093658;4140.739132;4140.739132;4140.739132;4140.739132;4140.739132;4140.739132;4257.144992;4257.144992;4294.186320;3775.913607;3243.298876;3243.298876;3243.298876;3243.298876;3271.905126;3386.141958;3437.803461;3511.104377;3586.330694;3677.211420;3677.211420;3560.122869;4350.692284;5122.185142;4538.556934;5329.126349;5439.176846;4917.815642;5686.246922;5818.518315;5902.614953;6025.519992;6025.519992;5463.361893;5524.760581;5520.450530;4865.650871;4211.138013;3624.266643;3750.328056;3750.328056;3431.578504;3115.894788;2875.178456;2677.618612;2483.282344;2353.570142;2229.500005;2058.100603;1902.484375;1826.098486;1826.098486;1826.098486;1826.098486;1826.098486;1826.098486;1826.098486;1826.098486;1826.098486;1826.098486;1826.098486;1826.098486;1826.098486;1826.098486;1826.098486;1923.518627;2714.088042;3504.657457;4295.226872;5085.796287;5876.365702;6564.033907;6848.652731;7158.973078;7465.145102;7718.220602;7942.354814;8166.197904;8307.237802;8436.209067;8479.798671;8479.798671;8531.587419;8531.587419;8697.611058;9333.874174;9485.979194;9598.980771;9556.396190;9599.200802;9729.658774;9839.327840;9908.391580;9395.008978;8859.166299;8972.487860;9106.456753;9897.026168;10044.065027;9964.688416;10132.230866;10143.332160;9647.028493;9129.261147;8613.431627;8137.041525;8167.021648;7739.969718;7282.396925;6836.144260;6369.294714;5854.806193;5417.912693;4997.560699;4496.849167;3990.087532;3498.979908;3034.968366;2576.273632;2044.030978;2070.852515;2107.872635;2139.658617;2229.427033;2247.924641;2275.106513;3027.363353;3740.023378;4492.884805;5271.776720;6057.875884;6845.792156;7636.361571;8395.996534;9114.014295;9890.434889;10043.969491;9905.523280;9248.017239,True,12,0.9780430090031587,True,True,False,8,5.156270863997634,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,0.6,8,28,True
2025-01-29,2025-01-19,18,80897.62027296536,87.1174574930438,80984.73773045841,15312.068425933732,14.083003184705078,9248.01723852532,4147.07007801565,1293.724975381525,9852.783203699837,9248.017239;9248.017239;9248.017239;9248.017239;8641.709157;8052.116542;8052.116542;8052.116542;7373.728927;7373.728927;7373.728927;7373.728927;6673.703252;6025.488247;6025.488247;6025.488247;6025.488247;6025.488247;6025.488247;6025.488247;6025.488247;6025.488247;6025.488247;6025.488247;6025.488247;6025.488247;6025.488247;6025.488247;5455.663825;5455.663825;5455.663825;5455.663825;5455.663825;5455.663825;5455.663825;5455.663825;4825.119249;4840.846652;4947.293122;5118.564823;5278.460936;5278.460936;5374.818058;5536.730749;5536.730749;6327.300164;6453.702577;5842.808222;5252.639630;4677.746018;4131.724339;3624.675546;3117.009010;2561.786194;2583.579238;2816.266594;3047.515526;3273.981101;2955.016503;2513.065800;2139.956196;1835.413595;1565.567282;1293.724975;1293.724975;1293.724975;1293.724975;1293.724975;1708.029187;2497.677211;3288.246626;4078.816041;4869.385456;5659.954871;6450.524286;7241.093701;8031.663116;8039.366565;7799.129052;8002.611291;8192.968412;8237.158458;7895.798505;7531.278806;7140.333305;6716.139583;6257.293973;5753.660778;5186.000175;5976.569590;6767.139005;7557.708420;8348.277835;9138.847250;9263.996438;9353.018827;9462.111661;9451.345157;9540.580388;9619.258569;9748.664539;9356.783486;9498.155912;9625.362887;9746.724652;9852.783204;9838.598588;9840.315704;9719.041950;9705.048705;9721.643958;9803.243151;9833.833562;9043.443343;8278.273482;7535.384363;6767.678215;5973.645245;5191.222385;4449.591852;3728.367927;3336.917639;2513.449995;1705.528776;1751.201710;1843.165377;2419.412594;2421.228698;2434.149764;1989.490864;2001.359580;2023.349268;2173.113018;2018.215478;1998.948423;2003.224542;2060.143129;2653.678517;2652.788678;2662.456148;3416.227720;4113.088388;4173.842430;4147.070078,True,15,0.7971690183039755,True,True,False,8,5.84681150400138,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,0.6,8,28,True
2025-01-29,2025-01-20,19,82359.86902856713,3159.0303237281846,85518.89935229532,14369.533583389039,507.5777479615523,4147.07007801565,4741.73668402864,1486.7532313040308,10681.756419542704,4147.070078;4147.070078;4147.070078;4147.070078;3530.360563;2881.798527;2881.798527;2881.798527;2881.798527;2881.798527;2881.798527;2881.798527;2881.798527;2881.798527;2881.798527;3672.367942;3688.508255;3888.932224;3888.932224;3249.313697;3315.466213;4063.619179;4219.450421;4219.450421;4219.450421;4219.450421;3592.950939;2897.754194;3061.769685;3852.339100;3978.435641;3247.652496;4038.221911;4828.791326;4828.791326;4828.791326;4180.999923;4388.779436;4507.311126;4036.682283;4160.011530;4301.790889;4439.954964;4657.759070;5448.328485;6238.897900;6379.309518;5745.810650;5090.560079;4444.927135;3791.280583;3348.667478;2778.787274;2147.669475;2349.144816;2578.689296;2810.390518;3008.905880;3003.693778;2644.700850;2309.419071;2003.388004;1740.998517;1486.753231;1486.753231;1486.753231;1486.753231;1486.753231;1982.683298;2773.252713;3563.822128;4354.391543;5036.092870;5826.662285;6617.231700;7407.801115;8198.370530;8222.783573;8365.337202;8562.492777;8667.341226;8613.450467;8399.226384;8103.589689;7806.941664;7500.569499;7166.039926;6755.041303;6288.775670;7079.345085;7869.914500;8660.483915;9451.053330;10241.622745;10241.622745;10317.340006;10411.223492;10508.302163;10590.959390;10681.756420;10456.054229;10580.945605;10669.396969;10637.048223;10527.109003;10619.040103;10627.193498;10473.656494;10503.900551;10529.402225;10609.265168;10653.674922;10620.940430;9824.459312;9021.726249;8243.951725;7507.767337;6774.591101;6012.421258;5232.082690;4483.092070;3724.815535;3434.699966;2648.316687;2670.185671;2739.846584;3366.950957;3436.415074;3482.625310;3012.623130;3090.800998;3744.744697;3838.622292;3255.418471;3239.922432;3900.654086;4587.986014;4670.466911;4685.546762;4699.700311;4743.479673;4758.393736;4748.169284;4741.736684,True,12,0.9162873540044529,True,True,False,8,5.108140884010936,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,0.6,8,28,True
2025-01-29,2025-01-21,20,77430.83658187001,0.0,77430.83658187001,12333.993699139892,0.0,4741.73668402864,5283.811107415077,1840.2491513911993,10753.053748380049,4106.776347;3466.177880;3466.177880;4256.747295;4918.630909;5709.200325;6499.769740;6499.769740;6499.769740;7283.063789;7283.063789;7395.482080;6739.932540;6060.308615;6157.076920;6157.076920;6228.827577;5554.389296;5661.337755;5661.337755;5742.307748;5851.186312;5961.664396;6039.620548;6039.620548;5393.566521;4659.928645;5450.498060;5620.971191;5077.030172;4330.323288;4416.828716;5207.398131;5997.967546;6117.207665;6193.073972;6304.173881;6486.079747;6668.271528;6725.402304;6012.994502;5975.531045;6136.384239;6512.968581;6512.968581;7296.942609;7296.942609;6727.926912;6165.790577;5625.565082;5104.838173;4592.070264;4067.981457;3515.034289;3515.034289;3515.034289;3075.453538;3075.453538;3075.453538;2706.813655;2414.571379;2198.201432;2012.630195;1840.249151;1840.249151;1840.249151;1840.249151;1840.249151;2381.863888;3152.070749;3923.066654;4701.676801;5485.188207;6265.599989;7056.169404;7846.738819;8637.308234;8635.578205;8584.651585;8690.509472;8693.613396;8851.995383;8750.010787;8556.385404;8308.330635;7989.759164;7593.091839;7186.550459;6771.124784;7431.873175;8222.442590;9013.012006;9803.581421;10594.150836;10594.150836;10594.150836;10615.713459;10650.125184;10375.112702;10490.948279;10636.078927;10661.433900;10700.629344;10629.185218;10629.593942;10753.053748;10751.394528;10664.192086;10639.325699;10663.565142;10684.782523;10696.977196;10428.352074;9751.434918;9042.624294;8280.908695;7519.514805;6762.064504;6683.585873;6460.150282;5719.393943;4979.963916;4239.698433;3476.966557;3504.837117;3526.231396;3533.615891;3541.959158;3582.751956;3614.407731;3629.270033;4305.929444;4335.933980;3755.797726;4256.887481;5015.730642;4995.167747;4427.249031;4414.130173;5192.799487;5253.525321;5233.193272;5240.246922;5283.811107,True,16,0.951317497092532,True,True,False,8,6.029322147995117,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,0.6,8,28,True
2025-01-29,2025-01-22,21,77206.32308416972,1637.3396490344958,78843.66273320421,6229.271521246484,597.7390340277776,5283.811107415077,4355.831911621488,1289.46089133047,10022.079252152726,4678.567133;4592.774358;5227.975996;6018.545411;6809.114826;7599.684241;7712.266803;7772.389154;7822.344977;8612.914392;8666.054887;8014.702989;7381.927066;7420.454080;7952.198429;8047.578637;7364.852833;6664.938891;6761.013193;6882.959495;6990.271788;7076.638605;7180.140364;7302.135713;7424.572373;7531.071218;6774.591156;6852.629133;6166.966780;6344.763180;5581.121279;4987.181554;5777.750969;6568.320384;6710.425808;6896.909638;6215.240363;6370.243892;6502.577292;6603.255109;6753.196028;6900.346008;6967.566188;7116.869733;7116.869733;7272.971775;7338.441566;6802.801702;6258.487883;5682.223159;5061.917214;4432.378780;3763.514939;3136.461381;3136.461381;3165.076513;2673.743770;2818.385991;2866.757921;2412.976786;2011.969252;1790.606550;1534.009679;1289.460891;1289.460891;1289.460891;1289.460891;1303.306661;2093.876076;2884.445491;3675.014906;4465.584321;5256.153736;6046.723151;6837.292566;7627.861981;8418.431396;8453.748177;8240.959163;8275.363305;8379.209102;8437.520538;8056.459246;7633.979829;7196.165561;6759.509460;6328.758052;5894.042606;5432.541016;6223.110431;7013.679846;7804.249261;8594.818676;9385.388091;9498.493535;9672.790693;9820.140338;9954.096046;9699.379574;9807.393078;9928.564415;9943.142778;9681.756313;9790.229209;9890.495684;10007.597117;10018.485914;9976.297323;9995.211641;10022.079252;9963.095478;9975.497888;9975.658586;9270.727164;8537.884530;8281.216067;7518.471182;6743.752596;5962.092494;5177.236260;4362.668970;3546.721609;2792.329529;2046.109872;2100.052231;2158.406684;2191.295921;2198.836435;2212.134547;2200.633361;2175.075253;2178.363722;2183.917624;2168.499164;2933.631011;3710.608203;3672.187326;3570.239301;3575.374935;4289.583070;4260.448245;4274.219250;4316.033330;4355.831912,True,19,0.7979058652999811,True,True,False,8,6.687373374996241,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,0.6,8,28,True
2025-01-29,2025-01-23,22,75760.21594222225,1708.6012447837995,77468.81718700605,4742.714182153588,625.6062276126319,4355.831911621488,2970.2508033249683,1200.0,10026.038847931208,4355.831912;4402.914463;5190.733260;5981.302675;6771.872090;6841.337828;6904.948200;6870.558035;6942.462173;7713.138904;7761.646340;7080.755255;6442.725085;6587.543893;6742.217982;6863.126056;6923.879434;6180.993652;6862.344380;6982.593267;7084.894931;7149.581355;7242.816985;7920.318800;8018.590420;8047.766551;7367.525489;7447.320833;7444.160308;7567.066419;7571.321730;7569.011961;7630.254554;8407.146968;8547.975222;8643.866444;7975.560943;8135.144115;7660.238949;7797.081848;7800.849631;7140.701235;7307.622035;7369.776809;7369.776809;7369.776809;7369.776809;6744.871284;6140.807578;5540.633899;4907.494676;4301.189088;3648.836027;2994.043713;2994.043713;3159.962409;2660.239815;2841.505083;2841.505083;2405.663286;2062.368689;1787.155663;1482.683634;1200.000000;1200.000000;1990.569415;1990.569415;1990.569415;2323.551379;3114.120793;3904.690208;4695.259623;5485.829038;6249.076719;7002.524461;7782.806036;8573.375451;8352.375285;8355.060709;8412.479750;8195.477553;8304.757948;8020.444047;7707.110204;7344.532899;6958.155818;6565.515565;6126.079541;5619.592057;6410.161472;7200.730887;7991.300302;8781.869717;9572.439132;9704.718859;9795.976183;9914.992322;10026.038848;9612.095643;9700.504013;9813.369776;9912.562282;9613.285497;9717.171763;9830.218333;9916.021000;9912.500389;9906.737724;9917.029253;9899.888459;9905.459338;9953.559867;9979.894008;9268.797901;8588.079810;7876.906772;7114.200537;6329.655156;5548.771340;4775.564586;3999.744632;3219.139940;2457.869906;1668.016914;1661.749320;1726.124750;2310.418366;2332.187005;2368.665596;1894.689970;1931.521524;1933.556149;2596.212597;2564.147880;2559.335362;2419.936301;2404.138891;2757.263753;3445.311388;3459.135894;2828.006761;2178.511964;2197.912446;2970.250803,True,20,0.9061184766796941,True,True,False,8,6.949821481000981,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,0.6,8,28,True
2025-01-29,2025-01-24,23,25195.743277958092,1178.6840457513517,26374.427323709446,4940.748661907486,656.6313560355017,2970.2508033249683,5268.9389710440055,1497.4782101925962,10797.994513742397,2815.172052;2375.410928;3078.127234;3105.397173;3110.027295;3900.596709;4691.166124;4766.096025;4826.200124;5598.658877;6288.727645;5805.397222;5290.576504;5359.450310;6124.697523;6173.026338;5981.037601;5429.693728;4870.487861;4331.273877;4458.791016;4969.729242;5095.753644;5099.248511;5155.708135;5206.958766;5196.710059;4642.001187;4081.335858;4185.120203;4185.120203;4975.689618;5766.259034;6556.828449;6571.998403;6026.739164;5431.813982;5433.981773;5433.981773;5480.771716;4895.720352;4277.298745;3725.346205;3765.247773;3457.383855;3457.383855;3054.585674;2768.390950;2534.445695;2340.180767;2191.509169;2057.068176;1927.639146;1804.339932;1677.006247;1569.383573;1497.478210;1497.478210;1497.478210;1497.478210;1497.478210;1497.478210;1497.478210;1497.478210;1497.478210;1497.478210;1497.478210;1497.478210;2149.716523;2940.285938;3730.855353;4521.424768;4981.555376;5381.181915;6171.751330;6736.293456;7114.040188;7327.999720;7629.011586;7917.672102;8176.458675;8392.159231;8585.019632;8738.128816;8856.215821;8937.091310;8990.446444;9029.099565;9035.572004;9234.431817;10025.001231;10195.285535;10301.166680;10412.788637;10524.207275;10557.677556;10587.648744;10602.673582;10652.267111;10264.116202;10424.080051;10611.582474;10626.039470;10126.472095;10247.820421;10770.364145;10797.994514;10351.273603;9884.641711;9396.513278;8914.381885;8414.534341;7946.138117;7518.912648;7068.185624;6595.217967;6153.568998;5701.457933;5234.340999;4763.531439;4277.860166;3773.201743;3315.759833;2877.658685;2415.343407;2424.887577;3112.032724;3141.881473;3083.714596;2539.481323;2636.356350;2735.372760;3514.557327;4252.020394;4234.111948;4228.954044;4204.458599;3767.221008;3333.251868;3366.358415;3437.864190;3850.128687;4570.545085;5268.938971,True,18,0.9042894647936919,True,True,False,8,6.7306840929959435,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,0.6,8,28,True
