scheme,window,n_days,total_cost_yuan,emergency_cost_yuan,emergency_kwh,max_day_cost_yuan,max_day_cost_date,max_emergency_cost_date,p90_yuan,p95_yuan,cvar_0_90_yuan
Q4-2,1-12,365,17681029.09881317,2530441.45785683,635045.107114312,220012.7628227721,2025-01-01,2025-01-01,73781.77320534605,84459.76146174187,92343.75614164564
Q4-2,2-12,334,15257873.753971763,2044500.3153429125,541155.3930922948,103438.6149215319,2025-12-02,2025-06-01,69982.07031382488,74286.96427647672,78128.4473155518
Q4-3,1-12,365,17489808.237080485,3035527.743312141,749591.9375883166,137525.70452595604,2025-01-05,2025-01-05,75554.36925579648,86219.54175976907,92761.571088819
Q4-3,2-12,334,15346418.13891758,2577371.6849955684,651103.3835917715,105807.17148781056,2025-07-01,2025-07-01,73653.02097692988,82875.97929866644,85248.00681130632
Q2-K8,2-12,334,14456670.549319457,1927579.7197312738,534490.4162619049,84161.73501974324,2025-12-02,2025-06-01,61111.941543660316,64662.21726323267,66708.12578483346
Q3-M1_M6,2-12,334,14512748.52796609,2405380.09739859,641829.448557083,87309.30349920591,2025-07-06,2025-07-01,64342.70680621877,71381.87655677061,72623.01470559392
Q3-M1_M6,1-12,365,16373508.74903882,2771035.553085873,742322.8134101499,109974.63501225744,2025-01-02,2025-01-05,65706.5956065949,72411.5103265357,77861.49903820896
