date,n_adjusted_periods,normal_cost_yuan,emergency_cost_yuan,adjustment_delivery_yuan,adjustment_update_clock_yuan,total_delivery_yuan,total_update_clock_yuan,adjustment_gap_yuan,ledger_matches_delivery
2025-01-01,39,58508.06892382568,75384.38957252995,1267.9514870888406,1254.6532706298256,135160.40998344446,135147.11176698544,-13.298216459015066,True
2025-01-02,40,55740.383432217575,77796.90086526502,1286.5239817551944,1244.7945952022665,134823.8082792378,134782.07889268483,-41.72938655292796,True
2025-01-03,28,41667.18463096419,0.0,1273.2068505396057,1035.363106006458,42940.3914815038,42702.54773697066,-237.84374453314763,True
2025-01-04,21,42225.22298959682,0.0,1162.180422677457,1067.333339279902,43387.403412274274,43292.556328876715,-94.84708339755502,True
2025-01-05,19,55987.091049961724,80883.03092339136,655.5825526029571,606.1576723722344,137525.704525956,137476.27964572533,-49.42488023072269,True
2025-01-06,22,53104.20242014726,75423.56855665037,340.2830970024496,359.1916595251618,128868.05407380007,128886.9626363228,18.908562522712202,True
2025-01-07,40,60194.535890453364,73297.39347781049,2097.82589801918,1705.374637788639,135589.75526628303,135197.3040060525,-392.45126023054104,True
2025-01-08,50,68172.79088662479,4209.8602126326,3156.492768602649,2749.643987344295,75539.14386786005,75132.29508660169,-406.84878125835394,True
2025-01-09,53,72528.36517058406,5616.111610966248,1231.4843160109508,982.6649368162389,79375.96109756126,79127.14171836655,-248.81937919471193,True
2025-01-10,27,21128.139316774068,4497.27321920456,1716.9371227593454,2044.1102772204565,27342.34965873797,27669.52281319908,327.17315446111115,True
2025-01-11,14,22828.04972720014,1911.1082354842956,141.55189896811805,141.6651201461599,24880.709861652555,24880.823082830597,0.11322117804184018,True
2025-01-12,44,73912.48591911199,2818.638547483573,1908.0018288136082,1622.578619871851,78639.12629540917,78353.7030864674,-285.42320894175714,True
2025-01-13,37,66639.599781905,1788.1096245902258,1098.5266219218397,766.5932567907392,69526.23602841707,69194.30266328597,-331.93336513110046,True
