date,period_index,normal_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-02-01,97,301.19427142333336,0.0,0.0,301.19427142333336
2025-02-01,98,336.12211383749997,0.0,0.0,336.12211383749997
2025-02-01,99,367.3032533051389,0.0,0.0,367.3032533051389
2025-02-01,100,347.02768313722225,0.0,0.0,347.02768313722225
2025-02-01,101,310.19153998499996,0.0,0.0,310.19153998499996
2025-02-01,102,324.7241813552778,0.0,0.0,324.7241813552778
2025-02-01,103,351.20678505138886,0.0,0.0,351.20678505138886
2025-02-01,104,349.4673722916666,0.0,0.0,349.4673722916666
2025-02-01,105,344.5229488204167,0.0,0.0,344.5229488204167
2025-02-01,106,0.0,0.0,0.0,0.0
2025-02-01,107,0.0,0.0,0.0,0.0
2025-02-01,108,0.0,0.0,0.0,0.0
2025-02-01,109,0.0,0.0,0.0,0.0
2025-02-01,110,0.0,0.0,0.0,0.0
2025-02-01,111,0.0,0.0,0.0,0.0
2025-02-01,112,0.0,0.0,0.0,0.0
2025-02-01,113,0.0,0.0,0.0,0.0
2025-02-01,114,0.0,0.0,0.0,0.0
2025-02-01,115,0.0,0.0,0.0,0.0
2025-02-01,116,0.0,0.0,0.0,0.0
2025-02-01,117,0.0,0.0,0.0,0.0
2025-02-01,118,0.0,0.0,0.0,0.0
2025-02-01,119,0.0,0.0,0.0,0.0
2025-02-01,120,0.0,0.0,0.0,0.0
2025-02-01,121,0.0,0.0,0.0,0.0
2025-02-01,122,0.0,0.0,0.0,0.0
2025-02-01,123,0.0,0.0,0.0,0.0
2025-02-01,124,0.0,0.0,0.0,0.0
2025-02-01,125,376.3536016666666,0.0,0.0,376.3536016666666
2025-02-01,126,374.4339685591666,0.0,0.0,374.4339685591666
2025-02-01,127,389.3358774295833,0.0,0.0,389.3358774295833
2025-02-01,128,393.7162506666666,0.0,0.0,393.7162506666666
2025-02-01,129,257.1355930992486,0.0,0.0,257.1355930992486
2025-02-01,130,303.512409095,0.0,0.0,303.512409095
2025-02-01,131,397.05636604166665,0.0,0.0,397.05636604166665
2025-02-01,132,314.3596308016666,0.0,0.0,314.3596308016666
2025-02-01,133,344.5967559125,0.0,0.0,344.5967559125
2025-02-01,134,353.9830894166666,0.0,0.0,353.9830894166666
2025-02-01,135,442.78348426499997,0.0,0.0,442.78348426499997
2025-02-01,136,470.61079852499995,0.0,0.0,470.61079852499995
2025-02-01,137,428.8379287499999,0.0,0.0,428.8379287499999
2025-02-01,138,442.53816593249996,0.0,0.0,442.53816593249996
2025-02-01,139,443.33314687458335,0.0,0.0,443.33314687458335
2025-02-01,140,410.85323583333326,0.0,0.0,410.85323583333326
2025-02-01,141,414.5677606362499,0.0,0.0,414.5677606362499
2025-02-01,142,477.1432031775634,4.121829988434911e-08,0.0,477.1432032187817
2025-02-01,143,239.74533353252957,4.160608568781754e-08,0.0,239.74533357413566
2025-06-21,0,170.880623595,0.0,62.728070624999916,233.6086942199999
2025-06-21,1,186.11800172999997,0.0,111.57325344999985,297.6912551799998
2025-06-21,2,212.44809941666665,0.0,241.08559291666663,453.5336923333333
2025-06-21,3,195.43139467083333,0.0,66.99483906249988,262.4262337333332
2025-06-21,4,176.53105998,0.0,0.0,176.53105998
2025-06-21,5,181.34577174999998,0.0,2.9775312500000357,184.323303
2025-06-21,6,188.30009823833333,0.0,12.289395874999984,200.58949411333333
2025-06-21,7,191.32295579499998,0.0,79.46777992500003,270.79073572000004
2025-06-21,8,191.69853374999997,0.0,163.20914124999996,354.9076749999999
2025-06-21,9,194.2705193770833,0.0,92.40426482291659,286.67478419999986
2025-06-21,10,202.72106687291665,0.0,43.69692734375007,246.41799421666673
2025-06-21,11,206.159748875,0.0,79.95572395833328,286.1154728333333
2025-06-21,12,189.2663195625,0.0,90.60387468750017,279.87019425000017
2025-06-21,13,174.01360027333334,0.0,80.06333830000001,254.07693857333334
2025-06-21,14,176.18666,0.0,45.682012500000084,221.86867250000006
2025-06-21,15,186.31689917999998,0.0,0.0,186.31689917999998
2025-06-21,16,453.60504366249995,0.0,9.720065491312033,463.325109153812
2025-06-21,17,387.347333,0.0,79.06829349849986,466.4156264984998
2025-06-21,18,0.0,0.0,0.0,0.0
2025-06-21,19,0.0,0.0,0.0,0.0
2025-06-21,20,184.12643899999998,0.0,85.02180750000008,269.1482465
2025-06-21,21,188.10782605333333,0.0,6.378512783333261,194.4863388366666
2025-06-21,22,6.8828877921191635e-06,0.0,1.162572007547169e-05,1.8508607867590854e-05
2025-06-21,23,169.90370441666664,0.0,1.0289395833333603,170.932644
2025-06-21,24,173.193079115,0.0,13.35340152500013,186.5464806400001
2025-06-21,25,159.54422316444445,0.0,11.386795177777811,170.93101834222225
2025-06-21,26,137.77160009999997,0.0,1.887979500000012,139.65957959999997
2025-06-21,27,147.5357908808333,0.0,0.0,147.5357908808333
2025-06-21,28,151.90322864625,0.0,0.0,151.90322864625
2025-06-21,29,140.782277475,0.0,9.823315541666693,150.6055930166667
2025-06-21,30,401.84659038555554,0.0,0.0,401.84659038555554
2025-06-21,31,189.89322699392716,0.0,47.35125626148616,237.24448325541331
2025-06-21,32,127.05611242916669,0.0,0.0,127.05611242916669
2025-06-21,33,314.6975450838889,0.0,0.0,314.6975450838889
2025-06-21,34,0.0,0.0,0.0,0.0
2025-06-21,35,0.0,0.0,0.0,0.0
2025-06-21,36,0.0,0.0,0.0,0.0
2025-06-21,37,0.0,0.0,0.0,0.0
2025-06-21,38,0.0,0.0,0.0,0.0
2025-06-21,39,0.0,0.0,0.0,0.0
2025-06-21,40,0.0,0.0,0.0,0.0
2025-06-21,41,0.0,0.0,0.0,0.0
2025-06-21,42,0.0,0.0,0.0,0.0
2025-06-21,43,0.0,0.0,0.0,0.0
2025-06-21,44,0.0,0.0,0.0,0.0
2025-06-21,45,0.0,0.0,0.0,0.0
2025-06-21,46,0.0,0.0,0.0,0.0
2025-06-21,47,0.0,0.0,0.0,0.0
2025-06-21,48,0.0,0.0,0.0,0.0
2025-06-21,49,0.0,0.0,0.0,0.0
2025-06-21,50,0.0,0.0,0.0,0.0
2025-06-21,51,0.0,0.0,0.0,0.0
2025-06-21,52,0.0,0.0,0.0,0.0
2025-06-21,53,0.0,0.0,0.0,0.0
2025-06-21,54,0.0,0.0,0.0,0.0
2025-06-21,55,0.0,0.0,0.0,0.0
2025-06-21,56,0.0,0.0,0.0,0.0
2025-06-21,57,0.0,0.0,0.0,0.0
2025-06-21,58,0.0,0.0,0.0,0.0
2025-06-21,59,0.0,0.0,0.0,0.0
2025-06-21,60,0.0,0.0,0.0,0.0
2025-06-21,61,0.0,0.0,0.0,0.0
2025-06-21,62,0.0,0.0,0.0,0.0
2025-06-21,63,0.0,0.0,0.0,0.0
2025-06-21,64,0.0,0.0,0.0,0.0
2025-06-21,65,0.0,0.0,0.0,0.0
2025-06-21,66,0.0,0.0,0.0,0.0
2025-06-21,67,0.0,0.0,0.0,0.0
2025-06-21,68,0.0,0.0,0.0,0.0
2025-06-21,69,0.0,0.0,0.0,0.0
2025-06-21,70,0.0,0.0,0.0,0.0
2025-06-21,71,0.0,0.0,0.0,0.0
2025-06-21,72,0.0,0.0,0.0,0.0
2025-06-21,73,0.0,0.0,0.0,0.0
2025-06-21,74,19.293092414998313,9.646546207499156,0.0,28.93963862249747
2025-06-21,75,27.167521971666655,13.583760985833326,0.0,40.75128295749998
2025-06-21,76,0.0,0.0,0.0,0.0
2025-06-21,77,0.0,0.0,0.0,0.0
2025-06-21,78,0.0,0.0,0.0,0.0
2025-06-21,79,0.0,0.0,0.0,0.0
2025-06-21,80,0.0,0.0,0.0,0.0
2025-06-21,81,0.0,0.0,0.0,0.0
2025-06-21,82,0.0,0.0,0.0,0.0
2025-06-21,83,0.0,0.0,0.0,0.0
2025-06-21,84,0.0,0.0,0.0,0.0
2025-06-21,85,0.0,0.0,0.0,0.0
2025-06-21,86,0.0,0.0,0.0,0.0
2025-06-21,87,0.0,0.0,0.0,0.0
2025-06-21,88,0.0,0.0,0.0,0.0
2025-06-21,89,0.0,0.0,0.0,0.0
2025-06-21,90,0.0,0.0,0.0,0.0
2025-06-21,91,0.0,0.0,0.0,0.0
2025-06-21,92,0.0,0.0,0.0,0.0
2025-06-21,93,0.0,0.0,0.0,0.0
2025-06-21,94,0.0,0.0,0.0,0.0
2025-06-21,95,34.912102745000006,0.0,14.845414308337203,49.75751705333721
2025-06-21,96,57.771975277777784,0.0,0.0,57.771975277777784
2025-06-21,97,66.71101602222222,0.0,0.0,66.71101602222222
2025-06-21,98,74.65251657333327,0.0,0.0,74.65251657333327
2025-06-21,99,112.19934592027782,0.0,0.0,112.19934592027782
2025-06-21,100,102.49754282666665,0.0,0.0,102.49754282666665
2025-06-21,101,62.991074711666656,0.0,8.240267066666558,71.23134177833322
2025-06-21,102,99.60851522499998,0.0,10.25350950000656,109.86202472500653
2025-06-21,103,154.89641914930553,0.0,0.0,154.89641914930553
2025-06-21,104,179.02123657500002,0.0,121.77191587499964,300.79315244999964
2025-06-21,105,192.1777155816666,0.2640378144444355,242.6808700250031,435.1226234211141
2025-06-21,106,278.47885051249995,0.9641140416666758,221.9558180625002,501.39878261666684
2025-06-21,107,424.1948487400001,0.0,0.0,424.1948487400001
2025-06-21,108,0.0,0.0,0.0,0.0
2025-06-21,109,0.0,0.0,0.0,0.0
2025-06-21,110,0.0,0.0,0.0,0.0
2025-06-21,111,0.0,0.0,0.0,0.0
2025-06-21,112,0.0,0.0,0.0,0.0
2025-06-21,113,0.0,0.0,0.0,0.0
2025-06-21,114,0.0,0.0,0.0,0.0
2025-06-21,115,0.0,0.0,0.0,0.0
2025-06-21,116,0.0,0.0,0.0,0.0
2025-06-21,117,0.0,0.0,0.0,0.0
2025-06-21,118,0.0,0.0,0.0,0.0
2025-06-21,119,0.0,0.0,0.0,0.0
2025-06-21,120,0.0,0.0,0.0,0.0
2025-06-21,121,0.0,0.0,0.0,0.0
2025-06-21,122,0.0,0.0,0.0,0.0
2025-06-21,123,0.0,0.0,0.0,0.0
2025-06-21,124,201.85879138325276,8.689349710670285,2150.022698894195,2360.5708399881178
2025-06-21,125,496.57258125,0.0,0.0,496.57258125
2025-06-21,126,472.19659198958334,0.0,0.0,472.19659198958334
2025-06-21,127,492.99022435,0.0,0.0,492.99022435
2025-06-21,128,505.92052933333326,0.0,0.0,505.92052933333326
2025-06-21,129,526.3079467912501,0.0,175.48939265726708,701.7973394485172
2025-06-21,130,376.55981229375004,0.0,180.6294805312497,557.1892928249997
2025-06-21,131,514.070307,0.0,0.0,514.070307
2025-06-21,132,527.1174917066667,0.0,0.0,527.1174917066667
2025-06-21,133,616.0948573362499,0.0,0.0,616.0948573362499
2025-06-21,134,553.5714425,0.0,0.0,553.5714425
2025-06-21,135,494.5581130416666,0.0,0.0,494.5581130416666
2025-06-21,136,487.08524468583335,0.0,0.0,487.08524468583335
2025-06-21,137,507.35721291666664,0.0,0.0,507.35721291666664
2025-06-21,138,506.3483402266666,0.0,0.0,506.3483402266666
2025-06-21,139,513.38991156,0.0,0.0,513.38991156
2025-06-21,140,505.80393083333325,0.0,0.0,505.80393083333325
2025-06-21,141,445.278466215,0.0,0.0,445.278466215
2025-06-21,142,200.20598839000002,0.0,0.0,200.20598839000002
2025-06-21,143,0.0,0.0,1.1788500069087603e-07,1.1788500069087603e-07
