date,period_index,time_label,q_or_g0_kwh,g_final_kwh,x_kwh,emergency_kwh,charge_kwh,discharge_kwh,curtailment_kwh,soc_start_kwh,soc_end_kwh,actual_load_kwh,actual_pv_kwh,actual_price,price_forecast_used,last_update_time,balance_residual_kwh,normal_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan
2025-09-07,0,00:10,0.0,0.0,0.0,0.0,0.0,608.6756166666667,0.0,10160.503129353956,9518.902694395885,608.6756166666667,0.0,0.4387,0.5214000000000001,00:00,0.0,0.0,0.0,0.0
2025-09-07,1,00:20,715.7745124999999,715.7745124999999,595.9162166666666,0.0,0.0,0.0,0.0,9518.902694395885,9518.902694395885,595.9162166666666,0.0,0.4059,0.42830835374885684,00:00,0.0,290.53287462374993,0.0,0.0
2025-09-07,2,00:30,732.5887499999999,732.5887499999999,590.0683333333333,0.0,0.0,0.0,0.0,9518.902694395885,9518.902694395885,590.0683333333333,0.0,0.3855,0.47424775146679976,00:00,0.0,282.412963125,0.0,0.0
2025-09-07,3,00:40,0.0,0.0,0.0,0.0,0.0,551.0749999999999,0.0,9518.902694395885,8938.01864053679,551.0749999999999,0.0,0.3572,0.49191095928983986,00:00,0.0,0.0,0.0,0.0
2025-09-07,4,00:50,0.0,0.0,0.0,0.0,0.0,571.2968999999999,0.0,8938.01864053679,8335.818832472307,571.2968999999999,0.0,0.3664,0.4499520058004801,00:00,0.0,0.0,0.0,0.0
2025-09-07,5,01:00,730.7716666666665,730.7716666666665,635.8433333333332,0.0,0.0,0.0,0.0,8335.818832472307,8335.818832472307,635.8433333333332,0.0,0.4082,0.40383821069125914,00:00,0.0,298.3009943333333,0.0,0.0
2025-09-07,6,01:10,712.7228833333334,712.7228833333334,629.0153833333333,0.0,0.0,0.0,0.0,8335.818832472307,8335.818832472307,629.0153833333333,0.0,0.4285,0.41350033765432537,00:00,0.0,305.40175550833334,0.0,0.0
2025-09-07,7,01:20,709.9739499999998,709.9739499999998,595.7090833333333,0.0,0.0,0.0,0.0,8335.818832472307,8335.818832472307,595.7090833333333,0.0,0.4431,0.40975317399165445,00:00,0.0,314.58945724499995,0.0,0.0
2025-09-07,8,01:30,719.8229166666665,719.8229166666665,580.8566666666666,0.0,0.0,0.0,0.0,8335.818832472307,8335.818832472307,580.8566666666666,0.0,0.4546,0.4087620161543419,00:00,0.0,327.2314979166666,0.0,0.0
2025-09-07,9,01:40,713.7917249999999,713.7917249999999,587.2139333333333,0.0,0.0,0.0,0.0,8335.818832472307,8335.818832472307,587.2139333333333,0.0,0.443,0.4326530061790932,00:00,0.0,316.209734175,0.0,0.0
2025-09-07,10,01:50,699.0190541666666,699.0190541666666,614.0509166666666,0.0,0.0,0.0,0.0,8335.818832472307,8335.818832472307,614.0509166666666,0.0,0.4261,0.42758277093456193,00:00,0.0,297.85201898041663,0.0,0.0
2025-09-07,11,02:00,694.5095833333332,694.5095833333332,627.3183333333333,0.0,0.0,0.0,0.0,8335.818832472307,8335.818832472307,627.3183333333333,0.0,0.4179,0.40634691275602125,00:00,0.0,290.23555487499993,0.0,0.0
2025-09-07,12,02:10,710.9103041666666,710.9103041666666,588.2982499999999,0.0,0.0,0.0,0.0,8335.818832472307,8335.818832472307,588.2982499999999,0.0,0.4162,0.43286833600546554,00:00,0.0,295.88086859416666,0.0,0.0
2025-09-07,13,02:20,0.0006665074424745399,0.0006665074424745399,0.0006665074424745399,4.552532862654896e-08,0.0,567.7595001136989,0.0,8335.818832472307,7737.347771286335,567.7601666666667,0.0,0.4085,0.43938315826341795,00:00,0.0,0.0002722682902508495,0.0,9.298548371972625e-08
2025-09-07,14,02:30,706.67625,706.67625,585.47,0.0,0.0,0.0,0.0,7737.347771286335,7737.347771286335,585.47,0.0,0.416,0.41432047624705476,00:00,0.0,293.97731999999996,0.0,0.0
2025-09-07,15,02:40,703.1813916666666,703.1813916666666,591.4414833333333,0.0,0.0,0.0,0.0,7737.347771286335,7737.347771286335,591.4414833333333,0.0,0.4641,0.404249823418854,00:00,0.0,326.3464838725,0.0,0.0
2025-09-07,16,02:50,693.73255,693.73255,572.9673666666666,0.0,0.0,0.0,0.0,7737.347771286335,7737.347771286335,572.9673666666666,0.0,0.4566,0.4076596779498338,00:00,0.0,316.75828233,0.0,0.0
2025-09-07,17,03:00,684.6079166666666,684.6079166666666,558.0066666666667,0.0,0.0,0.0,0.0,7737.347771286335,7737.347771286335,558.0066666666667,0.0,0.4009,0.43112207262870583,00:00,0.0,274.4593137916666,0.0,0.0
2025-09-07,18,03:10,0.0,0.0,0.0,4.1430469689397834e-08,0.0,583.1940499585695,0.0,7737.347771286335,7122.607266043966,583.19405,0.0,0.4018,0.4829860433768618,00:00,0.0,0.0,0.0,8.323381360600025e-08
2025-09-07,19,03:20,0.0,0.0,0.0,4.211390210118697e-08,0.0,600.4392832912193,0.0,7122.607266043966,6489.688688764187,600.4392833333333,0.0,0.4171,0.4747679632187899,00:00,0.0,0.0,0.0,8.782854283202543e-08
2025-09-07,20,03:30,666.89625,666.89625,596.9583333333333,0.0,0.0,0.0,0.0,6489.688688764187,6489.688688764187,596.9583333333333,0.0,0.429,0.4182516361359159,00:00,0.0,286.09849125,0.0,0.0
2025-09-07,21,03:40,686.3924041666666,686.3924041666666,604.1411833333333,0.0,0.0,0.0,0.0,6489.688688764187,6489.688688764187,604.1411833333333,0.0,0.4569,0.4152798786905473,00:00,0.0,313.6126894637499,0.0,0.0
2025-09-07,22,03:50,687.2179458333333,687.2179458333333,604.0622666666667,0.0,0.0,0.0,0.0,6489.688688764187,6489.688688764187,604.0625,0.00023333333333333333,0.4215,0.43422178461505084,00:00,0.0,289.66236416874995,0.0,0.0
2025-09-07,23,04:00,663.0054166666666,663.0054166666666,594.9216666666666,0.0,0.0,0.0,0.0,6489.688688764187,6489.688688764187,594.9216666666666,0.0,0.3668,0.44033535798725265,00:00,0.0,243.19038683333332,0.0,0.0
2025-09-07,24,04:10,665.6023083333332,665.6023083333332,598.1753666666666,0.0,0.0,0.0,0.0,6489.688688764187,6489.688688764187,598.1753666666666,0.0,0.4222,0.43069957939652104,00:00,0.0,281.0172945783333,0.0,0.0
2025-09-07,25,04:20,672.3820000000001,672.3820000000001,611.5897666666666,0.0,0.0,0.0,0.0,6489.688688764187,6489.688688764187,611.5930333333333,0.0032666666666666664,0.4728,0.42443986644494897,00:00,0.0,317.90220960000005,0.0,0.0
2025-09-07,26,04:30,669.2945833333333,669.2945833333333,617.4966666666667,0.0,0.0,0.0,0.0,6489.688688764187,6489.688688764187,617.4966666666667,0.0,0.4442,0.4185711727029046,00:00,0.0,297.30065391666665,0.0,0.0
2025-09-07,27,04:40,666.3712583333333,666.3712583333333,600.58355,0.0,0.0,0.0,0.0,6489.688688764187,6489.688688764187,600.58355,0.0,0.3809,0.4002205668004184,00:00,0.0,253.82081229916668,0.0,0.0
2025-09-07,28,04:50,658.4603166666667,658.4603166666667,658.4603166666667,0.0,67.85885000000019,0.0,0.0,6489.688688764187,6554.0652463841025,590.6470166666666,0.04554999999999999,0.3842,0.4001795593921052,00:00,0.0,252.98045366333335,0.0,0.0
2025-09-07,29,05:00,1067.8867627044287,1067.8867627044287,1067.8867627044287,0.0,466.98842937109544,0.0,0.0,6554.0652463841025,6997.089369711302,600.8983333333333,0.0,0.449,0.4108436205031631,00:00,0.0,479.4811564542885,0.0,0.0
2025-09-07,30,05:10,1480.6843194444443,1480.6843194444443,618.3110166666667,0.0,0.0,0.0,0.0,6997.089369711302,6997.089369711302,618.3110166666667,0.0,0.481,0.390014901655522,00:00,0.0,712.2091576527777,0.0,0.0
